Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Duguid,Gordon Giesbrecht,Brianne Goertzen,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 71","Winnipeg",89,60,9,5,0,163,277
46013,"Winnipeg South/Winnipeg-Sud"," 72","Winnipeg",149,68,6,4,0,227,406
46013,"Winnipeg South/Winnipeg-Sud"," 73","Winnipeg",75,43,6,1,0,125,277
46013,"Winnipeg South/Winnipeg-Sud"," 74","Winnipeg",159,70,12,9,0,250,437
46013,"Winnipeg South/Winnipeg-Sud"," 75","Winnipeg",105,73,10,15,0,203,357
46013,"Winnipeg South/Winnipeg-Sud"," 76","Winnipeg",153,67,13,4,0,237,361
46013,"Winnipeg South/Winnipeg-Sud"," 77","Winnipeg",150,59,16,8,0,233,426
46013,"Winnipeg South/Winnipeg-Sud"," 78","Winnipeg",120,37,22,8,1,188,448
46013,"Winnipeg South/Winnipeg-Sud"," 79","Winnipeg",115,72,27,6,1,221,373
46013,"Winnipeg South/Winnipeg-Sud"," 80","Winnipeg",182,79,21,9,0,291,456
46013,"Winnipeg South/Winnipeg-Sud"," 81","Winnipeg",106,76,8,7,0,197,341
46013,"Winnipeg South/Winnipeg-Sud"," 82","Winnipeg",102,54,8,6,0,170,273
46013,"Winnipeg South/Winnipeg-Sud"," 83","Winnipeg",113,109,13,3,2,240,435
46013,"Winnipeg South/Winnipeg-Sud"," 84","Winnipeg",113,79,10,3,1,206,392
46013,"Winnipeg South/Winnipeg-Sud"," 85A","Winnipeg",116,71,7,6,0,200,389
46013,"Winnipeg South/Winnipeg-Sud"," 85B","Winnipeg",133,76,2,6,1,218,438
46013,"Winnipeg South/Winnipeg-Sud"," 86A","Winnipeg",156,89,4,10,3,262,464
46013,"Winnipeg South/Winnipeg-Sud"," 86B","Winnipeg",143,117,11,3,0,274,480
46013,"Winnipeg South/Winnipeg-Sud"," 86C","Winnipeg",154,121,10,4,1,290,530
46013,"Winnipeg South/Winnipeg-Sud"," 87","Winnipeg",69,54,0,1,0,124,194
46013,"Winnipeg South/Winnipeg-Sud"," 88","Winnipeg",102,92,11,3,0,208,343
46013,"Winnipeg South/Winnipeg-Sud"," 89A","Winnipeg",129,106,9,3,1,248,484
46013,"Winnipeg South/Winnipeg-Sud"," 89B","Winnipeg",134,93,4,3,0,234,448
46013,"Winnipeg South/Winnipeg-Sud"," 90A","Winnipeg",99,66,8,5,0,178,299
46013,"Winnipeg South/Winnipeg-Sud"," 90B","Winnipeg",91,42,11,1,1,146,268
46013,"Winnipeg South/Winnipeg-Sud"," 91","Winnipeg",173,67,7,6,2,255,426
46013,"Winnipeg South/Winnipeg-Sud"," 92A","Winnipeg",146,97,7,3,4,257,481
46013,"Winnipeg South/Winnipeg-Sud"," 92B","Winnipeg",101,111,8,3,1,224,433
46013,"Winnipeg South/Winnipeg-Sud"," 93A","Winnipeg",94,53,8,3,1,159,281
46013,"Winnipeg South/Winnipeg-Sud"," 93B","Winnipeg",89,62,7,2,0,160,303
46013,"Winnipeg South/Winnipeg-Sud"," 94A","Winnipeg",103,54,5,7,1,170,272
46013,"Winnipeg South/Winnipeg-Sud"," 94B","Winnipeg",108,61,8,3,0,180,300
46013,"Winnipeg South/Winnipeg-Sud"," 95","Winnipeg",155,108,6,4,1,274,490
46013,"Winnipeg South/Winnipeg-Sud"," 96A","Winnipeg",67,90,0,3,0,160,309
46013,"Winnipeg South/Winnipeg-Sud"," 96B","Winnipeg",80,93,2,2,0,177,306
46013,"Winnipeg South/Winnipeg-Sud"," 97","Winnipeg",122,156,11,0,1,290,541
46013,"Winnipeg South/Winnipeg-Sud"," 98A","Winnipeg",78,88,11,5,0,182,309
46013,"Winnipeg South/Winnipeg-Sud"," 98B","Winnipeg",133,84,14,8,2,241,405
46013,"Winnipeg South/Winnipeg-Sud"," 99","Winnipeg",137,90,6,4,2,239,429
46013,"Winnipeg South/Winnipeg-Sud"," 100","Winnipeg",141,131,12,3,1,288,459
46013,"Winnipeg South/Winnipeg-Sud"," 101","Winnipeg",147,134,5,6,0,292,455
46013,"Winnipeg South/Winnipeg-Sud"," 102","Winnipeg",178,109,7,4,2,300,504
46013,"Winnipeg South/Winnipeg-Sud"," 103","Winnipeg",160,114,8,1,3,286,442
46013,"Winnipeg South/Winnipeg-Sud"," 104","Winnipeg",133,96,3,0,2,234,392
46013,"Winnipeg South/Winnipeg-Sud"," 105","Winnipeg",135,74,10,5,0,224,369
46013,"Winnipeg South/Winnipeg-Sud"," 106A","Winnipeg",109,69,3,2,0,183,284
46013,"Winnipeg South/Winnipeg-Sud"," 106B","Winnipeg",110,62,7,3,0,182,277
46013,"Winnipeg South/Winnipeg-Sud"," 107","Winnipeg",103,67,2,1,0,173,288
46013,"Winnipeg South/Winnipeg-Sud"," 108","Winnipeg",107,77,4,2,0,190,318
46013,"Winnipeg South/Winnipeg-Sud"," 109","Winnipeg",46,47,7,4,0,104,164
46013,"Winnipeg South/Winnipeg-Sud"," 110","Winnipeg",160,90,2,4,2,258,533
46013,"Winnipeg South/Winnipeg-Sud"," 111","Winnipeg",107,83,9,4,0,203,329
46013,"Winnipeg South/Winnipeg-Sud"," 112","Winnipeg",143,100,9,3,1,256,402
46013,"Winnipeg South/Winnipeg-Sud"," 113","Winnipeg",123,87,6,9,2,227,376
46013,"Winnipeg South/Winnipeg-Sud"," 114A","Winnipeg",119,89,8,1,0,217,398
46013,"Winnipeg South/Winnipeg-Sud"," 114B","Winnipeg",133,84,8,4,0,229,381
46013,"Winnipeg South/Winnipeg-Sud"," 115","Winnipeg",141,57,12,6,2,218,374
46013,"Winnipeg South/Winnipeg-Sud"," 116A","Winnipeg",80,31,18,8,2,139,302
46013,"Winnipeg South/Winnipeg-Sud"," 116B","Winnipeg",110,39,4,5,1,159,309
46013,"Winnipeg South/Winnipeg-Sud"," 117","Winnipeg",125,114,10,3,2,254,410
46013,"Winnipeg South/Winnipeg-Sud"," 118","Winnipeg",110,46,22,6,0,184,350
46013,"Winnipeg South/Winnipeg-Sud"," 119","Winnipeg",142,94,13,1,0,250,384
46013,"Winnipeg South/Winnipeg-Sud"," 120","Winnipeg",149,113,12,3,0,277,457
46013,"Winnipeg South/Winnipeg-Sud"," 121","Winnipeg",138,99,6,6,1,250,478
46013,"Winnipeg South/Winnipeg-Sud"," 122","Winnipeg",91,69,7,2,0,169,277
46013,"Winnipeg South/Winnipeg-Sud"," 123","Winnipeg",139,65,15,3,3,225,390
46013,"Winnipeg South/Winnipeg-Sud"," 124","Winnipeg",102,51,13,1,0,167,323
46013,"Winnipeg South/Winnipeg-Sud"," 125","Winnipeg",173,107,8,6,0,294,501
46013,"Winnipeg South/Winnipeg-Sud"," 126","Winnipeg",98,61,12,5,1,177,393
46013,"Winnipeg South/Winnipeg-Sud"," 127A","Winnipeg",141,133,6,4,0,284,470
46013,"Winnipeg South/Winnipeg-Sud"," 127B","Mobile poll/Bureau itinérant",19,28,7,3,3,60,58
46013,"Winnipeg South/Winnipeg-Sud"," 128","Winnipeg",116,108,11,13,2,250,460
46013,"Winnipeg South/Winnipeg-Sud"," 129","Winnipeg",159,111,17,7,2,296,489
46013,"Winnipeg South/Winnipeg-Sud"," 130","Winnipeg",136,74,2,2,0,214,355
46013,"Winnipeg South/Winnipeg-Sud"," 131","Winnipeg",137,85,11,4,0,237,356
46013,"Winnipeg South/Winnipeg-Sud"," 132A","Winnipeg",123,57,3,4,0,187,315
46013,"Winnipeg South/Winnipeg-Sud"," 132B","Winnipeg",107,66,10,3,3,189,320
46013,"Winnipeg South/Winnipeg-Sud"," 133","Winnipeg",76,54,2,2,0,134,185
46013,"Winnipeg South/Winnipeg-Sud"," 134","Winnipeg",119,107,7,5,1,239,475
46013,"Winnipeg South/Winnipeg-Sud"," 135","Winnipeg",183,97,23,7,1,311,493
46013,"Winnipeg South/Winnipeg-Sud"," 136","Winnipeg",114,77,5,7,2,205,372
46013,"Winnipeg South/Winnipeg-Sud"," 137A","Winnipeg",104,65,15,3,1,188,315
46013,"Winnipeg South/Winnipeg-Sud"," 137B","Winnipeg",103,67,13,7,0,190,352
46013,"Winnipeg South/Winnipeg-Sud"," 138","Winnipeg",93,91,10,1,0,195,403
46013,"Winnipeg South/Winnipeg-Sud"," 139","Winnipeg",135,93,20,5,1,254,444
46013,"Winnipeg South/Winnipeg-Sud"," 140","Winnipeg",156,78,16,5,0,255,470
46013,"Winnipeg South/Winnipeg-Sud"," 141","Winnipeg",133,62,11,5,1,212,394
46013,"Winnipeg South/Winnipeg-Sud"," 142","Winnipeg",119,51,17,8,0,195,380
46013,"Winnipeg South/Winnipeg-Sud"," 143","Winnipeg",110,65,10,5,0,190,394
46013,"Winnipeg South/Winnipeg-Sud"," 144","Winnipeg",116,84,16,3,1,220,337
46013,"Winnipeg South/Winnipeg-Sud"," 400","Winnipeg",64,74,16,3,3,160,204
46013,"Winnipeg South/Winnipeg-Sud"," 401","Winnipeg",171,103,27,8,2,311,415
