Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Dyck,Peter Fragiskatos,German Gutierrez,Marvin Roman,Susan Truppe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 94","London",7,53,33,1,70,4,168,372
35052,"London North Centre/London-Centre-Nord"," 95","London",7,55,36,1,28,3,130,319
35052,"London North Centre/London-Centre-Nord"," 96","London",8,108,49,1,94,1,261,501
35052,"London North Centre/London-Centre-Nord"," 97","London",9,97,29,0,67,3,205,358
35052,"London North Centre/London-Centre-Nord"," 98","London",11,107,36,0,53,0,207,379
35052,"London North Centre/London-Centre-Nord"," 99","London",10,113,48,2,73,1,247,494
35052,"London North Centre/London-Centre-Nord"," 100","London",11,76,44,4,39,0,174,416
35052,"London North Centre/London-Centre-Nord"," 101","London",8,121,52,0,97,1,279,519
35052,"London North Centre/London-Centre-Nord"," 102","London",18,98,46,2,54,2,220,467
35052,"London North Centre/London-Centre-Nord"," 103","London",18,93,37,0,44,0,192,347
35052,"London North Centre/London-Centre-Nord"," 104","London",7,108,51,1,75,1,243,408
35052,"London North Centre/London-Centre-Nord"," 105","London",16,89,58,0,45,1,209,400
35052,"London North Centre/London-Centre-Nord"," 106","London",11,90,51,0,43,1,196,393
35052,"London North Centre/London-Centre-Nord"," 107","London",18,127,59,0,72,1,277,449
35052,"London North Centre/London-Centre-Nord"," 108","London",14,117,55,1,66,1,254,465
35052,"London North Centre/London-Centre-Nord"," 109","London",19,139,67,0,48,1,274,485
35052,"London North Centre/London-Centre-Nord"," 110","London",2,57,46,0,15,0,120,414
35052,"London North Centre/London-Centre-Nord"," 111","London",8,71,29,0,29,0,137,346
35052,"London North Centre/London-Centre-Nord"," 112","London",3,84,37,0,41,0,165,302
35052,"London North Centre/London-Centre-Nord"," 113","London",9,86,53,0,35,0,183,331
35052,"London North Centre/London-Centre-Nord"," 114","London",9,76,57,1,47,1,191,444
35052,"London North Centre/London-Centre-Nord"," 115","London",5,46,26,0,16,0,93,398
35052,"London North Centre/London-Centre-Nord"," 116","London",12,153,58,0,65,2,290,503
35052,"London North Centre/London-Centre-Nord"," 117","London",14,110,49,1,57,0,231,406
35052,"London North Centre/London-Centre-Nord"," 118","London",18,149,62,0,67,1,297,456
35052,"London North Centre/London-Centre-Nord"," 119","London",16,120,35,1,55,4,231,462
35052,"London North Centre/London-Centre-Nord"," 120","London",11,173,44,0,72,0,300,467
35052,"London North Centre/London-Centre-Nord"," 121","London",10,130,56,0,59,1,256,451
35052,"London North Centre/London-Centre-Nord"," 122","London",7,154,75,1,64,2,303,643
35052,"London North Centre/London-Centre-Nord"," 123","London",6,74,29,0,41,1,151,345
35052,"London North Centre/London-Centre-Nord"," 124","London",4,71,37,1,44,0,157,331
35052,"London North Centre/London-Centre-Nord"," 125","London",6,104,56,0,47,1,214,529
35052,"London North Centre/London-Centre-Nord"," 126","London",6,127,20,0,49,0,202,417
35052,"London North Centre/London-Centre-Nord"," 127","London",10,215,44,0,68,1,338,491
35052,"London North Centre/London-Centre-Nord"," 128","London",20,205,45,0,74,0,344,524
35052,"London North Centre/London-Centre-Nord"," 129","London",5,113,25,0,76,2,221,353
35052,"London North Centre/London-Centre-Nord"," 130","London",10,145,21,0,83,1,260,441
35052,"London North Centre/London-Centre-Nord"," 131","London",8,136,31,0,61,1,237,473
35052,"London North Centre/London-Centre-Nord"," 132","London",7,152,29,1,65,0,254,337
35052,"London North Centre/London-Centre-Nord"," 133","London",8,121,35,0,37,1,202,529
35052,"London North Centre/London-Centre-Nord"," 133-1","London",9,80,24,1,40,0,154,185
35052,"London North Centre/London-Centre-Nord"," 134","London",9,190,46,0,71,0,316,487
35052,"London North Centre/London-Centre-Nord"," 135","London",8,115,16,0,49,0,188,336
35052,"London North Centre/London-Centre-Nord"," 135-1","London",15,188,40,1,90,0,334,354
35052,"London North Centre/London-Centre-Nord"," 136","London",3,78,22,0,26,1,130,275
35052,"London North Centre/London-Centre-Nord"," 137","London",7,172,41,0,84,0,304,489
35052,"London North Centre/London-Centre-Nord"," 138","London",9,168,17,0,93,0,287,475
35052,"London North Centre/London-Centre-Nord"," 139","London",13,136,40,0,84,0,273,481
35052,"London North Centre/London-Centre-Nord"," 140","London",8,61,18,0,52,2,141,393
35052,"London North Centre/London-Centre-Nord"," 141","London",9,74,33,0,59,0,175,354
35052,"London North Centre/London-Centre-Nord"," 142","London",10,55,21,0,86,1,173,385
35052,"London North Centre/London-Centre-Nord"," 143","London",3,54,24,0,42,1,124,362
35052,"London North Centre/London-Centre-Nord"," 144","London",3,93,31,0,56,1,184,510
35052,"London North Centre/London-Centre-Nord"," 145","London",7,81,27,0,35,0,150,354
35052,"London North Centre/London-Centre-Nord"," 146","London",6,123,42,1,33,0,205,386
35052,"London North Centre/London-Centre-Nord"," 147A","London",6,98,30,2,42,2,180,363
35052,"London North Centre/London-Centre-Nord"," 147B","London",Merged with No./Fusionné avec le n°421,,,,,,,22
35052,"London North Centre/London-Centre-Nord"," 148","London",10,101,41,1,41,0,194,356
35052,"London North Centre/London-Centre-Nord"," 149","London",12,210,69,0,73,0,364,687
35052,"London North Centre/London-Centre-Nord"," 150","London",12,78,26,1,88,1,206,289
35052,"London North Centre/London-Centre-Nord"," 151","London",9,175,49,0,82,0,315,525
35052,"London North Centre/London-Centre-Nord"," 152","London",11,105,30,0,56,1,203,460
35052,"London North Centre/London-Centre-Nord"," 153","London",16,174,45,0,66,1,302,510
35052,"London North Centre/London-Centre-Nord"," 154","London",13,159,53,1,42,1,269,476
35052,"London North Centre/London-Centre-Nord"," 155","London",11,137,55,2,29,2,236,459
35052,"London North Centre/London-Centre-Nord"," 156","London",10,139,41,0,33,1,224,451
35052,"London North Centre/London-Centre-Nord"," 157","London",19,151,50,0,48,2,270,434
35052,"London North Centre/London-Centre-Nord"," 158","London",16,130,49,2,33,0,230,478
35052,"London North Centre/London-Centre-Nord"," 159","London",12,187,40,0,98,0,337,607
35052,"London North Centre/London-Centre-Nord"," 160","London",10,158,42,2,54,0,266,457
35052,"London North Centre/London-Centre-Nord"," 161","London",7,109,29,0,76,0,221,448
35052,"London North Centre/London-Centre-Nord"," 162","London",13,195,63,0,73,0,344,548
35052,"London North Centre/London-Centre-Nord"," 163","London",13,164,46,0,57,0,280,522
35052,"London North Centre/London-Centre-Nord"," 164","London",6,124,32,0,47,0,209,439
35052,"London North Centre/London-Centre-Nord"," 165","London",8,163,39,2,58,2,272,460
35052,"London North Centre/London-Centre-Nord"," 166","London",13,142,48,2,41,3,249,450
35052,"London North Centre/London-Centre-Nord"," 167","London",14,126,50,0,40,2,232,398
35052,"London North Centre/London-Centre-Nord"," 168","London",13,123,38,1,37,0,212,348
35052,"London North Centre/London-Centre-Nord"," 169","London",14,141,44,0,28,0,227,401
35052,"London North Centre/London-Centre-Nord"," 170","London",6,80,16,0,55,2,159,342
35052,"London North Centre/London-Centre-Nord"," 171","London",17,210,62,1,52,0,342,538
35052,"London North Centre/London-Centre-Nord"," 172","London",12,160,53,1,40,1,267,423
35052,"London North Centre/London-Centre-Nord"," 173","London",8,91,37,0,21,0,157,322
35052,"London North Centre/London-Centre-Nord"," 174","London",8,84,28,1,15,0,136,321
35052,"London North Centre/London-Centre-Nord"," 175","London",12,165,86,2,39,2,306,650
35052,"London North Centre/London-Centre-Nord"," 176","London",17,135,61,2,31,0,246,432
35052,"London North Centre/London-Centre-Nord"," 177","London",15,116,56,0,36,1,224,410
35052,"London North Centre/London-Centre-Nord"," 178","London",11,115,55,0,53,0,234,400
35052,"London North Centre/London-Centre-Nord"," 179","London",13,110,56,0,44,1,224,417
35052,"London North Centre/London-Centre-Nord"," 180","London",11,94,59,1,45,1,211,416
35052,"London North Centre/London-Centre-Nord"," 181","London",16,122,55,0,51,0,244,427
35052,"London North Centre/London-Centre-Nord"," 182","London",11,78,48,0,45,1,183,412
35052,"London North Centre/London-Centre-Nord"," 183","London",9,76,69,0,63,0,217,439
35052,"London North Centre/London-Centre-Nord"," 184","London",8,72,52,0,35,1,168,413
35052,"London North Centre/London-Centre-Nord"," 185","London",9,88,33,0,35,0,165,435
35052,"London North Centre/London-Centre-Nord"," 186","London",11,85,69,0,47,2,214,488
35052,"London North Centre/London-Centre-Nord"," 187","London",14,85,45,0,28,0,172,400
35052,"London North Centre/London-Centre-Nord"," 188","London",5,90,44,2,23,0,164,378
35052,"London North Centre/London-Centre-Nord"," 189","London",10,121,30,0,51,3,215,404
35052,"London North Centre/London-Centre-Nord"," 190","London",5,110,20,0,56,0,191,367
35052,"London North Centre/London-Centre-Nord"," 191","London",5,138,25,0,48,0,216,436
35052,"London North Centre/London-Centre-Nord"," 192","London",8,113,34,0,54,1,210,381
35052,"London North Centre/London-Centre-Nord"," 193","London",11,106,23,0,36,1,177,354
35052,"London North Centre/London-Centre-Nord"," 194","London",8,129,43,0,57,2,239,401
35052,"London North Centre/London-Centre-Nord"," 195","London",9,83,39,0,23,0,154,385
35052,"London North Centre/London-Centre-Nord"," 196","London",11,96,39,1,36,1,184,349
35052,"London North Centre/London-Centre-Nord"," 197","London",16,100,51,0,31,0,198,363
35052,"London North Centre/London-Centre-Nord"," 198","London",8,75,39,0,19,1,142,348
35052,"London North Centre/London-Centre-Nord"," 199","London",14,111,33,2,85,4,249,428
35052,"London North Centre/London-Centre-Nord"," 200","London",3,149,19,0,79,0,250,416
35052,"London North Centre/London-Centre-Nord"," 400","London",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 401","London",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 402","London",1,35,2,0,32,0,70,75
35052,"London North Centre/London-Centre-Nord"," 403","London",2,9,10,0,10,1,32,43
35052,"London North Centre/London-Centre-Nord"," 404","London",8,261,41,0,87,0,397,427
35052,"London North Centre/London-Centre-Nord"," 405","London",0,32,23,2,11,0,68,231
35052,"London North Centre/London-Centre-Nord"," 406","London",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 407","London",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 408","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°424,,,,,,,74
35052,"London North Centre/London-Centre-Nord"," 409","London",5,76,28,0,93,2,204,280
35052,"London North Centre/London-Centre-Nord"," 410","London",3,96,27,0,59,0,185,248
35052,"London North Centre/London-Centre-Nord"," 411","London",7,74,29,1,59,0,170,255
35052,"London North Centre/London-Centre-Nord"," 412","London",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 413","London",3,61,38,0,20,4,126,199
35052,"London North Centre/London-Centre-Nord"," 414","London",2,28,8,0,20,1,59,153
35052,"London North Centre/London-Centre-Nord"," 415","London",5,52,15,0,18,0,90,243
35052,"London North Centre/London-Centre-Nord"," 416","London",6,66,14,1,27,0,114,275
35052,"London North Centre/London-Centre-Nord"," 417","London",1,40,31,0,16,1,89,202
35052,"London North Centre/London-Centre-Nord"," 418","London",2,31,20,0,15,2,70,173
35052,"London North Centre/London-Centre-Nord"," 419","London",1,50,20,0,11,0,82,207
35052,"London North Centre/London-Centre-Nord"," 420","London",5,28,8,0,17,0,58,129
35052,"London North Centre/London-Centre-Nord"," 421","London",1,41,11,0,39,1,93,109
35052,"London North Centre/London-Centre-Nord"," 422","London",1,19,6,0,9,0,35,91
35052,"London North Centre/London-Centre-Nord"," 423","London",3,57,22,0,38,0,120,187
35052,"London North Centre/London-Centre-Nord"," 424","Mobile poll/Bureau itinérant",6,55,10,0,71,0,142,131
35052,"London North Centre/London-Centre-Nord"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 501","Mobile poll/Bureau itinérant",8,88,10,1,45,2,154,199
35052,"London North Centre/London-Centre-Nord"," 502","Mobile poll/Bureau itinérant",7,73,16,1,45,4,146,327
35052,"London North Centre/London-Centre-Nord"," 503","Mobile poll/Bureau itinérant",3,57,12,8,55,2,137,361
35052,"London North Centre/London-Centre-Nord"," 504","Mobile poll/Bureau itinérant",1,21,15,0,23,3,63,111
35052,"London North Centre/London-Centre-Nord"," 505","Mobile poll/Bureau itinérant",4,70,8,2,82,1,167,264
35052,"London North Centre/London-Centre-Nord"," 600","London",12,571,56,1,579,2,1221,
35052,"London North Centre/London-Centre-Nord"," 601","London",15,404,62,0,355,4,840,
35052,"London North Centre/London-Centre-Nord"," 602","London",22,432,125,1,349,4,933,
35052,"London North Centre/London-Centre-Nord"," 603","London",31,592,65,1,411,4,1104,
35052,"London North Centre/London-Centre-Nord"," 604","London",33,361,117,0,390,0,901,
35052,"London North Centre/London-Centre-Nord"," 605","London",30,318,164,2,252,5,771,
35052,"London North Centre/London-Centre-Nord"," 606","London",20,405,79,0,195,0,699,
35052,"London North Centre/London-Centre-Nord"," 607","London",20,457,79,2,246,2,806,
35052,"London North Centre/London-Centre-Nord"," 608","London",31,306,102,2,250,0,691,
35052,"London North Centre/London-Centre-Nord"," 609","London",33,497,155,1,397,8,1091,
35052,"London North Centre/London-Centre-Nord"," 610","London",22,420,123,0,188,4,757,
35052,"London North Centre/London-Centre-Nord"," 611","London",16,278,82,0,121,0,497,
35052,"London North Centre/London-Centre-Nord"," 612","London",11,219,174,1,219,4,628,
35052,"London North Centre/London-Centre-Nord"," 613","London",33,303,145,2,114,2,599,
35052,"London North Centre/London-Centre-Nord",,"Group 1/Groupe 1",15,140,32,1,67,10,265,217
35052,"London North Centre/London-Centre-Nord",,"Group 2/Groupe 2",74,988,343,7,572,41,2025,
