Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bannon,Mike Bossio,Daryl Kramp,Cam Mather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 57","Bellheck",18,64,60,7,1,150,296
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 58","Tamworth",13,54,48,7,1,123,227
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 59","Chippewa",28,78,76,15,0,197,306
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 60","Enterprise",20,55,53,8,3,139,286
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 61","Moscow",36,142,90,11,0,279,479
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 62","Yarker",50,120,68,10,1,249,399
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 63","Colebrook",29,117,74,11,2,233,418
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 64","Camden East",30,122,68,9,0,229,416
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 65","Milsap",20,115,80,8,0,223,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 66","Milsap",25,95,83,7,0,210,435
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 67","Croydon",27,101,90,9,1,228,434
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 68","Greater Napanee",38,71,145,14,0,268,501
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 69","Hungerford",25,88,85,6,1,205,366
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 70","Hungerford",18,78,47,4,0,147,300
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 71","Hungerford",20,65,62,11,0,158,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 72","Hungerford",11,51,63,9,0,134,315
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 73","Hungerford",22,62,61,4,0,149,319
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 74","Hungerford",14,57,80,9,0,160,333
