Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vince Fiorito,Karina Gould,David Laird,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Burlington/Burlington"," 87","Burlington",5,134,18,88,3,248,418
35015,"Burlington/Burlington"," 88","Burlington",13,109,24,80,0,226,372
35015,"Burlington/Burlington"," 89","Burlington",3,77,20,65,0,165,336
35015,"Burlington/Burlington"," 90","Burlington",6,132,33,112,0,283,458
35015,"Burlington/Burlington"," 91","Burlington",11,102,16,100,3,232,454
35015,"Burlington/Burlington"," 92","Burlington",7,132,18,100,0,257,460
35015,"Burlington/Burlington"," 93","Burlington",4,78,17,87,3,189,405
35015,"Burlington/Burlington"," 94","Burlington",3,119,41,88,0,251,415
35015,"Burlington/Burlington"," 95","Burlington",6,131,24,110,0,271,448
35015,"Burlington/Burlington"," 96","Burlington",5,77,18,78,1,179,401
35015,"Burlington/Burlington"," 97","Burlington",2,84,20,70,0,176,346
35015,"Burlington/Burlington"," 98","Burlington",2,77,15,85,0,179,309
35015,"Burlington/Burlington"," 99","Burlington",6,108,16,109,0,239,448
35015,"Burlington/Burlington"," 100","Burlington",4,124,11,127,0,266,432
35015,"Burlington/Burlington"," 101","Burlington",4,57,13,48,0,122,280
35015,"Burlington/Burlington"," 102","Burlington",3,94,14,87,1,199,363
35015,"Burlington/Burlington"," 103","Burlington",4,77,19,72,0,172,323
35015,"Burlington/Burlington"," 104","Burlington",10,83,16,85,0,194,403
35015,"Burlington/Burlington"," 105","Burlington",6,81,28,64,0,179,335
35015,"Burlington/Burlington"," 106","Burlington",3,82,14,100,1,200,365
35015,"Burlington/Burlington"," 107","Burlington",6,101,14,132,0,253,497
35015,"Burlington/Burlington"," 108","Burlington",8,117,43,88,0,256,492
35015,"Burlington/Burlington"," 109","Burlington",4,122,14,149,0,289,439
35015,"Burlington/Burlington"," 110","Burlington",1,125,4,125,0,255,438
35015,"Burlington/Burlington"," 111","Burlington",12,63,23,89,1,188,330
35015,"Burlington/Burlington"," 112","Burlington",2,85,11,149,2,249,458
35015,"Burlington/Burlington"," 113","Burlington",4,104,9,125,0,242,408
35015,"Burlington/Burlington"," 114","Burlington",1,71,14,128,0,214,367
35015,"Burlington/Burlington"," 115","Burlington",2,104,8,83,0,197,327
35015,"Burlington/Burlington"," 116","Burlington",7,90,37,78,1,213,459
35015,"Burlington/Burlington"," 117","Burlington",8,73,17,70,0,168,359
35015,"Burlington/Burlington"," 118","Burlington",4,87,24,71,1,187,395
35015,"Burlington/Burlington"," 119","Burlington",10,113,30,95,0,248,453
35015,"Burlington/Burlington"," 120","Burlington",5,98,22,76,0,201,360
35015,"Burlington/Burlington"," 121","Burlington",10,101,12,56,1,180,300
35015,"Burlington/Burlington"," 122","Burlington",0,106,14,98,0,218,310
35015,"Burlington/Burlington"," 123","Burlington",5,101,46,82,0,234,537
35015,"Burlington/Burlington"," 124","Burlington",2,89,24,92,0,207,348
35015,"Burlington/Burlington"," 125","Burlington",3,83,14,67,0,167,297
35015,"Burlington/Burlington"," 126A","Burlington",5,64,16,58,0,143,268
35015,"Burlington/Burlington"," 126B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,87
35015,"Burlington/Burlington"," 127A","Burlington",4,74,11,110,0,199,358
35015,"Burlington/Burlington"," 127B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,69
35015,"Burlington/Burlington"," 128","Burlington",5,89,12,160,2,268,427
35015,"Burlington/Burlington"," 129","Burlington",11,85,10,149,0,255,460
35015,"Burlington/Burlington"," 130","Burlington",8,85,11,146,0,250,446
35015,"Burlington/Burlington"," 131","Burlington",1,91,23,93,0,208,359
35015,"Burlington/Burlington"," 132","Burlington",3,117,6,107,1,234,362
35015,"Burlington/Burlington"," 133","Burlington",8,63,5,121,0,197,340
35015,"Burlington/Burlington"," 134","Burlington",6,104,15,116,0,241,375
35015,"Burlington/Burlington"," 135","Burlington",0,74,9,110,0,193,350
35015,"Burlington/Burlington"," 136","Burlington",6,98,16,119,0,239,379
35015,"Burlington/Burlington"," 137","Burlington",4,104,13,120,0,241,408
35015,"Burlington/Burlington"," 138","Burlington",5,92,16,101,0,214,373
35015,"Burlington/Burlington"," 139","Burlington",5,94,23,55,1,178,464
35015,"Burlington/Burlington"," 140","Burlington",5,104,29,82,1,221,449
35015,"Burlington/Burlington"," 141","Burlington",9,122,13,98,3,245,469
35015,"Burlington/Burlington"," 142","Burlington",3,144,12,124,2,285,451
35015,"Burlington/Burlington"," 143","Burlington",2,76,7,84,0,169,336
35015,"Burlington/Burlington"," 144","Burlington",9,82,30,79,2,202,393
35015,"Burlington/Burlington"," 145","Burlington",9,128,20,72,0,229,432
35015,"Burlington/Burlington"," 146","Burlington",4,153,32,104,0,293,514
35015,"Burlington/Burlington"," 147","Burlington",6,91,22,68,2,189,351
35015,"Burlington/Burlington"," 148","Burlington",8,122,16,109,0,255,468
35015,"Burlington/Burlington"," 149","Burlington",11,104,24,85,0,224,420
35015,"Burlington/Burlington"," 150","Burlington",4,112,26,55,0,197,305
35015,"Burlington/Burlington"," 151","Burlington",5,96,26,76,1,204,361
35015,"Burlington/Burlington"," 152","Burlington",6,148,25,83,0,262,445
35015,"Burlington/Burlington"," 153","Burlington",23,140,42,91,1,297,481
35015,"Burlington/Burlington"," 154","Burlington",9,76,19,80,0,184,358
35015,"Burlington/Burlington"," 155","Burlington",7,119,9,85,0,220,384
35015,"Burlington/Burlington"," 156","Burlington",4,115,16,123,0,258,442
35015,"Burlington/Burlington"," 157","Burlington",10,111,16,81,0,218,365
35015,"Burlington/Burlington"," 158","Burlington",9,119,10,102,0,240,391
35015,"Burlington/Burlington"," 159","Burlington",14,93,16,61,1,185,324
35015,"Burlington/Burlington"," 160","Burlington",5,131,27,70,2,235,368
35015,"Burlington/Burlington"," 161A","Burlington",3,108,16,89,0,216,391
35015,"Burlington/Burlington"," 161B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,55
35015,"Burlington/Burlington"," 162","Burlington",7,101,19,72,0,199,371
35015,"Burlington/Burlington"," 163","Burlington",7,97,27,50,0,181,402
35015,"Burlington/Burlington"," 164","Burlington",3,87,6,76,1,173,352
35015,"Burlington/Burlington"," 165","Burlington",3,91,27,68,0,189,392
35015,"Burlington/Burlington"," 166","Burlington",3,116,27,68,2,216,457
35015,"Burlington/Burlington"," 167","Burlington",3,112,19,56,1,191,349
35015,"Burlington/Burlington"," 168","Burlington",4,107,13,91,4,219,383
35015,"Burlington/Burlington"," 169","Burlington",2,104,27,89,1,223,505
35015,"Burlington/Burlington"," 170","Burlington",5,58,12,61,1,137,285
35015,"Burlington/Burlington"," 171","Burlington",5,88,17,90,0,200,355
35015,"Burlington/Burlington"," 172","Burlington",5,79,16,63,0,163,346
35015,"Burlington/Burlington"," 173","Burlington",3,110,17,89,0,219,377
35015,"Burlington/Burlington"," 174","Burlington",7,90,15,48,0,160,345
35015,"Burlington/Burlington"," 175","Burlington",4,118,27,133,0,282,446
35015,"Burlington/Burlington"," 176","Burlington",7,119,22,82,3,233,404
35015,"Burlington/Burlington"," 177","Burlington",3,118,26,67,1,215,420
35015,"Burlington/Burlington"," 178","Burlington",8,103,10,103,0,224,395
35015,"Burlington/Burlington"," 179","Burlington",3,84,36,91,0,214,390
35015,"Burlington/Burlington"," 180","Burlington",6,85,27,98,2,218,404
35015,"Burlington/Burlington"," 181","Burlington",3,100,38,98,2,241,437
35015,"Burlington/Burlington"," 182","Burlington",5,111,33,104,0,253,396
35015,"Burlington/Burlington"," 183","Burlington",7,76,17,71,0,171,391
35015,"Burlington/Burlington"," 184","Burlington",7,88,23,69,2,189,481
