Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jessie Adcock,Fin Donnelly,Tim Laidler,Marcus Madsen,Roland Verrier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 27","Port Moody",53,68,28,8,1,0,158,309
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 28","Port Moody",90,79,50,3,0,3,225,446
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 29","Port Moody",87,89,36,17,0,0,229,439
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 30","Port Moody",71,111,50,7,0,0,239,469
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 31","Port Moody",89,51,74,3,0,1,218,465
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 32","Port Moody",72,47,68,6,1,0,194,432
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 33","Port Moody",90,70,55,3,1,1,220,513
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 34","Port Moody",99,88,52,8,1,0,248,489
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 35","Port Moody",84,108,57,9,0,0,258,393
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 36","Port Moody",98,87,41,7,0,0,233,365
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 37A","Port Moody",67,61,51,6,0,1,186,348
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 37B","Port Moody",72,55,40,9,0,0,176,346
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 38","Port Moody",97,82,37,7,0,1,224,370
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 39","Port Moody",84,51,58,4,0,0,197,411
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 40","Port Moody",89,55,56,8,0,0,208,414
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 41","Coquitlam",75,63,46,7,0,0,191,387
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 42","Port Moody",69,132,75,10,0,1,287,525
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 43","Port Moody",70,84,51,12,0,1,218,397
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 44","Port Moody",95,95,46,10,0,0,246,455
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 45","Port Moody",88,117,73,14,0,1,293,497
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 46","Port Moody",83,60,76,8,0,0,227,451
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 47","Port Moody",97,77,51,15,0,0,240,471
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 48","Port Moody",63,65,34,14,3,0,179,424
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 49A","Port Moody",39,68,35,3,0,0,145,302
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 49B","Port Moody",55,63,40,5,0,0,163,289
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 50","Port Moody",65,93,48,9,1,0,216,403
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 51","Port Moody",46,61,46,11,2,2,168,445
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 52","Port Moody",59,79,30,8,0,2,178,396
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 53","Port Moody",74,85,67,4,1,0,231,367
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 54","Port Moody",62,91,57,11,0,0,221,396
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 55","Port Moody",82,112,50,17,0,0,261,515
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 56","Port Moody",62,106,44,3,0,1,216,373
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 57","Port Moody",73,111,21,7,0,2,214,415
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 58","Port Moody",45,63,46,6,0,0,160,293
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 59","Port Moody",108,121,92,12,0,1,334,486
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 60","Port Moody",90,125,103,13,1,1,333,526
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 61","Port Moody",71,82,80,8,1,1,243,436
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 62","Port Moody",72,94,32,13,0,2,213,387
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 63","Coquitlam",104,83,58,9,0,0,254,460
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 64","Coquitlam",81,77,66,7,1,3,235,454
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 65","Coquitlam",87,97,50,17,1,1,253,446
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 66","Coquitlam",54,75,44,15,0,0,188,443
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 67A","Coquitlam",57,45,33,5,0,0,140,312
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 67B","Coquitlam",37,45,30,6,0,0,118,276
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 68","Coquitlam",74,73,46,6,3,0,202,510
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 69A","Coquitlam",57,46,48,6,0,1,158,297
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 69B","Coquitlam",53,42,34,7,0,0,136,255
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 70","Coquitlam",83,86,67,8,2,0,246,428
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 71","Coquitlam",58,104,60,13,0,1,236,407
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 72","Coquitlam",69,83,82,7,0,0,241,398
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 73","Coquitlam",77,96,75,14,0,3,265,469
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 74","Coquitlam",79,98,109,8,0,0,294,477
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 75","Coquitlam",68,98,73,7,0,0,246,380
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 76","Coquitlam",76,67,101,4,0,1,249,425
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 77","Coquitlam",66,68,63,5,1,1,204,384
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 78","Coquitlam",84,85,71,3,0,0,243,417
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 79","Coquitlam",89,109,72,6,1,1,278,451
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 80","Coquitlam",92,55,77,7,0,0,231,432
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 81","Coquitlam",73,84,53,3,1,0,214,384
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 82","Coquitlam",58,101,81,6,1,0,247,438
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 83","Coquitlam",69,79,68,4,0,1,221,369
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 84","Coquitlam",70,56,49,6,0,1,182,317
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 85A","Coquitlam",37,49,29,1,1,0,117,302
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 85B","Coquitlam",47,42,23,3,1,0,116,282
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 86","Coquitlam",68,82,53,3,0,1,207,471
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 87","Coquitlam",44,75,31,6,0,2,158,398
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 88","Coquitlam",76,79,105,14,0,0,274,443
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 89","Coquitlam",65,71,34,11,0,0,181,365
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 90","Coquitlam",78,79,72,10,0,0,239,449
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 91","Coquitlam",67,78,105,6,0,1,257,441
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 92A","Coquitlam",57,63,37,2,1,1,161,424
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 92B","Coquitlam",49,46,47,0,0,0,142,410
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 93","Coquitlam",35,42,34,2,0,0,113,304
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 94","Coquitlam",73,55,15,9,1,0,153,489
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 95","Coquitlam",48,34,31,5,0,3,121,340
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 96","Coquitlam",56,37,71,7,0,2,173,365
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 97","Coquitlam",64,79,69,15,0,2,229,469
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 98","Coquitlam",64,40,72,9,1,3,189,407
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 99","Coquitlam",73,88,62,7,0,2,232,396
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 100","Coquitlam",72,66,72,11,1,0,222,404
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 101","Coquitlam",72,88,40,9,1,1,211,405
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 102A","Coquitlam",49,47,23,4,0,0,123,278
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 102B","Coquitlam",48,52,23,11,0,0,134,334
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 103","Coquitlam",58,73,47,7,0,1,186,454
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 104","Coquitlam",73,107,58,7,0,1,246,511
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 105","Coquitlam",88,90,39,6,0,0,223,472
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 106","Coquitlam",63,86,39,8,0,1,197,443
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 107","Coquitlam",73,70,78,4,1,0,226,388
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 108","Coquitlam",64,96,65,8,0,0,233,451
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 109","Coquitlam",65,83,92,6,0,0,246,425
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 110","Coquitlam",64,43,73,8,0,0,188,361
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 111","Coquitlam",76,72,47,7,0,4,206,412
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 112","Coquitlam",59,85,76,7,0,0,227,462
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 113","Coquitlam",99,71,75,6,0,0,251,470
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 114","Coquitlam",62,78,85,8,0,0,233,438
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 115","Coquitlam",38,90,79,2,0,0,209,387
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 116","Coquitlam",60,65,88,5,0,0,218,420
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 117","Coquitlam",75,100,61,20,0,1,257,441
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 118","Coquitlam",79,100,89,12,0,1,281,471
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 119","Coquitlam",68,70,84,2,0,1,225,456
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 120A","Coquitlam",50,73,42,9,0,0,174,280
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 120B","Coquitlam",40,42,57,2,0,0,141,264
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 121","Coquitlam",89,80,76,1,0,0,246,438
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 122","Coquitlam",49,72,44,7,1,0,173,307
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 123","Coquitlam",58,55,63,4,0,2,182,318
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 124","Coquitlam",71,84,71,16,2,2,246,425
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 125","Coquitlam",105,126,90,7,0,0,328,529
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 126","Coquitlam",73,88,79,16,0,0,256,467
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 127","Coquitlam",71,64,97,7,2,0,241,438
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 128","Coquitlam",94,57,71,3,1,1,227,517
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 129","Coquitlam",86,98,51,13,0,0,248,465
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 130","Coquitlam",80,84,75,4,0,1,244,477
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 131","Coquitlam",75,72,77,6,0,1,231,428
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 132","Coquitlam",74,89,66,10,0,0,239,395
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 133","Coquitlam",74,69,48,2,0,1,194,437
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 134","Coquitlam",66,89,44,18,1,0,218,407
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 135","Coquitlam",71,66,61,6,0,3,207,447
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 136","Coquitlam",67,70,92,6,0,0,235,460
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 137","Coquitlam",75,44,75,3,0,0,197,387
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 138","Coquitlam",57,51,70,1,1,1,181,358
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 139","Coquitlam",65,60,67,8,0,0,200,405
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 140","Coquitlam",67,67,54,6,0,0,194,337
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 141","Coquitlam",69,72,48,9,1,0,199,480
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 142","Coquitlam",109,67,66,10,0,1,253,456
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 143","Coquitlam",69,76,83,10,0,1,239,426
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 144","Coquitlam",60,70,76,6,0,1,213,427
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 145","Coquitlam",78,78,74,9,0,2,241,407
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 146","Coquitlam",96,81,98,10,0,2,287,482
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 147","Coquitlam",70,92,59,10,1,0,232,420
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 148","Coquitlam",78,76,55,10,0,0,219,447
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 149","Coquitlam",54,79,90,13,0,0,236,413
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 150","Coquitlam",73,72,75,7,1,0,228,400
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 151","Coquitlam",72,82,90,7,1,0,252,451
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 152","Coquitlam",56,60,70,4,0,0,190,345
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 153","Coquitlam",72,62,85,4,0,2,225,413
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 154","Coquitlam",58,77,42,5,1,0,183,382
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 155","Coquitlam",84,75,53,6,0,0,218,464
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 156","Coquitlam",102,95,64,8,1,0,270,428
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 157","Coquitlam",78,105,36,11,0,0,230,464
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 158","Coquitlam",95,108,69,8,1,0,281,483
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 159","Coquitlam",79,110,63,8,0,0,260,484
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 160","Coquitlam",82,54,35,10,1,0,182,344
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 161","Coquitlam",76,75,42,3,0,0,196,422
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 162","Coquitlam",88,105,69,18,0,1,281,529
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 163","Coquitlam",54,63,40,12,1,0,170,312
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 164","Coquitlam",71,110,44,11,0,0,236,502
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 165A","Coquitlam",34,40,18,2,0,0,94,289
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 165B","Coquitlam",30,45,16,3,0,1,95,271
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 166","Coquitlam",61,63,42,8,2,0,176,443
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 167","Coquitlam",75,59,54,5,0,1,194,449
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 168","Coquitlam",52,61,53,1,1,0,168,312
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 169","Coquitlam",75,71,31,9,1,1,188,422
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 170","Coquitlam",85,81,75,8,0,3,252,467
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 171A","Coquitlam",44,39,35,3,0,0,121,258
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 171B","Coquitlam",61,54,36,3,0,0,154,290
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 172","Coquitlam",90,82,47,11,0,2,232,422
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 173","Coquitlam",66,93,60,5,0,1,225,491
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 174","Coquitlam",65,81,69,16,0,0,231,404
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 175","Coquitlam",55,59,70,3,0,0,187,356
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 176","Coquitlam",75,96,93,7,1,2,274,505
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 177","Coquitlam",71,65,50,7,0,0,193,349
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 178","Coquitlam",68,79,49,9,0,0,205,357
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 179","Coquitlam",66,78,65,8,1,1,219,379
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 180","Coquitlam",86,66,77,9,0,0,238,465
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 181","Coquitlam",72,50,47,2,1,1,173,342
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 500","Mobile poll/Bureau itinérant",14,20,20,2,1,2,59,81
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 501","Mobile poll/Bureau itinérant",27,43,28,5,2,3,108,152
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 502","Mobile poll/Bureau itinérant",16,14,22,2,1,2,57,127
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 503","Mobile poll/Bureau itinérant",65,20,20,13,1,2,121,192
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 504","Mobile poll/Bureau itinérant",32,35,46,3,2,2,120,197
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 600","Anmore",84,109,155,8,0,2,358,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 601","Port Moody",225,244,426,19,1,2,917,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 602","Port Moody",284,504,357,28,1,2,1176,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 603","Port Moody",184,439,209,32,1,1,866,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 604","Port Moody",248,451,210,31,2,5,947,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 605","Coquitlam",257,431,317,49,0,1,1055,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 606","Coquitlam",188,399,324,24,0,1,936,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 607","Coquitlam",168,303,164,22,1,1,659,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 608","Coquitlam",228,333,294,22,2,2,881,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 609","Coquitlam",180,310,235,24,1,2,752,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 610","Coquitlam",228,442,317,27,0,0,1014,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 611","Coquitlam",175,336,213,20,1,0,745,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 612","Coquitlam",222,292,294,15,1,0,824,
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam",,"Group 1/Groupe 1",36,51,31,1,1,7,127,107
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam",,"Group 2/Groupe 2",424,925,407,88,3,34,1881,
