Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Faizan Butt,Edward Gao,Bruce Kaufman,Robert Prcic,Michelle Rempel,Laurie Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 155","Calgary",1,6,36,78,105,16,0,242,471
48009,"Calgary Nose Hill/Calgary Nose Hill"," 156","Calgary",1,2,31,57,158,9,1,259,472
48009,"Calgary Nose Hill/Calgary Nose Hill"," 157","Calgary",1,3,26,52,144,6,4,236,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 158","Calgary",0,4,19,37,103,6,1,170,383
48009,"Calgary Nose Hill/Calgary Nose Hill"," 159","Calgary",0,7,23,42,101,5,0,178,350
48009,"Calgary Nose Hill/Calgary Nose Hill"," 160","Calgary",0,4,14,44,150,11,0,223,366
48009,"Calgary Nose Hill/Calgary Nose Hill"," 161","Calgary",3,3,12,61,126,7,0,212,392
48009,"Calgary Nose Hill/Calgary Nose Hill"," 162","Calgary",1,2,37,44,86,6,1,177,371
48009,"Calgary Nose Hill/Calgary Nose Hill"," 163","Calgary",2,3,24,48,98,8,0,183,371
48009,"Calgary Nose Hill/Calgary Nose Hill"," 164","Calgary",0,6,31,47,152,8,2,246,524
48009,"Calgary Nose Hill/Calgary Nose Hill"," 165","Calgary",1,3,26,47,105,5,1,188,385
48009,"Calgary Nose Hill/Calgary Nose Hill"," 166","Calgary",1,6,42,58,123,11,0,241,519
48009,"Calgary Nose Hill/Calgary Nose Hill"," 167","Calgary",0,3,31,61,125,8,0,228,444
48009,"Calgary Nose Hill/Calgary Nose Hill"," 168","Calgary",0,4,24,64,56,7,2,157,419
48009,"Calgary Nose Hill/Calgary Nose Hill"," 169","Calgary",1,3,35,73,87,6,1,206,448
48009,"Calgary Nose Hill/Calgary Nose Hill"," 170","Calgary",1,3,23,51,126,3,1,208,352
48009,"Calgary Nose Hill/Calgary Nose Hill"," 171","Calgary",3,3,18,49,73,8,1,155,355
48009,"Calgary Nose Hill/Calgary Nose Hill"," 172","Calgary",1,2,26,54,185,9,3,280,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 173","Calgary",2,0,36,63,191,8,0,300,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 174","Calgary",0,3,25,72,151,11,0,262,440
48009,"Calgary Nose Hill/Calgary Nose Hill"," 175","Calgary",0,5,33,86,182,11,0,317,458
48009,"Calgary Nose Hill/Calgary Nose Hill"," 176","Calgary",0,7,29,89,192,15,0,332,483
48009,"Calgary Nose Hill/Calgary Nose Hill"," 177","Calgary",0,1,42,111,180,11,0,345,507
48009,"Calgary Nose Hill/Calgary Nose Hill"," 178","Calgary",1,1,27,60,124,8,0,221,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 179","Calgary",2,2,35,68,135,15,1,258,407
48009,"Calgary Nose Hill/Calgary Nose Hill"," 180","Calgary",0,3,30,58,93,7,1,192,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 181","Calgary",0,2,29,64,150,11,0,256,441
48009,"Calgary Nose Hill/Calgary Nose Hill"," 182","Calgary",0,1,22,50,85,9,0,167,377
48009,"Calgary Nose Hill/Calgary Nose Hill"," 183","Calgary",2,4,48,79,75,7,1,216,517
48009,"Calgary Nose Hill/Calgary Nose Hill"," 184","Calgary",1,4,28,67,77,9,0,186,428
48009,"Calgary Nose Hill/Calgary Nose Hill"," 185","Calgary",1,9,21,49,153,7,2,242,467
48009,"Calgary Nose Hill/Calgary Nose Hill"," 186","Calgary",0,3,22,68,155,3,0,251,433
48009,"Calgary Nose Hill/Calgary Nose Hill"," 187","Calgary",2,3,31,56,169,19,2,282,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 188","Calgary",1,3,24,40,107,9,1,185,407
48009,"Calgary Nose Hill/Calgary Nose Hill"," 189","Calgary",1,2,26,71,133,10,1,244,477
48009,"Calgary Nose Hill/Calgary Nose Hill"," 190","Calgary",3,3,32,81,88,8,2,217,482
48009,"Calgary Nose Hill/Calgary Nose Hill"," 500","Mobile poll/Bureau itinérant",2,0,6,15,72,1,6,102,150
48009,"Calgary Nose Hill/Calgary Nose Hill"," 501","Mobile poll/Bureau itinérant",0,3,13,34,146,3,0,199,255
48009,"Calgary Nose Hill/Calgary Nose Hill"," 600","Calgary",6,5,56,276,426,10,2,781,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 601","Calgary",4,7,53,161,311,10,0,546,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 602","Calgary",4,14,55,226,486,10,4,799,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 603","Calgary",2,5,52,190,426,8,4,687,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 604","Calgary",3,2,82,225,627,21,1,961,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 605","Calgary",1,15,58,346,1074,8,6,1508,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 606","Calgary",3,7,78,212,692,12,5,1009,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 607","Calgary",2,8,74,254,706,7,2,1053,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 608","Calgary",4,11,87,213,605,19,5,944,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 609","Calgary",3,8,94,159,511,24,3,802,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 610","Calgary",2,9,96,163,434,17,0,721,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 611","Calgary",7,9,114,179,528,22,5,864,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 612","Calgary",0,6,108,172,471,25,0,782,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 613","Calgary",0,5,115,150,356,23,0,649,
48009,"Calgary Nose Hill/Calgary Nose Hill",,"Group 1/Groupe 1",0,4,19,41,18,5,5,92,82
48009,"Calgary Nose Hill/Calgary Nose Hill",,"Group 2/Groupe 2",9,43,232,445,850,38,43,1660,
