Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Matt Kadioglu,Steven Kou,Catherine Moore,Donna Petersen,Jojo Quimpo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 30","Vancouver",0,75,1,64,7,0,40,7,194,359
59038,"Vancouver Kingsway/Vancouver Kingsway"," 31","Vancouver",0,136,5,60,16,0,46,5,268,460
59038,"Vancouver Kingsway/Vancouver Kingsway"," 32","Vancouver",2,120,3,67,7,0,41,3,243,479
59038,"Vancouver Kingsway/Vancouver Kingsway"," 33","Vancouver",5,137,1,79,20,0,33,0,275,499
59038,"Vancouver Kingsway/Vancouver Kingsway"," 34","Vancouver",2,132,1,66,10,0,18,1,230,435
59038,"Vancouver Kingsway/Vancouver Kingsway"," 35","Vancouver",1,78,3,73,12,0,31,3,201,420
59038,"Vancouver Kingsway/Vancouver Kingsway"," 36","Vancouver",1,86,3,69,11,0,29,5,204,385
59038,"Vancouver Kingsway/Vancouver Kingsway"," 37","Vancouver",2,107,1,69,8,0,41,3,231,408
59038,"Vancouver Kingsway/Vancouver Kingsway"," 38","Vancouver",0,121,2,50,8,0,27,1,209,422
59038,"Vancouver Kingsway/Vancouver Kingsway"," 39","Vancouver",1,122,4,54,15,0,18,1,215,437
59038,"Vancouver Kingsway/Vancouver Kingsway"," 40","Vancouver",1,62,1,59,9,0,29,4,165,379
59038,"Vancouver Kingsway/Vancouver Kingsway"," 41","Vancouver",1,107,2,61,10,0,44,2,227,479
59038,"Vancouver Kingsway/Vancouver Kingsway"," 42","Vancouver",2,91,1,54,5,1,35,2,191,357
59038,"Vancouver Kingsway/Vancouver Kingsway"," 43","Vancouver",0,97,4,92,18,0,40,0,251,480
59038,"Vancouver Kingsway/Vancouver Kingsway"," 44","Vancouver",2,63,0,69,5,0,47,1,187,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 45","Vancouver",0,104,1,59,8,1,34,6,213,391
59038,"Vancouver Kingsway/Vancouver Kingsway"," 46","Vancouver",1,127,1,88,7,0,37,3,264,406
59038,"Vancouver Kingsway/Vancouver Kingsway"," 47","Vancouver",0,82,3,39,7,0,32,2,165,376
59038,"Vancouver Kingsway/Vancouver Kingsway"," 48","Vancouver",3,73,0,53,6,0,52,0,187,391
59038,"Vancouver Kingsway/Vancouver Kingsway"," 49","Vancouver",3,86,3,68,5,1,61,2,229,490
59038,"Vancouver Kingsway/Vancouver Kingsway"," 50","Vancouver",1,85,1,59,6,2,31,2,187,423
59038,"Vancouver Kingsway/Vancouver Kingsway"," 51","Vancouver",3,85,3,62,5,1,34,2,195,450
59038,"Vancouver Kingsway/Vancouver Kingsway"," 52","Vancouver",1,92,2,61,9,1,58,0,224,481
59038,"Vancouver Kingsway/Vancouver Kingsway"," 53","Vancouver",1,81,0,57,5,0,44,1,189,348
59038,"Vancouver Kingsway/Vancouver Kingsway"," 54","Vancouver",0,92,3,65,3,3,49,2,217,404
59038,"Vancouver Kingsway/Vancouver Kingsway"," 55","Vancouver",6,78,2,101,5,0,80,0,272,483
59038,"Vancouver Kingsway/Vancouver Kingsway"," 56","Vancouver",3,87,5,51,7,0,72,5,230,463
59038,"Vancouver Kingsway/Vancouver Kingsway"," 57","Vancouver",4,80,6,65,5,0,83,2,245,490
59038,"Vancouver Kingsway/Vancouver Kingsway"," 58","Vancouver",3,72,4,61,4,0,59,2,205,437
59038,"Vancouver Kingsway/Vancouver Kingsway"," 59","Vancouver",0,78,1,78,8,0,64,0,229,478
59038,"Vancouver Kingsway/Vancouver Kingsway"," 60","Vancouver",5,97,2,71,4,0,49,3,231,476
59038,"Vancouver Kingsway/Vancouver Kingsway"," 61","Vancouver",5,81,3,62,5,0,33,3,192,464
59038,"Vancouver Kingsway/Vancouver Kingsway"," 62","Vancouver",8,67,1,62,5,1,39,0,183,399
59038,"Vancouver Kingsway/Vancouver Kingsway"," 63","Vancouver",4,90,0,38,3,0,23,1,159,399
59038,"Vancouver Kingsway/Vancouver Kingsway"," 64","Vancouver",0,126,1,55,14,1,42,2,241,445
59038,"Vancouver Kingsway/Vancouver Kingsway"," 65","Vancouver",6,123,5,54,11,0,33,1,233,461
59038,"Vancouver Kingsway/Vancouver Kingsway"," 66","Vancouver",1,199,2,111,22,0,27,1,363,629
59038,"Vancouver Kingsway/Vancouver Kingsway"," 67","Vancouver",0,115,2,55,17,0,23,0,212,371
59038,"Vancouver Kingsway/Vancouver Kingsway"," 68","Vancouver",2,104,2,64,6,0,30,5,213,492
59038,"Vancouver Kingsway/Vancouver Kingsway"," 69","Vancouver",0,101,2,42,15,2,50,0,212,460
59038,"Vancouver Kingsway/Vancouver Kingsway"," 70","Vancouver",1,111,0,54,5,0,28,2,201,388
59038,"Vancouver Kingsway/Vancouver Kingsway"," 71","Vancouver",1,87,1,48,18,0,21,0,176,378
59038,"Vancouver Kingsway/Vancouver Kingsway"," 72","Vancouver",0,76,1,30,4,4,19,1,135,373
59038,"Vancouver Kingsway/Vancouver Kingsway"," 73","Vancouver",2,72,2,29,7,0,26,2,140,402
59038,"Vancouver Kingsway/Vancouver Kingsway"," 74","Vancouver",7,86,2,58,13,0,52,5,223,482
59038,"Vancouver Kingsway/Vancouver Kingsway"," 75","Vancouver",1,130,1,72,8,1,36,1,250,448
59038,"Vancouver Kingsway/Vancouver Kingsway"," 76","Vancouver",1,81,3,52,5,0,51,4,197,401
59038,"Vancouver Kingsway/Vancouver Kingsway"," 77","Vancouver",2,96,4,62,6,0,53,2,225,413
59038,"Vancouver Kingsway/Vancouver Kingsway"," 78","Vancouver",4,63,3,57,12,0,45,3,187,432
59038,"Vancouver Kingsway/Vancouver Kingsway"," 79","Vancouver",1,54,2,50,3,0,49,2,161,429
59038,"Vancouver Kingsway/Vancouver Kingsway"," 80","Vancouver",3,66,0,73,9,0,84,5,240,465
59038,"Vancouver Kingsway/Vancouver Kingsway"," 81","Vancouver",5,78,1,62,12,2,70,1,231,443
59038,"Vancouver Kingsway/Vancouver Kingsway"," 82","Vancouver",3,74,3,59,3,1,67,4,214,456
59038,"Vancouver Kingsway/Vancouver Kingsway"," 83","Vancouver",4,66,2,85,9,0,55,2,223,402
59038,"Vancouver Kingsway/Vancouver Kingsway"," 84","Vancouver",1,68,2,72,3,0,77,3,226,467
59038,"Vancouver Kingsway/Vancouver Kingsway"," 85","Vancouver",0,92,3,70,6,1,52,3,227,488
59038,"Vancouver Kingsway/Vancouver Kingsway"," 86","Vancouver",3,87,4,64,8,2,52,1,221,410
59038,"Vancouver Kingsway/Vancouver Kingsway"," 87","Vancouver",8,90,4,71,5,0,45,3,226,497
59038,"Vancouver Kingsway/Vancouver Kingsway"," 88","Vancouver",0,101,6,72,7,0,40,6,232,494
59038,"Vancouver Kingsway/Vancouver Kingsway"," 89","Vancouver",3,105,1,58,7,0,34,1,209,479
59038,"Vancouver Kingsway/Vancouver Kingsway"," 90","Vancouver",3,97,2,65,9,2,36,3,217,420
59038,"Vancouver Kingsway/Vancouver Kingsway"," 91","Vancouver",5,106,2,68,5,0,28,3,217,384
59038,"Vancouver Kingsway/Vancouver Kingsway"," 92","Vancouver",0,76,1,62,10,0,39,0,188,380
59038,"Vancouver Kingsway/Vancouver Kingsway"," 93","Vancouver",3,61,4,67,5,0,49,1,190,377
59038,"Vancouver Kingsway/Vancouver Kingsway"," 94","Vancouver",1,76,1,50,4,0,37,4,173,420
59038,"Vancouver Kingsway/Vancouver Kingsway"," 95","Vancouver",1,76,0,61,5,0,27,1,171,421
59038,"Vancouver Kingsway/Vancouver Kingsway"," 96","Vancouver",6,107,1,56,10,0,34,1,215,487
59038,"Vancouver Kingsway/Vancouver Kingsway"," 97","Vancouver",2,91,2,67,11,2,57,3,235,483
59038,"Vancouver Kingsway/Vancouver Kingsway"," 98","Vancouver",0,56,4,52,5,0,31,1,149,375
59038,"Vancouver Kingsway/Vancouver Kingsway"," 99","Vancouver",2,49,2,56,5,1,51,3,169,363
59038,"Vancouver Kingsway/Vancouver Kingsway"," 100","Vancouver",3,95,1,48,1,0,36,3,187,377
59038,"Vancouver Kingsway/Vancouver Kingsway"," 101","Vancouver",2,85,3,59,4,1,51,2,207,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 102","Vancouver",4,109,3,66,4,0,52,0,238,506
59038,"Vancouver Kingsway/Vancouver Kingsway"," 103","Vancouver",8,71,3,66,7,1,34,4,194,430
59038,"Vancouver Kingsway/Vancouver Kingsway"," 104","Vancouver",2,75,3,43,3,0,56,3,185,417
59038,"Vancouver Kingsway/Vancouver Kingsway"," 105","Vancouver",0,29,1,34,3,0,15,0,82,178
59038,"Vancouver Kingsway/Vancouver Kingsway"," 106","Vancouver",5,92,3,71,10,0,69,1,251,584
59038,"Vancouver Kingsway/Vancouver Kingsway"," 107","Vancouver",1,49,5,66,0,0,57,5,183,403
59038,"Vancouver Kingsway/Vancouver Kingsway"," 108","Vancouver",5,66,4,110,2,0,54,2,243,447
59038,"Vancouver Kingsway/Vancouver Kingsway"," 109","Vancouver",5,64,4,56,8,1,49,3,190,393
59038,"Vancouver Kingsway/Vancouver Kingsway"," 110","Vancouver",2,51,1,54,2,0,51,1,162,358
59038,"Vancouver Kingsway/Vancouver Kingsway"," 111","Vancouver",1,48,3,94,7,1,70,0,224,408
59038,"Vancouver Kingsway/Vancouver Kingsway"," 112","Vancouver",1,47,7,69,1,1,73,3,202,440
59038,"Vancouver Kingsway/Vancouver Kingsway"," 113","Vancouver",4,77,1,59,2,0,69,1,213,396
59038,"Vancouver Kingsway/Vancouver Kingsway"," 114","Vancouver",2,63,4,75,4,1,63,5,217,453
59038,"Vancouver Kingsway/Vancouver Kingsway"," 115","Vancouver",0,72,2,61,5,1,49,0,190,530
59038,"Vancouver Kingsway/Vancouver Kingsway"," 116","Vancouver",6,96,2,63,4,1,60,2,234,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 117","Vancouver",1,57,3,53,3,0,51,1,169,409
59038,"Vancouver Kingsway/Vancouver Kingsway"," 118","Vancouver",3,77,4,77,5,2,50,1,219,529
59038,"Vancouver Kingsway/Vancouver Kingsway"," 119","Vancouver",6,74,0,41,1,1,55,1,179,407
59038,"Vancouver Kingsway/Vancouver Kingsway"," 120","Vancouver",3,78,5,42,4,3,44,3,182,418
59038,"Vancouver Kingsway/Vancouver Kingsway"," 121","Vancouver",3,74,4,40,2,0,51,2,176,483
59038,"Vancouver Kingsway/Vancouver Kingsway"," 122","Vancouver",3,62,3,56,5,1,33,2,165,471
59038,"Vancouver Kingsway/Vancouver Kingsway"," 123","Vancouver",6,67,1,67,7,0,32,2,182,414
59038,"Vancouver Kingsway/Vancouver Kingsway"," 124","Vancouver",2,68,3,54,8,1,48,5,189,433
59038,"Vancouver Kingsway/Vancouver Kingsway"," 125","Vancouver",1,53,2,78,4,1,51,5,195,404
59038,"Vancouver Kingsway/Vancouver Kingsway"," 126","Vancouver",3,73,4,50,6,0,37,6,179,387
59038,"Vancouver Kingsway/Vancouver Kingsway"," 127","Vancouver",2,73,5,46,8,1,47,1,183,381
59038,"Vancouver Kingsway/Vancouver Kingsway"," 128","Vancouver",0,87,1,52,4,1,31,3,179,375
59038,"Vancouver Kingsway/Vancouver Kingsway"," 129","Vancouver",1,75,2,65,5,0,62,1,211,406
59038,"Vancouver Kingsway/Vancouver Kingsway"," 130","Vancouver",1,71,2,47,1,0,57,1,180,375
59038,"Vancouver Kingsway/Vancouver Kingsway"," 131","Vancouver",2,80,6,64,6,0,53,2,213,483
59038,"Vancouver Kingsway/Vancouver Kingsway"," 132","Vancouver",4,66,2,59,7,2,53,1,194,462
59038,"Vancouver Kingsway/Vancouver Kingsway"," 133","Vancouver",0,53,3,39,7,0,58,0,160,422
59038,"Vancouver Kingsway/Vancouver Kingsway"," 134","Vancouver",2,79,3,65,1,1,24,1,176,400
59038,"Vancouver Kingsway/Vancouver Kingsway"," 135","Vancouver",2,68,4,74,5,0,64,3,220,452
59038,"Vancouver Kingsway/Vancouver Kingsway"," 136","Vancouver",0,110,1,58,3,1,45,2,220,456
59038,"Vancouver Kingsway/Vancouver Kingsway"," 137","Vancouver",2,71,3,67,6,0,46,1,196,461
59038,"Vancouver Kingsway/Vancouver Kingsway"," 138","Vancouver",6,64,3,81,4,1,58,0,217,423
59038,"Vancouver Kingsway/Vancouver Kingsway"," 139","Vancouver",1,50,4,71,6,0,43,2,177,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 140","Vancouver",2,97,0,62,6,0,63,2,232,409
59038,"Vancouver Kingsway/Vancouver Kingsway"," 141","Vancouver",1,98,1,71,1,2,35,3,212,470
59038,"Vancouver Kingsway/Vancouver Kingsway"," 142","Vancouver",0,86,0,37,6,0,32,2,163,401
59038,"Vancouver Kingsway/Vancouver Kingsway"," 143","Vancouver",3,82,0,47,2,0,43,0,177,445
59038,"Vancouver Kingsway/Vancouver Kingsway"," 144","Vancouver",3,98,3,45,1,0,43,2,195,445
59038,"Vancouver Kingsway/Vancouver Kingsway"," 145","Vancouver",2,86,1,37,1,0,37,2,166,414
59038,"Vancouver Kingsway/Vancouver Kingsway"," 146","Vancouver",0,101,2,37,6,0,50,5,201,430
59038,"Vancouver Kingsway/Vancouver Kingsway"," 147","Vancouver",1,72,2,37,2,0,33,1,148,392
59038,"Vancouver Kingsway/Vancouver Kingsway"," 148","Vancouver",1,86,3,82,8,0,66,1,247,500
59038,"Vancouver Kingsway/Vancouver Kingsway"," 149","Vancouver",0,82,3,56,4,0,43,2,190,433
59038,"Vancouver Kingsway/Vancouver Kingsway"," 150","Vancouver",0,90,5,45,5,0,34,1,180,411
59038,"Vancouver Kingsway/Vancouver Kingsway"," 151","Vancouver",2,87,4,39,4,1,59,0,196,429
59038,"Vancouver Kingsway/Vancouver Kingsway"," 152","Vancouver",5,60,3,59,2,0,79,2,210,492
59038,"Vancouver Kingsway/Vancouver Kingsway"," 153","Vancouver",1,81,6,58,5,1,27,5,184,403
59038,"Vancouver Kingsway/Vancouver Kingsway"," 154","Vancouver",2,140,4,75,5,0,46,4,276,505
59038,"Vancouver Kingsway/Vancouver Kingsway"," 155","Vancouver",1,106,5,56,4,0,66,2,240,476
59038,"Vancouver Kingsway/Vancouver Kingsway"," 156","Vancouver",3,92,3,67,4,1,43,1,214,496
59038,"Vancouver Kingsway/Vancouver Kingsway"," 157","Vancouver",0,50,2,31,0,0,20,1,104,309
59038,"Vancouver Kingsway/Vancouver Kingsway"," 158","Vancouver",0,31,1,26,5,0,19,2,84,175
59038,"Vancouver Kingsway/Vancouver Kingsway"," 159","Vancouver",1,60,1,59,8,0,26,1,156,348
59038,"Vancouver Kingsway/Vancouver Kingsway"," 160","Vancouver",2,108,1,67,8,0,58,11,255,479
59038,"Vancouver Kingsway/Vancouver Kingsway"," 161","Vancouver",3,146,2,70,7,0,45,5,278,530
59038,"Vancouver Kingsway/Vancouver Kingsway"," 162","Vancouver",2,67,1,53,3,1,49,5,181,448
59038,"Vancouver Kingsway/Vancouver Kingsway"," 163","Vancouver",1,71,0,66,8,0,57,0,203,561
59038,"Vancouver Kingsway/Vancouver Kingsway"," 164","Vancouver",1,70,1,70,8,0,52,0,202,444
59038,"Vancouver Kingsway/Vancouver Kingsway"," 165","Vancouver",4,64,2,48,8,0,37,5,168,398
59038,"Vancouver Kingsway/Vancouver Kingsway"," 166","Vancouver",0,58,2,55,7,1,36,1,160,391
59038,"Vancouver Kingsway/Vancouver Kingsway"," 167","Vancouver",0,71,0,60,7,0,41,2,181,394
59038,"Vancouver Kingsway/Vancouver Kingsway"," 500","Mobile poll/Bureau itinérant",2,5,3,21,5,1,14,4,55,88
59038,"Vancouver Kingsway/Vancouver Kingsway"," 501","Mobile poll/Bureau itinérant",1,43,1,23,8,1,13,1,91,151
59038,"Vancouver Kingsway/Vancouver Kingsway"," 600","Vancouver",12,684,10,226,35,1,170,14,1152,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 601","Vancouver",2,636,6,274,31,1,203,14,1167,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 602","Vancouver",2,495,6,122,26,1,137,4,793,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 603","Vancouver",13,379,4,187,23,0,192,7,805,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 604","Vancouver",5,635,7,175,38,0,141,2,1003,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 605","Vancouver",10,371,2,138,14,2,123,2,662,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 606","Vancouver",10,411,5,206,22,0,175,4,833,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 607","Vancouver",4,388,10,218,27,0,235,4,886,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 608","Vancouver",4,471,10,210,17,1,252,2,967,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 609","Vancouver",12,411,3,197,18,3,203,12,859,
59038,"Vancouver Kingsway/Vancouver Kingsway"," 610","Vancouver",4,374,4,167,25,0,144,3,721,
59038,"Vancouver Kingsway/Vancouver Kingsway",,"Group 1/Groupe 1",1,38,0,35,1,0,13,7,95,97
59038,"Vancouver Kingsway/Vancouver Kingsway",,"Group 2/Groupe 2",4,794,5,282,51,3,153,25,1317,
