Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Kerry Cundal,Taryn Knorren,Ron Liepert,Tim Moen,Jesse Rau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 113","Calgary",9,79,1,118,4,0,0,211,458
48012,"Calgary Signal Hill/Calgary Signal Hill"," 114","Calgary",11,72,3,160,4,0,1,251,480
48012,"Calgary Signal Hill/Calgary Signal Hill"," 115","Calgary",11,69,6,211,1,0,1,299,470
48012,"Calgary Signal Hill/Calgary Signal Hill"," 116","Calgary",9,54,3,137,4,0,0,207,434
48012,"Calgary Signal Hill/Calgary Signal Hill"," 117","Calgary",4,44,2,134,3,0,1,188,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 118","Calgary",5,43,1,127,4,1,0,181,409
48012,"Calgary Signal Hill/Calgary Signal Hill"," 119","Calgary",8,50,3,114,0,2,1,178,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 120","Calgary",6,70,3,124,1,0,0,204,463
48012,"Calgary Signal Hill/Calgary Signal Hill"," 121","Calgary",10,72,13,132,3,3,0,233,408
48012,"Calgary Signal Hill/Calgary Signal Hill"," 122","Calgary",12,48,6,182,3,0,0,251,492
48012,"Calgary Signal Hill/Calgary Signal Hill"," 123","Calgary",2,59,1,148,1,0,1,212,465
48012,"Calgary Signal Hill/Calgary Signal Hill"," 124","Calgary",7,97,4,131,4,0,0,243,485
48012,"Calgary Signal Hill/Calgary Signal Hill"," 125","Calgary",13,80,4,69,2,0,0,168,387
48012,"Calgary Signal Hill/Calgary Signal Hill"," 126","Calgary",15,74,3,132,4,1,0,229,452
48012,"Calgary Signal Hill/Calgary Signal Hill"," 127","Calgary",10,96,11,118,2,0,2,239,422
48012,"Calgary Signal Hill/Calgary Signal Hill"," 128","Calgary",11,77,8,94,3,1,0,194,350
48012,"Calgary Signal Hill/Calgary Signal Hill"," 129","Calgary",14,90,14,92,5,3,1,219,455
48012,"Calgary Signal Hill/Calgary Signal Hill"," 130","Calgary",19,89,7,120,1,0,1,237,486
48012,"Calgary Signal Hill/Calgary Signal Hill"," 131","Calgary",28,85,4,86,2,0,1,206,451
48012,"Calgary Signal Hill/Calgary Signal Hill"," 132","Calgary",13,76,7,76,5,2,2,181,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 133","Calgary",19,83,11,109,4,1,4,231,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 134","Calgary",21,70,7,96,6,0,1,201,394
48012,"Calgary Signal Hill/Calgary Signal Hill"," 135","Calgary",10,61,6,127,5,1,1,211,381
48012,"Calgary Signal Hill/Calgary Signal Hill"," 136","Calgary",7,73,5,136,3,0,0,224,380
48012,"Calgary Signal Hill/Calgary Signal Hill"," 137","Calgary",13,91,6,108,3,1,0,222,375
48012,"Calgary Signal Hill/Calgary Signal Hill"," 138","Calgary",13,80,10,174,4,0,0,281,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 139","Calgary",11,78,6,149,4,0,0,248,358
48012,"Calgary Signal Hill/Calgary Signal Hill"," 140","Calgary",16,97,5,142,0,1,0,261,402
48012,"Calgary Signal Hill/Calgary Signal Hill"," 141","Calgary",21,85,9,96,2,0,0,213,352
48012,"Calgary Signal Hill/Calgary Signal Hill"," 142","Calgary",15,88,5,117,3,1,0,229,383
48012,"Calgary Signal Hill/Calgary Signal Hill"," 143","Calgary",31,99,12,91,4,1,0,238,461
48012,"Calgary Signal Hill/Calgary Signal Hill"," 144","Calgary",21,144,12,129,3,4,1,314,517
48012,"Calgary Signal Hill/Calgary Signal Hill"," 145A","Calgary",4,61,4,100,1,1,0,171,351
48012,"Calgary Signal Hill/Calgary Signal Hill"," 145B","Calgary",2,45,5,95,2,0,0,149,285
48012,"Calgary Signal Hill/Calgary Signal Hill"," 146","Calgary",11,90,10,109,4,1,1,226,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 147","Calgary",7,90,2,112,0,0,1,212,484
48012,"Calgary Signal Hill/Calgary Signal Hill"," 148","Calgary",8,94,13,180,3,2,1,301,467
48012,"Calgary Signal Hill/Calgary Signal Hill"," 149","Calgary",18,76,11,163,0,1,1,270,443
