Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Majid Jowhari,Michael Parsa,Gwendolyn Veenema,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 114","Richmond Hill",8,88,55,0,0,151,420
35087,"Richmond Hill/Richmond Hill"," 115","Richmond Hill",9,54,51,1,0,115,297
35087,"Richmond Hill/Richmond Hill"," 116","Richmond Hill",10,69,57,3,0,139,386
35087,"Richmond Hill/Richmond Hill"," 117","Richmond Hill",21,97,63,2,1,184,487
35087,"Richmond Hill/Richmond Hill"," 118","Richmond Hill",13,97,79,4,1,194,471
35087,"Richmond Hill/Richmond Hill"," 119","Richmond Hill",14,56,51,2,3,126,304
35087,"Richmond Hill/Richmond Hill"," 120","Richmond Hill",20,73,51,2,1,147,431
35087,"Richmond Hill/Richmond Hill"," 121","Richmond Hill",6,59,77,2,0,144,370
35087,"Richmond Hill/Richmond Hill"," 122","Richmond Hill",10,84,50,5,0,149,456
35087,"Richmond Hill/Richmond Hill"," 123","Richmond Hill",3,87,70,0,0,160,489
35087,"Richmond Hill/Richmond Hill"," 124","Richmond Hill",4,57,68,1,0,130,466
35087,"Richmond Hill/Richmond Hill"," 125","Richmond Hill",13,69,94,2,1,179,480
35087,"Richmond Hill/Richmond Hill"," 126","Richmond Hill",8,62,53,3,1,127,348
35087,"Richmond Hill/Richmond Hill"," 127","Richmond Hill",9,72,68,3,0,152,384
35087,"Richmond Hill/Richmond Hill"," 128","Richmond Hill",9,69,86,0,0,164,408
35087,"Richmond Hill/Richmond Hill"," 129","Richmond Hill",4,65,43,1,1,114,343
35087,"Richmond Hill/Richmond Hill"," 130","Richmond Hill",12,69,66,0,0,147,449
35087,"Richmond Hill/Richmond Hill"," 131","Richmond Hill",16,100,70,4,1,191,449
35087,"Richmond Hill/Richmond Hill"," 132","Richmond Hill",14,54,85,1,0,154,360
35087,"Richmond Hill/Richmond Hill"," 133","Richmond Hill",7,94,71,0,0,172,430
35087,"Richmond Hill/Richmond Hill"," 134","Richmond Hill",5,41,71,1,1,119,427
35087,"Richmond Hill/Richmond Hill"," 135","Richmond Hill",8,78,88,2,2,178,482
35087,"Richmond Hill/Richmond Hill"," 136A","Richmond Hill",12,57,73,3,0,145,425
35087,"Richmond Hill/Richmond Hill"," 136B","Richmond Hill",5,42,44,0,1,92,293
35087,"Richmond Hill/Richmond Hill"," 137","Richmond Hill",13,75,69,0,0,157,440
35087,"Richmond Hill/Richmond Hill"," 138","Richmond Hill",7,106,55,3,1,172,447
35087,"Richmond Hill/Richmond Hill"," 139","Richmond Hill",8,49,86,4,0,147,435
35087,"Richmond Hill/Richmond Hill"," 140","Richmond Hill",7,71,75,6,2,161,401
35087,"Richmond Hill/Richmond Hill"," 141","Richmond Hill",7,56,63,0,0,126,344
35087,"Richmond Hill/Richmond Hill"," 142","Richmond Hill",5,65,60,1,0,131,322
35087,"Richmond Hill/Richmond Hill"," 143","Richmond Hill",6,95,72,1,1,175,447
35087,"Richmond Hill/Richmond Hill"," 144","Richmond Hill",1,46,57,2,2,108,307
35087,"Richmond Hill/Richmond Hill"," 145","Richmond Hill",8,86,104,2,2,202,446
35087,"Richmond Hill/Richmond Hill"," 146","Richmond Hill",4,69,92,1,1,167,359
35087,"Richmond Hill/Richmond Hill"," 147","Richmond Hill",14,58,87,6,2,167,373
35087,"Richmond Hill/Richmond Hill"," 148","Richmond Hill",5,57,67,1,0,130,286
35087,"Richmond Hill/Richmond Hill"," 149","Richmond Hill",15,68,65,2,0,150,363
35087,"Richmond Hill/Richmond Hill"," 150","Richmond Hill",14,71,72,2,0,159,411
35087,"Richmond Hill/Richmond Hill"," 151","Richmond Hill",14,106,69,4,4,197,534
35087,"Richmond Hill/Richmond Hill"," 152","Richmond Hill",14,78,86,3,1,182,491
35087,"Richmond Hill/Richmond Hill"," 153","Richmond Hill",13,69,97,1,0,180,446
35087,"Richmond Hill/Richmond Hill"," 154","Richmond Hill",10,88,99,1,0,198,442
35087,"Richmond Hill/Richmond Hill"," 155","Richmond Hill",7,92,64,0,2,165,363
35087,"Richmond Hill/Richmond Hill"," 156","Richmond Hill",14,85,74,2,0,175,440
35087,"Richmond Hill/Richmond Hill"," 157","Markham",3,27,31,1,0,62,197
35087,"Richmond Hill/Richmond Hill"," 158","Markham",15,67,80,0,2,164,487
35087,"Richmond Hill/Richmond Hill"," 159","Markham",7,48,61,1,0,117,419
35087,"Richmond Hill/Richmond Hill"," 160","Markham",20,116,109,6,1,252,472
35087,"Richmond Hill/Richmond Hill"," 161","Markham",Void/Supprimé,,,,,,
35087,"Richmond Hill/Richmond Hill"," 162","Richmond Hill",12,103,88,3,0,206,498
35087,"Richmond Hill/Richmond Hill"," 163","Richmond Hill",11,120,94,1,1,227,526
35087,"Richmond Hill/Richmond Hill"," 164","Richmond Hill",14,98,91,3,1,207,427
35087,"Richmond Hill/Richmond Hill"," 165","Richmond Hill",13,129,80,4,1,227,478
35087,"Richmond Hill/Richmond Hill"," 166","Richmond Hill",12,72,92,6,1,183,423
35087,"Richmond Hill/Richmond Hill"," 400","Richmond Hill",19,96,69,6,0,190,420
35087,"Richmond Hill/Richmond Hill"," 401","Richmond Hill",20,58,45,2,0,125,199
35087,"Richmond Hill/Richmond Hill"," 402","Richmond Hill",12,41,54,1,2,110,156
35087,"Richmond Hill/Richmond Hill"," 403","Richmond Hill",19,111,65,4,2,201,327
35087,"Richmond Hill/Richmond Hill"," 404","Richmond Hill",12,88,71,4,1,176,300
35087,"Richmond Hill/Richmond Hill"," 405","Richmond Hill",12,95,63,0,0,170,275
35087,"Richmond Hill/Richmond Hill"," 406","Richmond Hill",16,86,66,3,0,171,297
35087,"Richmond Hill/Richmond Hill"," 407","Richmond Hill",10,38,30,5,1,84,154
35087,"Richmond Hill/Richmond Hill"," 408","Richmond Hill",7,51,73,2,0,133,247
35087,"Richmond Hill/Richmond Hill"," 409","Richmond Hill",13,64,57,3,0,137,210
35087,"Richmond Hill/Richmond Hill"," 410","Richmond Hill",16,68,64,4,0,152,265
35087,"Richmond Hill/Richmond Hill"," 411","Richmond Hill",10,59,51,3,2,125,166
35087,"Richmond Hill/Richmond Hill"," 412","Richmond Hill",2,24,18,1,0,45,55
35087,"Richmond Hill/Richmond Hill"," 413","Richmond Hill",Merged with No./Fusionné avec le n°412,,,,,,42
35087,"Richmond Hill/Richmond Hill"," 414","Richmond Hill",8,75,47,1,2,133,233
35087,"Richmond Hill/Richmond Hill"," 415","Richmond Hill",5,38,28,2,0,73,109
35087,"Richmond Hill/Richmond Hill"," 416","Richmond Hill",9,75,55,3,3,145,257
35087,"Richmond Hill/Richmond Hill"," 417","Richmond Hill",11,51,35,4,0,101,269
35087,"Richmond Hill/Richmond Hill"," 418","Richmond Hill",8,50,59,2,0,119,413
35087,"Richmond Hill/Richmond Hill"," 419","Richmond Hill",7,37,60,1,0,105,411
35087,"Richmond Hill/Richmond Hill"," 420","Richmond Hill",8,59,38,0,1,106,281
35087,"Richmond Hill/Richmond Hill"," 421","Richmond Hill",5,60,35,3,0,103,239
35087,"Richmond Hill/Richmond Hill"," 422","Richmond Hill",3,54,44,0,1,102,277
35087,"Richmond Hill/Richmond Hill"," 423","Richmond Hill",7,43,43,1,0,94,222
35087,"Richmond Hill/Richmond Hill"," 424","Richmond Hill",5,30,27,1,0,63,200
35087,"Richmond Hill/Richmond Hill"," 425","Richmond Hill",7,42,31,5,0,85,249
35087,"Richmond Hill/Richmond Hill"," 426","Markham",7,27,39,0,0,73,142
35087,"Richmond Hill/Richmond Hill"," 427","Markham",4,43,46,2,1,96,156
35087,"Richmond Hill/Richmond Hill"," 428","Markham",6,52,43,4,0,105,234
35087,"Richmond Hill/Richmond Hill"," 429","Markham",14,39,52,2,0,107,257
35087,"Richmond Hill/Richmond Hill"," 430","Markham",3,53,47,1,1,105,196
35087,"Richmond Hill/Richmond Hill"," 431","Markham",3,36,24,0,0,63,121
35087,"Richmond Hill/Richmond Hill"," 432","Markham",12,44,56,2,0,114,227
35087,"Richmond Hill/Richmond Hill"," 433","Markham",7,27,41,2,0,77,158
35087,"Richmond Hill/Richmond Hill"," 434","Markham",7,33,44,2,0,86,178
35087,"Richmond Hill/Richmond Hill"," 435","Markham",3,45,40,0,0,88,181
35087,"Richmond Hill/Richmond Hill"," 436","Markham",8,50,69,4,0,131,290
35087,"Richmond Hill/Richmond Hill"," 437","Markham",11,49,52,0,1,113,251
35087,"Richmond Hill/Richmond Hill"," 438","Markham",8,39,40,2,3,92,165
35087,"Richmond Hill/Richmond Hill"," 439","Markham",5,29,32,2,2,70,151
35087,"Richmond Hill/Richmond Hill"," 440","Richmond Hill",23,67,22,0,0,112,198
35087,"Richmond Hill/Richmond Hill"," 441","Richmond Hill",20,119,85,5,1,230,457
35087,"Richmond Hill/Richmond Hill"," 442","Richmond Hill",6,55,44,0,0,105,161
35087,"Richmond Hill/Richmond Hill"," 443","Richmond Hill",8,74,46,5,1,134,239
35087,"Richmond Hill/Richmond Hill"," 444","Richmond Hill",19,142,56,1,2,220,416
35087,"Richmond Hill/Richmond Hill"," 445","Richmond Hill",15,84,78,4,1,182,297
35087,"Richmond Hill/Richmond Hill"," 446","Richmond Hill",10,110,83,5,1,209,294
35087,"Richmond Hill/Richmond Hill"," 447","Richmond Hill",12,119,81,3,2,217,305
35087,"Richmond Hill/Richmond Hill"," 448","Richmond Hill",23,86,85,7,0,201,294
35087,"Richmond Hill/Richmond Hill"," 449","Richmond Hill",9,52,52,2,7,122,193
35087,"Richmond Hill/Richmond Hill"," 450","Richmond Hill",13,53,43,4,2,115,241
35087,"Richmond Hill/Richmond Hill"," 451","Richmond Hill",27,82,68,9,2,188,281
35087,"Richmond Hill/Richmond Hill"," 500","Mobile poll/Bureau itinérant",8,32,21,3,1,65,184
35087,"Richmond Hill/Richmond Hill"," 501","Mobile poll/Bureau itinérant",9,28,14,1,2,54,181
35087,"Richmond Hill/Richmond Hill"," 600","Richmond Hill",81,575,450,22,6,1134,
35087,"Richmond Hill/Richmond Hill"," 601","Richmond Hill",149,453,399,17,4,1022,
35087,"Richmond Hill/Richmond Hill"," 602","Richmond Hill",62,440,559,12,7,1080,
35087,"Richmond Hill/Richmond Hill"," 603","Richmond Hill",73,373,251,23,2,722,
35087,"Richmond Hill/Richmond Hill"," 604","Richmond Hill",72,527,373,19,6,997,
35087,"Richmond Hill/Richmond Hill"," 605","Richmond Hill",122,575,457,10,3,1167,
35087,"Richmond Hill/Richmond Hill"," 606","Richmond Hill",50,320,251,11,5,637,
35087,"Richmond Hill/Richmond Hill"," 607","Richmond Hill",52,594,650,11,2,1309,
35087,"Richmond Hill/Richmond Hill"," 608","Richmond Hill",53,516,643,22,2,1236,
35087,"Richmond Hill/Richmond Hill"," 609","Markham",18,73,109,1,1,202,
35087,"Richmond Hill/Richmond Hill"," 610","Richmond Hill",41,450,403,11,3,908,
35087,"Richmond Hill/Richmond Hill"," 611","Richmond Hill",71,579,460,18,0,1128,
35087,"Richmond Hill/Richmond Hill"," 612","Richmond Hill",43,453,429,9,2,936,
35087,"Richmond Hill/Richmond Hill",,"Group 1/Groupe 1",13,60,21,1,7,102,82
35087,"Richmond Hill/Richmond Hill",,"Group 2/Groupe 2",132,601,316,19,14,1082,
