Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Anguish,Larry Ingram,Gerry Ritz,Glenn Tait,Mikaela Tenkink,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 68","North Battleford",14,46,109,50,7,0,226,382
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 69","North Battleford",14,43,137,43,3,1,241,415
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 70","North Battleford",11,52,90,69,5,1,228,474
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 71","North Battleford",5,36,93,41,7,0,182,357
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 72","North Battleford",11,40,113,56,1,0,221,381
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 73","North Battleford",15,47,112,52,4,0,230,423
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 74","North Battleford",12,66,145,52,3,1,279,566
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75","North Battleford",11,45,77,62,3,2,200,426
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 76","North Battleford",16,40,77,54,7,1,195,431
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 77","North Battleford",13,44,78,54,7,1,197,427
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 78","North Battleford",17,55,71,61,6,0,210,492
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 79","North Battleford",8,46,122,64,5,1,246,542
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 80","North Battleford",10,52,67,71,3,0,203,451
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 81","North Battleford",11,36,55,43,5,4,154,261
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 82","Battleford",9,40,113,28,3,0,193,415
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 83","Battleford",23,46,141,24,1,1,236,390
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84A","Battleford",14,41,107,44,6,0,212,450
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84B","Battleford",9,36,96,36,3,1,181,388
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 85","Battleford",37,55,143,51,4,0,290,551
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 86","Battleford",12,46,174,44,3,1,280,499
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 87","Battleford",14,39,121,44,4,0,222,382
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 88","Battleford",20,34,104,38,6,3,205,376
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 89","Porter",15,12,72,9,0,0,108,240
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 90","Swarthmore",8,18,116,11,0,0,153,253
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 91","Wilkie",0,25,127,17,3,0,172,270
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 92","Wilkie",9,35,106,33,2,0,185,412
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 93","Wilkie",2,27,79,20,2,1,131,261
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94","Unity",6,16,129,11,3,0,165,267
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 95","Unity",4,22,84,19,3,0,132,231
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96A","Unity",7,21,167,25,2,6,228,456
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96B","Unity",4,34,127,22,3,0,190,346
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 97","Unity",6,39,170,37,3,0,255,428
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 98","Unity",4,40,174,30,3,0,251,423
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 99","Macklin",4,19,201,24,3,0,251,379
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 100","Macklin",4,45,311,20,4,0,384,618
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 101","Macklin",2,24,242,9,6,0,283,426
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 102","Reward",7,13,89,5,2,0,116,214
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 103","Cactus Lake",4,11,158,4,1,0,178,248
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 104","Denzil",8,26,217,16,8,0,275,410
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 105","Luseland",16,53,202,32,6,1,310,480
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 106","Tramping Lake",5,17,61,4,4,0,91,155
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 107","Scott",5,26,99,21,0,1,152,399
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 108","Red Pheasant",5,39,1,73,0,0,118,245
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 109","Red Pheasant",5,62,40,124,1,0,232,546
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 110","Landis",10,29,71,45,2,0,157,240
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 111","Kelfield",6,15,100,15,2,0,138,266
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 112","Kerrobert",2,32,173,16,9,0,232,434
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 113","Kerrobert",3,38,210,23,12,1,287,484
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 114","Major",7,24,150,10,5,0,196,395
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 115","Coleville",5,27,174,8,5,0,219,327
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 116","Plenty",2,43,315,12,4,0,376,542
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 500","Mobile poll/Bureau itinérant",1,8,13,10,0,3,35,66
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 501","Mobile poll/Bureau itinérant",2,4,14,2,1,0,23,51
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 502","Mobile poll/Bureau itinérant",1,9,20,12,1,1,44,79
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 503","Mobile poll/Bureau itinérant",7,15,23,10,3,1,59,122
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 504","Mobile poll/Bureau itinérant",9,22,17,21,3,2,74,200
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 505","Mobile poll/Bureau itinérant",0,7,22,5,1,1,36,82
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 600","Elmhurst",5,58,301,44,5,0,413,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 601","Lloydminster (Part)",14,120,826,99,9,7,1075,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 602","Lashburn",5,37,248,38,8,0,336,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 603","Livelong",3,12,119,21,3,0,158,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 604","Rabbit Lake",14,50,158,50,5,0,277,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 605","Denholm",17,73,245,113,9,2,459,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 606","North Battleford",30,101,185,109,6,1,432,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 607","Battleford",50,61,210,84,6,1,412,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 608","Gallivan",10,15,104,25,5,0,159,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 609","Cando",4,42,207,35,6,2,296,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 610","Macklin",7,48,325,52,7,0,439,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 611","Plenty",5,20,182,16,7,1,231,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,"Group 1/Groupe 1",3,141,20,44,4,2,214,207
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,"Group 2/Groupe 2",39,226,602,280,26,64,1237,
