Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Saul Marquard T. Bottcher,Frank Chilelli,Bal Gosal,Rosemary Keenan,Ramesh Sangha,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton Centre/Brampton-Centre"," 401","Brampton",2,1,33,27,92,1,156,416
35008,"Brampton Centre/Brampton-Centre"," 402","Brampton",1,0,56,25,85,1,168,331
35008,"Brampton Centre/Brampton-Centre"," 403","Brampton",1,0,58,22,67,2,150,312
35008,"Brampton Centre/Brampton-Centre"," 404","Brampton",2,0,34,7,64,0,107,295
35008,"Brampton Centre/Brampton-Centre"," 405","Brampton",1,2,25,17,81,0,126,331
35008,"Brampton Centre/Brampton-Centre"," 406","Brampton",1,1,17,12,53,0,84,216
35008,"Brampton Centre/Brampton-Centre"," 407","Brampton",0,2,33,15,94,0,144,349
35008,"Brampton Centre/Brampton-Centre"," 408","Brampton",2,2,66,38,137,4,249,445
35008,"Brampton Centre/Brampton-Centre"," 409","Brampton",4,0,54,18,44,0,120,194
35008,"Brampton Centre/Brampton-Centre"," 410","Brampton",3,0,42,20,49,0,114,202
35008,"Brampton Centre/Brampton-Centre"," 411","Brampton",2,4,52,2,32,0,92,135
35008,"Brampton Centre/Brampton-Centre"," 412","Brampton",2,0,28,9,44,2,85,241
35008,"Brampton Centre/Brampton-Centre"," 413","Brampton",4,1,29,17,76,0,127,316
35008,"Brampton Centre/Brampton-Centre"," 414","Brampton",0,0,21,12,60,1,94,221
35008,"Brampton Centre/Brampton-Centre"," 415","Brampton",2,0,36,17,96,2,153,405
35008,"Brampton Centre/Brampton-Centre"," 416","Brampton",2,0,17,16,78,0,113,283
35008,"Brampton Centre/Brampton-Centre"," 417","Brampton",0,2,19,8,50,3,82,224
35008,"Brampton Centre/Brampton-Centre"," 418","Brampton",4,1,37,15,55,1,113,249
35008,"Brampton Centre/Brampton-Centre"," 419","Brampton",3,1,31,25,57,1,118,322
35008,"Brampton Centre/Brampton-Centre"," 420","Brampton",2,0,39,28,77,0,146,322
35008,"Brampton Centre/Brampton-Centre"," 421","Brampton",2,0,41,21,53,1,118,299
35008,"Brampton Centre/Brampton-Centre"," 422","Brampton",1,2,22,16,69,0,110,312
35008,"Brampton Centre/Brampton-Centre"," 423","Brampton",6,1,27,15,72,0,121,287
35008,"Brampton Centre/Brampton-Centre"," 424","Brampton",5,0,38,12,59,2,116,279
35008,"Brampton Centre/Brampton-Centre"," 600","Brampton",20,1,361,127,294,2,805,
35008,"Brampton Centre/Brampton-Centre"," 601","Brampton",19,1,321,161,346,15,863,
35008,"Brampton Centre/Brampton-Centre"," 602","Brampton",24,1,351,142,338,2,858,
35008,"Brampton Centre/Brampton-Centre"," 603","Brampton",12,6,345,146,416,9,934,
35008,"Brampton Centre/Brampton-Centre"," 604","Brampton",11,1,264,106,257,4,643,
35008,"Brampton Centre/Brampton-Centre"," 605","Brampton",19,5,420,154,499,2,1099,
35008,"Brampton Centre/Brampton-Centre"," 606","Brampton",10,1,326,153,611,4,1105,
35008,"Brampton Centre/Brampton-Centre"," 607","Brampton",7,2,214,72,315,1,611,
35008,"Brampton Centre/Brampton-Centre"," 608","Brampton",18,3,276,156,353,9,815,
35008,"Brampton Centre/Brampton-Centre"," 609","Brampton",6,1,244,98,525,2,876,
35008,"Brampton Centre/Brampton-Centre",,"Group 1/Groupe 1",1,0,16,17,45,8,87,68
35008,"Brampton Centre/Brampton-Centre",,"Group 2/Groupe 2",16,6,271,160,382,30,865,
