Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Darnel Harris,Keith Jarrett,Christine Nugent,Judy Sgro,Kerry Vandenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"Humber River--Black Creek/Humber River--Black Creek"," 25","North York",18,5,2,112,44,0,181,489
35121,"Humber River--Black Creek/Humber River--Black Creek"," 26","North York",20,10,0,134,21,1,186,486
35121,"Humber River--Black Creek/Humber River--Black Creek"," 27","North York",29,3,0,131,55,6,224,425
35121,"Humber River--Black Creek/Humber River--Black Creek"," 28","North York",25,5,0,106,23,4,163,309
35121,"Humber River--Black Creek/Humber River--Black Creek"," 29","North York",36,0,3,154,46,0,239,472
35121,"Humber River--Black Creek/Humber River--Black Creek"," 30","North York",39,1,0,148,44,2,234,510
35121,"Humber River--Black Creek/Humber River--Black Creek"," 31","North York",23,5,2,145,67,5,247,498
35121,"Humber River--Black Creek/Humber River--Black Creek"," 32","North York",21,1,1,104,29,1,157,415
35121,"Humber River--Black Creek/Humber River--Black Creek"," 33","North York",12,0,0,48,26,1,87,282
35121,"Humber River--Black Creek/Humber River--Black Creek"," 34","North York",13,3,1,59,11,5,92,273
35121,"Humber River--Black Creek/Humber River--Black Creek"," 35","North York",21,1,2,175,54,1,254,507
35121,"Humber River--Black Creek/Humber River--Black Creek"," 36A","North York",22,1,0,69,21,1,114,306
35121,"Humber River--Black Creek/Humber River--Black Creek"," 36B","North York",16,1,0,74,14,1,106,285
35121,"Humber River--Black Creek/Humber River--Black Creek"," 37","North York",25,7,2,105,32,2,173,498
35121,"Humber River--Black Creek/Humber River--Black Creek"," 38A","North York",25,5,0,125,36,1,192,480
35121,"Humber River--Black Creek/Humber River--Black Creek"," 38B","North York",27,2,3,150,29,0,211,456
35121,"Humber River--Black Creek/Humber River--Black Creek"," 39","North York",28,2,0,120,36,0,186,375
35121,"Humber River--Black Creek/Humber River--Black Creek"," 40","North York",24,4,2,142,42,1,215,435
35121,"Humber River--Black Creek/Humber River--Black Creek"," 41","North York",30,2,1,109,50,4,196,446
35121,"Humber River--Black Creek/Humber River--Black Creek"," 42","North York",18,8,1,109,28,2,166,373
35121,"Humber River--Black Creek/Humber River--Black Creek"," 43A","North York",13,0,0,68,26,0,107,286
35121,"Humber River--Black Creek/Humber River--Black Creek"," 43B","North York",9,1,0,55,21,0,86,228
35121,"Humber River--Black Creek/Humber River--Black Creek"," 44","North York",24,5,0,143,61,3,236,464
35121,"Humber River--Black Creek/Humber River--Black Creek"," 45","North York",32,1,0,157,64,2,256,475
35121,"Humber River--Black Creek/Humber River--Black Creek"," 46A","North York",14,1,3,112,23,4,157,284
35121,"Humber River--Black Creek/Humber River--Black Creek"," 46B","North York",9,5,0,102,21,1,138,272
35121,"Humber River--Black Creek/Humber River--Black Creek"," 47A","North York",21,3,0,69,29,2,124,266
35121,"Humber River--Black Creek/Humber River--Black Creek"," 47B","North York",25,5,2,53,46,3,134,273
35121,"Humber River--Black Creek/Humber River--Black Creek"," 48A","North York",15,3,1,92,21,2,134,261
35121,"Humber River--Black Creek/Humber River--Black Creek"," 48B","North York",15,2,1,102,20,2,142,291
35121,"Humber River--Black Creek/Humber River--Black Creek"," 49","North York",10,2,0,135,28,0,175,466
35121,"Humber River--Black Creek/Humber River--Black Creek"," 50","North York",17,3,0,114,29,4,167,352
35121,"Humber River--Black Creek/Humber River--Black Creek"," 51","North York",18,3,3,164,44,0,232,487
35121,"Humber River--Black Creek/Humber River--Black Creek"," 52","North York",24,0,2,165,21,6,218,447
35121,"Humber River--Black Creek/Humber River--Black Creek"," 53","North York",29,6,5,150,23,2,215,458
35121,"Humber River--Black Creek/Humber River--Black Creek"," 54","North York",12,5,1,153,53,4,228,414
35121,"Humber River--Black Creek/Humber River--Black Creek"," 55A","North York",12,1,2,123,8,2,148,337
35121,"Humber River--Black Creek/Humber River--Black Creek"," 55B","North York",15,1,4,110,20,1,151,333
35121,"Humber River--Black Creek/Humber River--Black Creek"," 56","North York",13,3,3,141,33,3,196,470
35121,"Humber River--Black Creek/Humber River--Black Creek"," 57A","North York",9,2,0,93,16,4,124,272
35121,"Humber River--Black Creek/Humber River--Black Creek"," 57B","North York",14,4,4,103,30,0,155,279
35121,"Humber River--Black Creek/Humber River--Black Creek"," 58","North York",22,3,1,161,37,0,224,417
35121,"Humber River--Black Creek/Humber River--Black Creek"," 59","North York",18,6,1,81,35,0,141,306
35121,"Humber River--Black Creek/Humber River--Black Creek"," 60","North York",9,2,0,136,20,6,173,386
35121,"Humber River--Black Creek/Humber River--Black Creek"," 61","North York",18,6,1,142,37,5,209,411
35121,"Humber River--Black Creek/Humber River--Black Creek"," 62","North York",18,0,1,96,37,21,173,380
35121,"Humber River--Black Creek/Humber River--Black Creek"," 63","North York",16,2,0,138,37,10,203,388
35121,"Humber River--Black Creek/Humber River--Black Creek"," 64","North York",23,2,1,140,43,1,210,410
35121,"Humber River--Black Creek/Humber River--Black Creek"," 65","North York",16,4,1,158,41,6,226,452
35121,"Humber River--Black Creek/Humber River--Black Creek"," 66","North York",16,3,2,118,49,0,188,356
35121,"Humber River--Black Creek/Humber River--Black Creek"," 67","North York",19,1,1,125,25,0,171,384
35121,"Humber River--Black Creek/Humber River--Black Creek"," 68","North York",14,6,2,111,29,1,163,348
35121,"Humber River--Black Creek/Humber River--Black Creek"," 69","North York",17,3,2,44,39,0,105,334
35121,"Humber River--Black Creek/Humber River--Black Creek"," 70","North York",10,2,0,132,45,0,189,380
35121,"Humber River--Black Creek/Humber River--Black Creek"," 71","North York",28,2,2,149,55,0,236,435
35121,"Humber River--Black Creek/Humber River--Black Creek"," 72","North York",17,2,4,143,60,0,226,448
35121,"Humber River--Black Creek/Humber River--Black Creek"," 73","North York",17,2,0,139,60,2,220,437
35121,"Humber River--Black Creek/Humber River--Black Creek"," 74A","North York",7,1,0,95,30,1,134,295
35121,"Humber River--Black Creek/Humber River--Black Creek"," 74B","North York",10,3,1,81,23,0,118,266
35121,"Humber River--Black Creek/Humber River--Black Creek"," 75","North York",18,3,1,191,47,3,263,455
35121,"Humber River--Black Creek/Humber River--Black Creek"," 76","North York",11,6,3,172,60,1,253,499
35121,"Humber River--Black Creek/Humber River--Black Creek"," 77A","North York",11,1,0,79,22,3,116,178
35121,"Humber River--Black Creek/Humber River--Black Creek"," 77B","North York",11,7,5,146,26,10,205,338
35121,"Humber River--Black Creek/Humber River--Black Creek"," 78A","North York",8,3,0,91,37,1,140,292
35121,"Humber River--Black Creek/Humber River--Black Creek"," 78B","North York",4,0,0,93,34,0,131,256
35121,"Humber River--Black Creek/Humber River--Black Creek"," 79A","North York",19,1,0,100,34,0,154,335
35121,"Humber River--Black Creek/Humber River--Black Creek"," 79B","North York",10,3,0,97,45,0,155,355
35121,"Humber River--Black Creek/Humber River--Black Creek"," 80A","North York",12,2,2,99,40,0,155,279
35121,"Humber River--Black Creek/Humber River--Black Creek"," 80B","North York",19,0,0,78,27,0,124,250
35121,"Humber River--Black Creek/Humber River--Black Creek"," 81","North York",13,3,0,107,62,1,186,433
35121,"Humber River--Black Creek/Humber River--Black Creek"," 82","North York",20,6,2,144,35,1,208,415
35121,"Humber River--Black Creek/Humber River--Black Creek"," 83","North York",24,5,0,131,41,0,201,433
35121,"Humber River--Black Creek/Humber River--Black Creek"," 84","North York",14,0,2,88,21,1,126,306
35121,"Humber River--Black Creek/Humber River--Black Creek"," 85","North York",16,3,1,107,39,1,167,331
35121,"Humber River--Black Creek/Humber River--Black Creek"," 86A","North York",14,0,0,104,15,1,134,265
35121,"Humber River--Black Creek/Humber River--Black Creek"," 86B","North York",16,3,0,78,25,1,123,296
35121,"Humber River--Black Creek/Humber River--Black Creek"," 87A","North York",19,5,0,117,17,1,159,290
35121,"Humber River--Black Creek/Humber River--Black Creek"," 87B","North York",11,3,0,77,36,0,127,255
35121,"Humber River--Black Creek/Humber River--Black Creek"," 88","North York",29,0,0,157,42,0,228,416
35121,"Humber River--Black Creek/Humber River--Black Creek"," 89","North York",18,3,0,126,22,0,169,387
35121,"Humber River--Black Creek/Humber River--Black Creek"," 90","North York",23,4,1,169,18,1,216,398
35121,"Humber River--Black Creek/Humber River--Black Creek"," 91A","North York",18,2,0,98,24,1,143,259
35121,"Humber River--Black Creek/Humber River--Black Creek"," 91B","North York",13,0,0,103,24,2,142,270
35121,"Humber River--Black Creek/Humber River--Black Creek"," 92A","North York",5,1,2,102,26,1,137,277
35121,"Humber River--Black Creek/Humber River--Black Creek"," 92B","North York",8,0,0,101,24,2,135,298
35121,"Humber River--Black Creek/Humber River--Black Creek"," 93","North York",24,0,0,163,22,4,213,461
35121,"Humber River--Black Creek/Humber River--Black Creek"," 94","North York",23,3,0,169,47,2,244,478
35121,"Humber River--Black Creek/Humber River--Black Creek"," 95","North York",17,1,2,115,28,6,169,337
35121,"Humber River--Black Creek/Humber River--Black Creek"," 96","North York",21,3,1,145,37,0,207,366
35121,"Humber River--Black Creek/Humber River--Black Creek"," 97","North York",19,2,0,140,56,2,219,385
35121,"Humber River--Black Creek/Humber River--Black Creek"," 98","North York",29,4,0,132,41,1,207,368
35121,"Humber River--Black Creek/Humber River--Black Creek"," 99","North York",11,9,2,183,71,0,276,431
35121,"Humber River--Black Creek/Humber River--Black Creek"," 100","North York",11,3,1,146,63,0,224,378
35121,"Humber River--Black Creek/Humber River--Black Creek"," 101","North York",11,4,2,152,44,5,218,385
35121,"Humber River--Black Creek/Humber River--Black Creek"," 102","North York",11,1,0,94,30,1,137,275
35121,"Humber River--Black Creek/Humber River--Black Creek"," 103A","North York",11,2,0,71,13,0,97,258
35121,"Humber River--Black Creek/Humber River--Black Creek"," 103B","North York",7,1,1,109,15,0,133,302
35121,"Humber River--Black Creek/Humber River--Black Creek"," 104","North York",14,2,0,118,27,3,164,370
35121,"Humber River--Black Creek/Humber River--Black Creek"," 105","North York",22,1,1,127,57,4,212,438
35121,"Humber River--Black Creek/Humber River--Black Creek"," 106","North York",21,5,0,120,36,5,187,360
35121,"Humber River--Black Creek/Humber River--Black Creek"," 107","North York",20,4,0,123,45,0,192,386
35121,"Humber River--Black Creek/Humber River--Black Creek"," 108","North York",29,2,2,144,48,1,226,453
35121,"Humber River--Black Creek/Humber River--Black Creek"," 109","North York",15,1,2,135,48,2,203,374
35121,"Humber River--Black Creek/Humber River--Black Creek"," 110A","North York",11,0,0,87,18,0,116,287
35121,"Humber River--Black Creek/Humber River--Black Creek"," 110B","North York",15,2,0,73,30,1,121,268
35121,"Humber River--Black Creek/Humber River--Black Creek"," 111","North York",14,3,1,185,35,0,238,391
35121,"Humber River--Black Creek/Humber River--Black Creek"," 112","North York",12,0,0,47,26,1,86,241
35121,"Humber River--Black Creek/Humber River--Black Creek"," 113A","North York",25,5,0,80,36,0,146,295
35121,"Humber River--Black Creek/Humber River--Black Creek"," 113B","North York",17,0,0,68,38,1,124,266
35121,"Humber River--Black Creek/Humber River--Black Creek"," 114","North York",39,3,0,154,65,0,261,473
35121,"Humber River--Black Creek/Humber River--Black Creek"," 115","North York",11,3,2,150,81,0,247,440
35121,"Humber River--Black Creek/Humber River--Black Creek"," 116A","Etobicoke",3,0,0,79,42,0,124,272
35121,"Humber River--Black Creek/Humber River--Black Creek"," 116B","Etobicoke",10,2,1,76,31,0,120,309
35121,"Humber River--Black Creek/Humber River--Black Creek"," 117A","North York",11,1,0,67,35,0,114,261
35121,"Humber River--Black Creek/Humber River--Black Creek"," 117B","North York",8,2,0,66,29,0,105,281
35121,"Humber River--Black Creek/Humber River--Black Creek"," 118A","North York",27,1,0,99,51,0,178,369
35121,"Humber River--Black Creek/Humber River--Black Creek"," 118B","North York",17,2,3,107,47,0,176,392
35121,"Humber River--Black Creek/Humber River--Black Creek"," 119","North York",19,1,1,153,67,3,244,466
35121,"Humber River--Black Creek/Humber River--Black Creek"," 120","North York",19,5,0,103,70,2,199,408
35121,"Humber River--Black Creek/Humber River--Black Creek"," 121","North York",33,2,2,129,62,3,231,462
35121,"Humber River--Black Creek/Humber River--Black Creek"," 122","North York",15,5,1,113,64,0,198,421
35121,"Humber River--Black Creek/Humber River--Black Creek"," 123","North York",19,1,2,180,43,0,245,393
35121,"Humber River--Black Creek/Humber River--Black Creek"," 124","North York",12,3,4,118,39,0,176,320
35121,"Humber River--Black Creek/Humber River--Black Creek"," 400","North York",31,5,4,214,14,2,270,434
35121,"Humber River--Black Creek/Humber River--Black Creek"," 401","North York",28,11,0,122,11,0,172,275
35121,"Humber River--Black Creek/Humber River--Black Creek"," 402","North York",37,5,3,140,26,1,212,381
35121,"Humber River--Black Creek/Humber River--Black Creek"," 403","North York",51,7,3,199,32,2,294,469
35121,"Humber River--Black Creek/Humber River--Black Creek"," 404","North York",28,5,0,106,18,2,159,338
35121,"Humber River--Black Creek/Humber River--Black Creek"," 405","North York",22,2,0,139,24,2,189,348
35121,"Humber River--Black Creek/Humber River--Black Creek"," 406","North York",27,3,1,138,12,1,182,339
35121,"Humber River--Black Creek/Humber River--Black Creek"," 407","North York",11,2,0,74,17,0,104,223
35121,"Humber River--Black Creek/Humber River--Black Creek"," 408","North York",14,2,1,136,41,0,194,319
35121,"Humber River--Black Creek/Humber River--Black Creek"," 409","North York",12,0,1,152,40,3,208,325
35121,"Humber River--Black Creek/Humber River--Black Creek"," 410","North York",23,3,0,122,32,0,180,318
35121,"Humber River--Black Creek/Humber River--Black Creek"," 411","North York",7,1,0,50,10,0,68,167
35121,"Humber River--Black Creek/Humber River--Black Creek"," 412","North York",30,2,1,154,43,3,233,397
35121,"Humber River--Black Creek/Humber River--Black Creek"," 413","North York",16,2,1,213,2,1,235,326
35121,"Humber River--Black Creek/Humber River--Black Creek"," 414","North York",10,3,0,125,8,2,148,234
35121,"Humber River--Black Creek/Humber River--Black Creek"," 415","North York",22,9,1,115,47,1,195,352
35121,"Humber River--Black Creek/Humber River--Black Creek"," 416","North York",6,0,0,71,9,2,88,186
35121,"Humber River--Black Creek/Humber River--Black Creek"," 417","North York",13,0,0,76,12,0,101,251
35121,"Humber River--Black Creek/Humber River--Black Creek"," 418","North York",7,0,0,99,14,1,121,259
35121,"Humber River--Black Creek/Humber River--Black Creek"," 419","North York",11,2,0,75,13,2,103,261
35121,"Humber River--Black Creek/Humber River--Black Creek"," 420","North York",11,3,0,127,22,0,163,305
35121,"Humber River--Black Creek/Humber River--Black Creek"," 421","North York",24,2,0,148,32,0,206,456
35121,"Humber River--Black Creek/Humber River--Black Creek"," 422","North York",20,5,3,205,31,10,274,413
35121,"Humber River--Black Creek/Humber River--Black Creek"," 500","Mobile poll/Bureau itinérant",5,1,2,46,13,1,68,172
35121,"Humber River--Black Creek/Humber River--Black Creek"," 600","North York",69,12,3,336,80,6,506,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 601","North York",49,5,1,296,125,6,482,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 602","North York",57,7,4,448,127,0,643,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 603","North York",113,10,3,430,141,2,699,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 604","North York",34,10,3,224,86,1,358,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 605","North York",57,8,4,289,103,2,463,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 606","North York",87,15,2,423,163,0,690,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 607","North York",44,5,3,284,73,0,409,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 608","North York",70,11,4,356,154,0,595,
35121,"Humber River--Black Creek/Humber River--Black Creek",,"Group 1/Groupe 1",4,0,1,91,17,8,121,108
35121,"Humber River--Black Creek/Humber River--Black Creek",,"Group 2/Groupe 2",114,11,2,423,65,10,625,
