Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Clarke,Georgina Jolibois,Lawrence Joseph,Warren Koch,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24A","Île-à-la-Crosse",5,76,104,0,0,185,330
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24B","Île-à-la-Crosse",13,92,125,1,1,232,410
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25","Île-à-la-Crosse",8,149,82,2,0,241,423
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26A","Beauval",14,94,54,0,1,163,325
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26B","Beauval",Merged with No./Fusionné avec le n°27B,,,,,,311
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27A","Beauval",Merged with No./Fusionné avec le n°26A,,,,,,36
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27B","Beauval",8,74,60,1,1,144,34
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","Dillon",5,23,37,0,0,65,132
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","Canoe Narrows",6,152,212,3,1,374,602
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30","Northern Pine",231,11,18,3,0,263,395
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31A","Northern Pine",115,14,10,2,1,142,255
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31B","Northern Pine",142,8,11,5,0,166,268
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32A","Big Island Lake Cree Territory",3,31,26,0,1,61,159
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32B","Big Island Lake Cree Territory",3,59,32,0,0,94,217
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33","Northern Pine",139,29,23,6,0,197,350
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Northern Pine",91,6,5,2,0,104,236
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35","Dorintosh--Greig Lake",155,34,44,10,0,243,395
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36A","Waterhen Lake",1,90,77,2,0,170,225
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36B","Waterhen Lake",3,78,65,1,0,147,217
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37","Green Lake",23,36,124,0,1,184,375
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38","Doré Lake",22,3,8,2,0,35,47
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39A","Pinehouse",14,59,110,1,0,184,347
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39B","Pinehouse",12,53,111,3,1,180,344
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","Hall Lake",9,55,34,2,2,102,190
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41","Brabant Lake",4,6,6,0,0,16,31
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42","Kinoosao",8,200,73,1,1,283,561
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43","Grandmother's Bay 219",2,69,45,1,0,117,178
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44A","Sandy Bay",5,81,74,0,0,160,25
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44B","Sandy Bay",Merged with No./Fusionné avec le n°45B,,,,,,26
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45A","Sandy Bay",Merged with No./Fusionné avec le n°44A,,,,,,324
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45B","Sandy Bay",5,98,86,4,0,193,293
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Pelican Narrows",3,162,79,0,0,244,572
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47","Pelican Narrows 184B",4,133,44,1,1,183,310
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48","Pelican Narrows",0,107,52,0,1,160,409
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49","La Ronge",20,35,27,4,1,87,264
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50","La Ronge",45,118,53,9,0,225,440
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","La Ronge",63,114,49,18,2,246,446
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","La Ronge",23,103,41,5,2,174,367
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53A","La Ronge",41,82,49,6,0,178,398
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59B,,,,,,4
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54","Air Ronge--Kitsakie 156B",5,67,52,5,0,129,273
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55A","Lac la Ronge 156",13,87,58,3,1,162,416
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55B","Lac la Ronge 156",18,63,40,6,0,127,395
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Air Ronge",42,84,39,2,1,168,300
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Air Ronge",16,47,19,3,0,85,195
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58","Air Ronge",33,100,43,7,0,183,476
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59A","Lac la Ronge 156",3,135,56,3,1,198,386
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59B","Mobile poll/Bureau itinérant",2,1,6,0,0,9,10
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60","Lac la Ronge 156",1,59,21,0,0,81,168
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Stanley Mission",3,245,124,2,0,374,539
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Stanley Mission",4,266,133,2,0,405,522
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63","Sucker River 156C",10,72,79,2,0,163,217
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64","Timber Bay",24,31,24,4,0,83,156
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Beauval",37,6,8,0,0,51,85
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66","Deschambault Lake",21,191,122,4,6,344,564
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67","Denare Beach",57,56,49,8,0,170,382
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Denare Beach",64,33,38,8,0,143,262
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69","Creighton",30,25,32,8,1,96,238
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70","Creighton",67,44,69,14,1,195,422
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Creighton",21,29,24,7,0,81,210
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72","Creighton",76,67,49,16,0,208,444
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73","Sturgeon Landing",2,9,17,0,0,28,41
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74","Cherry Ridge",84,13,6,1,0,104,156
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 75","Smeaton",93,30,19,5,0,147,218
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76A","Candle Lake",104,24,27,3,0,158,234
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76B","Candle Lake",115,25,21,13,0,174,240
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 77","Candle Lake",81,12,11,1,0,105,252
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 78","Montreal Lake",1,39,82,2,1,125,185
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 79","Timber Bay",3,50,177,2,0,232,484
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 80","Waskesiu Lake",59,31,20,3,0,113,178
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81","Big River No. 555",140,12,28,3,0,183,255
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 82","Big River",96,20,10,3,0,129,198
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83A","Big River",81,20,23,2,0,126,237
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83B","Big River",96,16,17,3,0,132,233
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 84","Big River No. 555",144,22,13,6,0,185,285
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85","Leoville",77,6,7,1,1,92,122
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86A","Leoville",59,18,16,2,0,95,198
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86B","Leoville",57,16,13,5,0,91,203
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87","Four Corners",163,25,25,8,0,221,419
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88A","Meadow Lake",52,20,35,4,0,111,245
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88B","Meadow Lake",48,30,40,4,0,122,263
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89","Meadow Lake",112,30,32,4,0,178,410
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 90","Meadow Lake",71,22,33,6,0,132,293
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 91","Meadow Lake",84,53,58,3,0,198,469
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 92","Meadow Lake",75,46,49,6,0,176,393
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 93","Meadow Lake",88,51,71,6,1,217,465
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 94","Meadow Lake",115,61,56,1,0,233,421
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 95","Meadow Lake",118,42,45,4,0,209,350
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 96","Meadow Lake",128,32,27,1,0,188,396
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 97","Neeb",25,9,15,1,0,50,98
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 98","Cabana",154,28,44,7,2,235,416
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 99","Rapid View",176,18,21,6,0,221,342
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 100A","Mudie Lake",1,109,72,1,1,184,287
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 100B","Mudie Lake",9,63,50,0,0,122,227
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 101","Northern Pine",49,6,5,2,0,62,127
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102A","Loon Lake",55,8,3,2,0,68,155
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102B","Loon Lake",50,7,11,1,1,70,176
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103","Little Fishing Lake",33,5,0,1,0,39,63
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 104A","Loon Lake",3,114,51,1,0,169,291
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 104B","Loon Lake",0,115,67,0,0,182,281
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 105","Barthel",65,5,3,0,0,73,120
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 106","Makwa",141,11,22,3,0,177,248
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107A","Flying Dust First Nation 105 (Meadow Lake 105)",41,83,57,2,0,183,333
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107B","Flying Dust First Nation 105 (Meadow Lake 105)",51,86,79,1,0,217,368
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108A","Chitek Lake",56,12,12,3,0,83,154
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108B","Chitek Lake",19,98,273,1,1,392,466
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109","Ranger",33,17,5,2,0,57,86
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110","Witchekan Lake 117",0,36,160,0,0,196,258
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111","Laventure",133,12,15,4,2,166,283
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112A","Spiritwood",57,14,20,1,0,92,223
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112B","Spiritwood",66,8,16,3,0,93,222
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 113","Laventure",118,12,20,3,0,153,282
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 114","Bapaume",70,10,4,2,0,86,150
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 115","Big River 118",7,133,490,0,1,631,637
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 116","Debden",196,18,22,10,0,246,479
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117A","Debden",71,10,15,3,0,99,266
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117B","Debden",23,8,18,1,0,50,249
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 118","Victoire",39,10,10,2,0,61,175
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 119","Shell Lake",90,18,11,2,1,122,216
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120A","Shell Lake",74,21,23,7,0,125,342
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120B","Shell Lake",83,35,22,8,0,148,354
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121","Ahtahkakoop 104",13,65,282,3,2,365,378
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 122","Canwood",161,35,36,8,0,240,487
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 123","Canwood",173,34,14,8,0,229,346
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124","Sturgeon Valley",123,31,11,5,0,170,239
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125","Little Red River 106C",6,67,157,0,0,230,314
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 126","Emma Lake",64,20,15,0,0,99,242
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127A","Christopher Lake",91,41,37,8,0,177,422
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127B","Christopher Lake",121,54,42,8,0,225,445
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 128","Christopher Lake",33,16,12,3,0,64,114
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129A","Sturgeon Lake 101",1,75,119,1,0,196,377
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129B","Sturgeon Lake 101",2,81,120,0,2,205,385
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130","Mistawasis 103",3,99,174,4,1,281,353
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131A","Cumberland House",3,123,124,0,0,250,345
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131B","Cumberland House",6,96,123,0,0,225,337
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132","Cumberland House",2,42,60,0,0,104,107
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133","Cumberland 20",0,27,76,0,0,103,125
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134A","Shoal Lake--Ruby Lake",3,13,181,0,1,198,377
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134B","Shoal Lake--Ruby Lake",5,7,183,0,3,198,478
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",18,2,9,3,0,32,77
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",12,3,12,0,0,27,41
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 502","Mobile poll/Bureau itinérant",13,4,4,1,0,22,27
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Stony Rapids",8,10,4,0,0,22,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Wollaston Lake",5,196,54,2,0,257,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","Buffalo Narrows",2,144,20,0,1,167,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 603","Wollaston Lake",7,111,41,0,0,159,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 604","Michel Village",10,57,37,0,0,104,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 605","Beauval",13,91,68,1,0,173,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 606","La Ronge",158,265,97,17,2,539,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 607","Pelican Narrows",9,194,104,0,1,308,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 608","Creighton",88,42,65,5,0,200,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 609","Goodsoil",191,12,15,5,0,223,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 610","Loon Lake",97,41,13,3,0,154,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 611","Meadow Lake",429,154,137,16,1,737,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 612","Spiritwood",225,42,62,8,1,338,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 613","Debden",161,20,29,5,1,216,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 614","Christopher Lake",162,86,50,14,0,312,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 615","Smeaton",73,16,2,0,0,91,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 616","Shoal Lake",4,7,177,0,1,189,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,"Group 1/Groupe 1",26,83,214,5,21,349,378
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,"Group 2/Groupe 2",325,232,155,21,8,741,
