Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Pamela Sangha,Jinny Sims,Harpreet Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 98","Surrey",142,4,66,33,0,245,571
59033,"Surrey--Newton/Surrey--Newton"," 99","Surrey",118,2,28,10,2,160,437
59033,"Surrey--Newton/Surrey--Newton"," 100","Surrey",146,7,49,43,4,249,558
59033,"Surrey--Newton/Surrey--Newton"," 101","Surrey",82,4,50,104,2,242,419
59033,"Surrey--Newton/Surrey--Newton"," 102","Surrey",161,13,67,98,3,342,556
59033,"Surrey--Newton/Surrey--Newton"," 103","Surrey",84,9,46,86,1,226,371
59033,"Surrey--Newton/Surrey--Newton"," 104","Surrey",106,13,62,90,0,271,458
59033,"Surrey--Newton/Surrey--Newton"," 105","Surrey",102,6,53,69,0,230,396
59033,"Surrey--Newton/Surrey--Newton"," 106","Surrey",77,12,37,57,1,184,296
59033,"Surrey--Newton/Surrey--Newton"," 107","Surrey",79,13,39,94,1,226,356
59033,"Surrey--Newton/Surrey--Newton"," 108","Surrey",90,4,42,43,1,180,428
59033,"Surrey--Newton/Surrey--Newton"," 109","Surrey",88,2,39,43,1,173,360
59033,"Surrey--Newton/Surrey--Newton"," 110","Surrey",114,1,48,14,5,182,445
59033,"Surrey--Newton/Surrey--Newton"," 111","Surrey",105,10,76,41,0,232,502
59033,"Surrey--Newton/Surrey--Newton"," 112","Surrey",87,17,69,46,1,220,492
59033,"Surrey--Newton/Surrey--Newton"," 113","Surrey",123,4,65,27,3,222,414
59033,"Surrey--Newton/Surrey--Newton"," 114A","Surrey",70,6,53,50,1,180,380
59033,"Surrey--Newton/Surrey--Newton"," 114B","Surrey",72,4,40,22,0,138,256
59033,"Surrey--Newton/Surrey--Newton"," 115","Surrey",69,8,46,116,2,241,478
59033,"Surrey--Newton/Surrey--Newton"," 116","Surrey",129,10,47,38,1,225,447
59033,"Surrey--Newton/Surrey--Newton"," 117","Surrey",112,5,56,39,1,213,547
59033,"Surrey--Newton/Surrey--Newton"," 118","Surrey",75,5,57,43,1,181,455
59033,"Surrey--Newton/Surrey--Newton"," 119","Surrey",146,2,45,39,0,232,525
59033,"Surrey--Newton/Surrey--Newton"," 120","Surrey",108,4,39,32,1,184,406
59033,"Surrey--Newton/Surrey--Newton"," 121","Surrey",119,5,64,37,1,226,523
59033,"Surrey--Newton/Surrey--Newton"," 122","Surrey",106,13,74,74,0,267,578
59033,"Surrey--Newton/Surrey--Newton"," 123A","Surrey",125,3,26,18,0,172,377
59033,"Surrey--Newton/Surrey--Newton"," 123B","Surrey",89,2,35,14,1,141,264
59033,"Surrey--Newton/Surrey--Newton"," 124","Surrey",162,1,31,15,1,210,458
59033,"Surrey--Newton/Surrey--Newton"," 125","Surrey",94,2,43,21,3,163,360
59033,"Surrey--Newton/Surrey--Newton"," 126","Surrey",117,6,58,43,1,225,418
59033,"Surrey--Newton/Surrey--Newton"," 127A","Surrey",94,2,31,16,0,143,319
59033,"Surrey--Newton/Surrey--Newton"," 127B","Surrey",68,2,21,25,0,116,292
59033,"Surrey--Newton/Surrey--Newton"," 128","Surrey",160,6,32,13,4,215,418
59033,"Surrey--Newton/Surrey--Newton"," 129","Surrey",127,2,49,18,0,196,440
59033,"Surrey--Newton/Surrey--Newton"," 130","Surrey",183,5,41,23,1,253,557
59033,"Surrey--Newton/Surrey--Newton"," 131","Surrey",108,9,58,46,0,221,398
59033,"Surrey--Newton/Surrey--Newton"," 132","Surrey",90,3,39,29,1,162,354
59033,"Surrey--Newton/Surrey--Newton"," 133","Surrey",109,5,54,36,1,205,472
59033,"Surrey--Newton/Surrey--Newton"," 134","Surrey",97,2,45,31,0,175,384
59033,"Surrey--Newton/Surrey--Newton"," 135","Surrey",96,3,46,45,0,190,416
59033,"Surrey--Newton/Surrey--Newton"," 136","Surrey",91,3,60,34,0,188,388
59033,"Surrey--Newton/Surrey--Newton"," 137","Surrey",102,1,49,38,0,190,494
59033,"Surrey--Newton/Surrey--Newton"," 138","Surrey",110,3,43,19,1,176,465
59033,"Surrey--Newton/Surrey--Newton"," 139","Surrey",78,4,43,40,0,165,401
59033,"Surrey--Newton/Surrey--Newton"," 140","Surrey",79,4,32,41,0,156,357
59033,"Surrey--Newton/Surrey--Newton"," 141A","Surrey",111,13,45,52,0,221,500
59033,"Surrey--Newton/Surrey--Newton"," 141B","Surrey",109,3,35,46,1,194,442
59033,"Surrey--Newton/Surrey--Newton"," 142A","Surrey",143,6,44,45,4,242,456
59033,"Surrey--Newton/Surrey--Newton"," 142B","Surrey",117,0,31,35,3,186,388
59033,"Surrey--Newton/Surrey--Newton"," 143","Surrey",96,7,41,38,1,183,466
59033,"Surrey--Newton/Surrey--Newton"," 144A","Surrey",124,2,49,34,3,212,416
59033,"Surrey--Newton/Surrey--Newton"," 144B","Surrey",90,3,36,23,0,152,281
59033,"Surrey--Newton/Surrey--Newton"," 500","Mobile poll/Bureau itinérant",63,8,26,28,3,128,215
59033,"Surrey--Newton/Surrey--Newton"," 501","Mobile poll/Bureau itinérant",15,3,29,25,4,76,131
59033,"Surrey--Newton/Surrey--Newton"," 600","Surrey",476,10,261,83,12,842,
59033,"Surrey--Newton/Surrey--Newton"," 601","Surrey",693,24,358,137,14,1226,
59033,"Surrey--Newton/Surrey--Newton"," 602","Surrey",625,34,390,258,12,1319,
59033,"Surrey--Newton/Surrey--Newton"," 603","Surrey",651,17,377,105,7,1157,
59033,"Surrey--Newton/Surrey--Newton"," 604","Surrey",765,10,419,83,8,1285,
59033,"Surrey--Newton/Surrey--Newton"," 605","Surrey",716,14,378,129,10,1247,
59033,"Surrey--Newton/Surrey--Newton"," 606","Surrey",662,19,329,232,7,1249,
59033,"Surrey--Newton/Surrey--Newton"," 607","Surrey",912,26,457,156,15,1566,
59033,"Surrey--Newton/Surrey--Newton"," 608","Surrey",509,23,310,193,12,1047,
59033,"Surrey--Newton/Surrey--Newton"," 609","Surrey",784,22,473,203,2,1484,
59033,"Surrey--Newton/Surrey--Newton",,"Group 1/Groupe 1",58,1,28,11,10,108,108
59033,"Surrey--Newton/Surrey--Newton",,"Group 2/Groupe 2",1281,30,488,289,19,2107,
