Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Atkinson,Larry Bagnell,Frank de Jong,Ryan Leef,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 29","Whitehorse",17,44,4,32,0,97,295
60001,"Yukon/Yukon"," 30","Whitehorse",20,85,4,23,0,132,339
60001,"Yukon/Yukon"," 31","Whitehorse",90,93,2,16,0,201,442
60001,"Yukon/Yukon"," 32","Whitehorse",38,143,7,51,2,241,464
60001,"Yukon/Yukon"," 33","Whitehorse",28,138,7,43,0,216,383
60001,"Yukon/Yukon"," 34","Whitehorse",20,95,3,56,2,176,332
60001,"Yukon/Yukon"," 35","Whitehorse",25,152,2,90,0,269,466
60001,"Yukon/Yukon"," 36","Whitehorse",27,143,5,104,1,280,525
60001,"Yukon/Yukon"," 37","Whitehorse",27,108,5,64,2,206,379
60001,"Yukon/Yukon"," 38","Whitehorse",24,111,2,71,3,211,371
60001,"Yukon/Yukon"," 39","Whitehorse",28,82,2,65,0,177,334
60001,"Yukon/Yukon"," 40","Whitehorse",36,109,6,52,0,203,384
60001,"Yukon/Yukon"," 41","Whitehorse",36,79,3,19,0,137,305
60001,"Yukon/Yukon"," 42","Whitehorse",49,129,10,30,3,221,539
60001,"Yukon/Yukon"," 43","Whitehorse",27,49,6,28,3,113,363
60001,"Yukon/Yukon"," 44","Whitehorse",32,125,6,36,0,199,442
60001,"Yukon/Yukon"," 45","Whitehorse",33,107,7,50,0,197,426
60001,"Yukon/Yukon"," 46","Whitehorse",26,115,8,46,2,197,435
60001,"Yukon/Yukon"," 47","Whitehorse",24,101,5,49,1,180,347
60001,"Yukon/Yukon"," 48","Whitehorse",51,118,7,43,0,219,450
60001,"Yukon/Yukon"," 49","Whitehorse",44,117,7,46,0,214,401
60001,"Yukon/Yukon"," 50","Whitehorse",16,109,3,40,0,168,351
60001,"Yukon/Yukon"," 51","Whitehorse",46,106,9,36,3,200,430
60001,"Yukon/Yukon"," 52","Whitehorse",10,29,3,20,1,63,229
60001,"Yukon/Yukon"," 53","Whitehorse",34,68,3,16,0,121,319
60001,"Yukon/Yukon"," 54A","Whitehorse",28,107,4,79,1,219,318
60001,"Yukon/Yukon"," 54B","Whitehorse",Merged with No./Fusionné avec le n°39,,,,,,166
60001,"Yukon/Yukon"," 55","Whitehorse",21,151,10,79,1,262,573
60001,"Yukon/Yukon"," 56","Whitehorse",25,109,5,44,1,184,400
60001,"Yukon/Yukon"," 57","Whitehorse",33,82,3,48,0,166,347
60001,"Yukon/Yukon"," 58","Mount Lorne",27,99,7,29,0,162,390
60001,"Yukon/Yukon"," 59","Marsh Lake",57,102,10,83,0,252,510
60001,"Yukon/Yukon"," 60","Carcross",51,99,5,36,0,191,346
60001,"Yukon/Yukon"," 61","Tagish",25,33,5,29,0,92,244
60001,"Yukon/Yukon"," 62","Teslin",60,69,3,44,0,176,383
60001,"Yukon/Yukon"," 63","Watson Lake",68,104,10,80,0,262,739
60001,"Yukon/Yukon"," 64","Watson Lake",19,44,2,27,0,92,283
60001,"Yukon/Yukon"," 500","Mobile poll/Bureau itinérant",14,42,3,21,0,80,107
60001,"Yukon/Yukon"," 600","Old Crow",9,8,0,0,0,17,
60001,"Yukon/Yukon"," 601","Dawson",43,111,6,38,1,199,
60001,"Yukon/Yukon"," 602","Mayo",11,25,1,17,0,54,
60001,"Yukon/Yukon"," 603","Beaver Creek",8,13,0,8,0,29,
60001,"Yukon/Yukon"," 604","Burwash Landing",9,24,1,9,0,43,
60001,"Yukon/Yukon"," 605","Haines Junction",25,78,3,35,1,142,
60001,"Yukon/Yukon"," 606","Carmacks",7,22,1,20,0,50,
60001,"Yukon/Yukon"," 607","Pelly Crossing",14,18,0,4,0,36,
60001,"Yukon/Yukon"," 608","Faro",13,20,7,16,0,56,
60001,"Yukon/Yukon"," 609","Ross River",42,8,8,0,0,58,
60001,"Yukon/Yukon"," 610","Takhini Hotspring",54,174,11,162,2,403,
60001,"Yukon/Yukon"," 611","Whitehorse",123,473,18,177,3,794,
60001,"Yukon/Yukon"," 612","Whitehorse",137,339,11,156,4,647,
60001,"Yukon/Yukon"," 613","Mount Lorne",31,102,9,46,1,189,
60001,"Yukon/Yukon"," 614","Tagish",12,21,6,21,0,60,
60001,"Yukon/Yukon"," 615","Teslin",25,50,1,16,1,93,
60001,"Yukon/Yukon"," 616","Watson Lake",32,63,3,87,1,186,
60001,"Yukon/Yukon",,"Group 1/Groupe 1",29,53,3,12,4,101,93
60001,"Yukon/Yukon",,"Group 2/Groupe 2",924,2684,99,955,27,4689,
