Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Graham,Karen Ludwig,Gayla MacIntosh,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 16","Gagetown",18,51,8,46,1,124,249
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 17","Upper Gagetown",12,72,25,64,1,174,259
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 18","Hampstead",16,51,7,50,1,125,220
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 19","Shannon",21,64,11,123,0,219,307
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 20","Belleisle Creek",21,46,10,85,1,163,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 21","Springfield",30,89,13,85,1,218,351
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 22","Hatfield Point",29,48,1,154,1,233,311
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 23","Keirsteadville",30,80,10,123,0,243,350
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 24","Kars",11,65,2,57,2,137,198
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 25","Central Greenwich",37,92,7,77,0,213,335
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 26","Greenwich Hill",23,83,12,112,1,231,377
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 27","Public Landing",21,58,14,61,0,154,310
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 28","Morrisdale",37,96,12,57,1,203,384
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 29","Grand Bay--Westfield",28,83,6,71,0,188,391
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 30","Grand Bay--Westfield",26,101,3,58,1,189,367
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 31","Grand Bay--Westfield",31,95,6,41,1,174,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 32","Grand Bay--Westfield",32,92,6,55,1,186,429
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 33","Grand Bay--Westfield",24,101,4,59,0,188,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 34","Grand Bay--Westfield",44,92,7,63,1,207,408
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 35","Grand Bay--Westfield",29,96,7,54,1,187,424
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 36","Grand Bay--Westfield",50,105,4,67,1,227,422
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 37","Grand Bay--Westfield",39,110,7,78,0,234,464
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 38","Nerepis",44,71,7,44,0,166,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 39","Nerepis",38,89,9,47,2,185,361
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40","Nerepis",24,76,8,46,0,154,264
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41","Welsford",36,111,13,82,0,242,388
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 42","Wirral",16,73,14,78,1,182,259
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43","Blissville",12,82,3,74,1,172,277
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44","Hoyt",19,81,8,72,1,181,271
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 45","Fredericton Junction",16,67,10,86,1,180,347
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 46","Fredericton Junction",18,56,11,75,1,161,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 47","Waasis",23,93,16,51,0,183,460
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 48","Waasis",27,123,33,67,2,252,568
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 49","Waasis",28,116,18,39,0,201,399
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 50","Rusagonis",19,104,24,59,1,207,437
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 51","Rusagonis",31,83,18,67,0,199,424
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 52","Rusagonis",31,71,14,68,1,185,401
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 53","Rusagonis",24,45,18,49,1,137,275
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 54","New Maryland",29,106,20,72,1,228,410
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 55","Charters Settlement",19,88,17,56,1,181,357
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 56","Nasonworth",41,125,14,69,0,249,455
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 57","Beaver Dam",47,89,20,60,1,217,386
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 58","Beaver Dam",26,76,13,41,0,156,365
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 59","Hanwell",39,123,9,54,2,227,446
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 60","Hanwell",15,103,6,56,2,182,365
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 61","Hanwell",12,72,11,87,1,183,357
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 62","Hanwell",20,79,5,56,1,161,279
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 63","Hanwell",33,96,7,65,1,202,332
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 64","Hanwell",30,91,10,75,1,207,352
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 65","Hanwell",25,93,14,52,0,184,398
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 66","Hanwell",39,132,13,76,0,260,486
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 67","Island View",25,123,16,114,0,278,414
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 68","Island View",25,80,13,80,1,199,279
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 69","Kingsclear",27,182,13,7,0,229,351
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 70","Mazerolle Settlement",18,77,9,76,1,181,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 71","Mazerolle Settlement",25,96,7,61,1,190,370
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 72","Mazerolle Settlement",24,102,10,66,0,202,410
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 73","Newmarket",20,73,8,71,0,172,316
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 74","Newmarket",18,60,8,37,0,123,206
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 75","Prince William",23,111,19,95,2,250,433
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 76","Dumfries",27,83,15,69,1,195,294
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 77","Magaguadavic",18,74,9,75,1,177,277
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 78","Harvey",21,122,15,85,0,243,416
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 79","Harvey",22,102,15,72,1,212,407
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 80","Tracy",9,31,8,85,2,135,271
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 81","Tracy",9,47,6,109,3,174,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 82","Tracy",8,53,15,83,4,163,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 83","Lawrence Station",7,66,5,85,0,163,220
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 84","McAdam",19,54,7,93,2,175,377
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 85","McAdam",7,34,2,59,0,102,219
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 86","McAdam",13,55,6,108,0,182,387
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 87A","York Mills",14,55,7,47,3,126,214
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 87B","Lawrence Station",Merged with No./Fusionné avec le n°83,,,,,,32
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 88","Tweedside",7,71,4,70,0,152,256
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 89","Coburn",25,71,17,126,1,240,379
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 90","Oak Hill",17,39,5,100,0,161,273
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 91","Central Tower Hill",19,58,1,68,2,148,250
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 92","Rollingdam",25,58,8,61,0,152,248
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 93","Bonny River",28,103,10,88,1,230,314
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 94","Utopia",16,93,8,68,0,185,329
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 95","Seeleys Cove",24,76,5,71,2,178,296
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 96","Seeleys Cove",34,107,12,83,0,236,441
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 97","Lepreau",26,108,3,52,0,189,350
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 98","Musquash",40,108,8,73,1,230,399
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 99","Chance Harbour",27,100,9,80,2,218,376
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 100","Dipper Harbour",15,65,6,88,0,174,247
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 101","Maces Bay",23,66,9,80,3,181,253
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 102","Beaver Harbour",35,91,5,78,1,210,402
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 103","Pennfield",21,58,5,38,1,123,295
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 104","Blacks Harbour",33,94,8,61,0,196,323
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 105","Blacks Harbour",20,109,8,60,0,197,373
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 106","St. George",15,99,7,63,2,186,358
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 107","St. George",30,90,12,55,0,187,371
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 108","St. George",22,91,6,68,2,189,352
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 109","St. George",24,99,11,55,0,189,357
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 110","Bonny River",19,86,10,66,1,182,336
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 111","St. George",13,68,4,58,1,144,299
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 112","Elmsville",22,65,9,59,0,155,246
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 113","Oak Bay",21,81,5,63,0,170,309
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 114","Oak Bay",21,75,9,53,3,161,276
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 115","Oak Haven",35,68,19,82,1,205,376
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 116","The Ledge",18,85,6,60,0,169,316
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 117","Moores Mills",37,71,8,80,2,198,333
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 118","Old Ridge",24,57,8,92,1,182,329
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 119","Valley Road",34,82,8,83,1,208,427
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 120","Saint Stephen",22,114,12,47,1,196,387
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 121","Saint Stephen",21,72,9,59,1,162,371
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 122","Saint Stephen",14,72,6,59,1,152,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 123","Saint Stephen",15,63,13,52,0,143,330
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 124","Saint Stephen",13,73,6,60,1,153,366
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 125","Saint Stephen",14,48,6,54,0,122,277
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 126","Saint Stephen",24,73,6,58,0,161,318
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 127","Mayfield--Heathland",8,25,5,62,2,102,244
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 128","Upper Mills",16,41,4,44,0,105,257
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 129","Upper Mills",13,67,6,68,0,154,314
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 130","Pomeroy Ridge",16,83,9,76,2,186,320
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 131","Saint Stephen",6,81,10,65,1,163,347
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 132","Saint Stephen",16,73,4,47,0,140,315
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 133","Saint Stephen",15,62,8,71,2,158,331
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 134","Bayside--Waweig",29,66,9,85,0,189,306
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 135","Bocabec",18,132,4,82,0,236,382
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 136","Chamcook",23,128,7,56,5,219,451
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 137","Saint Andrews",20,118,14,42,1,195,396
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 138","Saint Andrews",26,96,5,34,0,161,346
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 139","Saint Andrews",28,103,6,46,0,183,364
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 140","Saint Andrews",23,102,12,39,0,176,382
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 141","Deer Island",14,60,3,67,2,146,328
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 142","Letete",15,47,9,79,0,150,252
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 143","Letete",23,78,6,114,4,225,370
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 144","Campobello",5,32,3,32,0,72,230
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 145","Campobello",8,31,2,56,0,97,260
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 146","Deer Island",9,55,2,59,1,126,239
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 147","Campobello",2,23,2,41,1,69,256
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 148","North Head",30,38,4,22,0,94,234
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 149","North Head",22,41,5,35,2,105,232
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 150","Castalia",49,72,9,38,0,168,434
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 151","Woodwards Cove",26,45,11,44,0,126,276
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 152","Ingalls Head",31,68,6,46,0,151,330
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 153","White Head Island",6,13,2,56,0,77,119
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 154","Seal Cove",17,58,13,61,1,150,346
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",4,15,4,35,0,58,85
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",7,21,0,26,0,54,136
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",7,26,3,26,2,64,129
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 503","Mobile poll/Bureau itinérant",3,22,2,34,1,62,145
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 504","Mobile poll/Bureau itinérant",8,12,2,15,1,38,80
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 600","Studholm",37,185,14,220,3,459,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 601","Hampstead",27,117,12,118,0,274,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 602","Hampstead",25,81,20,83,0,209,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 603","Nasonworth",72,270,43,187,0,572,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 604","Nasonworth",61,262,36,167,1,527,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 605","Hanwell",103,381,32,240,1,757,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 606","Kingsclear",80,242,23,225,3,573,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 607","McAdam",13,53,7,156,1,230,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 608","Harvey Station",23,127,21,141,0,312,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 609","Fredericton Junction--Tracy",16,98,21,171,0,306,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 610","Keirsteadville",65,129,12,156,2,364,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 611","Grand Bay--Westfield",135,344,21,257,4,761,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 612","Lepreau",38,97,6,106,0,247,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 613","Pennfield",46,184,6,164,6,406,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 614","St. George",42,244,25,237,5,553,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 615","Saint Stephen",63,209,18,208,4,502,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 616","Saint Stephen",59,280,24,251,5,619,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 617","Saint Andrews",62,385,21,200,5,673,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 618","Deer Island",7,53,4,59,0,123,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 619","Campobello",17,58,3,135,3,216,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 620","Grand Manan",47,157,17,133,2,356,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,"Group 1/Groupe 1",15,69,6,101,9,200,46
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,"Group 2/Groupe 2",173,520,58,454,33,1238,
