Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Liz Jaluague,Adam Pankratz,Grace Seear,Kennedy Stewart,Wyatt Tessari,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 142","Burnaby",4,43,63,84,9,0,203,423
59003,"Burnaby South/Burnaby-Sud"," 143","Burnaby",3,68,42,67,6,0,186,577
59003,"Burnaby South/Burnaby-Sud"," 144","Burnaby",4,84,80,101,6,2,277,571
59003,"Burnaby South/Burnaby-Sud"," 145","Burnaby",3,92,69,82,13,1,260,516
59003,"Burnaby South/Burnaby-Sud"," 146","Burnaby",1,57,55,56,8,0,177,424
59003,"Burnaby South/Burnaby-Sud"," 147","Burnaby",0,67,41,53,6,1,168,383
59003,"Burnaby South/Burnaby-Sud"," 148","Burnaby",1,70,38,39,1,0,149,345
59003,"Burnaby South/Burnaby-Sud"," 149","Burnaby",0,101,58,66,11,0,236,436
59003,"Burnaby South/Burnaby-Sud"," 150A","Burnaby",1,50,51,29,2,0,133,352
59003,"Burnaby South/Burnaby-Sud"," 150B","Burnaby",0,32,52,24,2,3,113,245
59003,"Burnaby South/Burnaby-Sud"," 151","Burnaby",3,69,76,70,7,1,226,465
59003,"Burnaby South/Burnaby-Sud"," 152","Burnaby",2,58,90,47,2,0,199,488
59003,"Burnaby South/Burnaby-Sud"," 153","Burnaby",5,77,45,87,5,0,219,370
59003,"Burnaby South/Burnaby-Sud"," 154","Burnaby",2,68,39,62,6,0,177,321
59003,"Burnaby South/Burnaby-Sud"," 155","Burnaby",5,85,48,68,1,0,207,394
59003,"Burnaby South/Burnaby-Sud"," 156","Burnaby",4,61,79,69,4,2,219,442
59003,"Burnaby South/Burnaby-Sud"," 157","Burnaby",3,81,77,41,6,2,210,391
59003,"Burnaby South/Burnaby-Sud"," 158","Burnaby",0,82,64,60,4,1,211,405
59003,"Burnaby South/Burnaby-Sud"," 159","Burnaby",3,85,84,72,3,1,248,418
59003,"Burnaby South/Burnaby-Sud"," 160","Burnaby",5,75,46,43,4,0,173,398
59003,"Burnaby South/Burnaby-Sud"," 161","Burnaby",0,81,87,44,5,0,217,344
59003,"Burnaby South/Burnaby-Sud"," 162","Burnaby",3,108,106,80,7,2,306,473
59003,"Burnaby South/Burnaby-Sud"," 163","Burnaby",0,102,106,85,5,0,298,486
59003,"Burnaby South/Burnaby-Sud"," 164","Burnaby",0,72,60,49,3,2,186,346
59003,"Burnaby South/Burnaby-Sud"," 165","Burnaby",1,80,44,80,1,2,208,414
59003,"Burnaby South/Burnaby-Sud"," 166","Burnaby",1,73,104,42,2,3,225,393
59003,"Burnaby South/Burnaby-Sud"," 167","Burnaby",5,92,42,105,15,3,262,471
59003,"Burnaby South/Burnaby-Sud"," 168","Burnaby",2,83,43,130,7,2,267,465
59003,"Burnaby South/Burnaby-Sud"," 169","Burnaby",4,52,33,89,10,0,188,379
59003,"Burnaby South/Burnaby-Sud"," 170","Burnaby",0,70,46,47,1,0,164,365
59003,"Burnaby South/Burnaby-Sud"," 171","Burnaby",0,111,36,111,9,1,268,592
59003,"Burnaby South/Burnaby-Sud"," 172","Burnaby",1,65,30,54,4,0,154,317
59003,"Burnaby South/Burnaby-Sud"," 173","Burnaby",3,74,56,56,2,3,194,412
59003,"Burnaby South/Burnaby-Sud"," 174","Burnaby",3,47,43,104,13,0,210,299
59003,"Burnaby South/Burnaby-Sud"," 175","Burnaby",5,76,56,46,3,0,186,510
59003,"Burnaby South/Burnaby-Sud"," 176","Burnaby",0,53,26,95,9,2,185,357
