Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Colero,Judy Higginbotham,Pixie Hobby,Bonnie Hu,Brian Marlatt,Dianne Lynn Watts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 43","Surrey",11,107,36,0,1,97,0,252,425
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 44","Surrey",8,141,43,0,1,99,1,293,446
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 45","Surrey",6,113,23,3,2,118,0,265,443
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 46","Surrey",9,104,8,1,0,142,0,264,463
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 47","Surrey",11,126,22,1,0,147,0,307,509
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 48","Surrey",6,99,25,2,1,93,0,226,411
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 49","Surrey",8,76,16,1,0,133,0,234,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 50","Surrey",3,106,19,1,0,136,1,266,540
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 51","Surrey",9,61,9,0,1,108,0,188,429
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 52","Surrey",7,86,21,1,0,87,0,202,426
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 53","Surrey",5,69,15,0,0,115,0,204,436
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 54","Surrey",6,83,25,1,0,78,3,196,456
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 55","Surrey",8,97,32,2,0,100,0,239,522
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 56","Surrey",6,117,30,0,0,107,0,260,501
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 57","Surrey",14,131,27,1,0,126,0,299,514
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 58","Surrey",3,56,16,1,1,91,2,170,383
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 59","Surrey",11,62,19,1,0,117,0,210,465
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 60","Surrey",6,67,17,2,0,75,0,167,304
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 61","Surrey",5,62,18,1,1,72,0,159,286
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 62A","Surrey",4,113,23,1,0,65,2,208,323
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 62B","Surrey",5,98,13,0,0,51,0,167,281
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 63","Surrey",11,107,30,1,0,81,2,232,434
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 64","Surrey",10,107,33,2,0,103,1,256,488
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 65","Surrey",10,124,40,4,0,73,0,251,472
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 66A","Surrey",4,94,9,1,0,69,0,177,311
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 66B","Surrey",0,88,10,0,0,45,1,144,312
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 67","Surrey",5,109,24,2,1,107,0,248,526
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 68","Surrey",7,121,19,1,1,58,1,208,483
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 69","Surrey",4,45,2,0,1,114,1,167,328
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 70","Surrey",5,83,17,2,0,127,3,237,393
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 71","Surrey",4,82,20,2,1,141,1,251,438
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 72A","Surrey",7,60,15,0,0,48,0,130,265
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 72B","Surrey",3,78,9,0,0,65,0,155,267
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 73","Surrey",6,89,11,2,1,182,1,292,457
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 74","Surrey",4,50,3,1,0,159,1,218,403
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 75","Surrey",2,74,6,1,0,190,0,273,444
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 76A","Surrey",2,70,15,2,0,80,0,169,323
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 76B","Surrey",8,82,12,1,0,101,0,204,337
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 77","Surrey",2,77,0,1,0,92,0,172,316
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 78A","Surrey",2,53,8,0,0,69,0,132,308
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 78B","Surrey",1,70,1,2,0,98,0,172,327
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 79","Surrey",1,89,19,1,0,143,0,253,499
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 80A","Surrey",6,105,15,1,1,100,2,230,442
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 80B","Surrey",1,89,7,0,0,87,0,184,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 81A","Surrey",10,120,16,1,0,102,0,249,503
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 81B","Surrey",3,84,20,1,0,118,0,226,447
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 82","Surrey",3,73,14,1,0,77,1,169,388
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 83","Surrey",5,91,19,1,1,132,6,255,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 84","Surrey",5,93,21,2,0,108,0,229,389
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 85","Surrey",9,117,12,0,1,83,0,222,412
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 86","Surrey",3,124,18,2,1,100,0,248,515
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 87","Surrey",4,171,16,1,1,60,3,256,560
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 88","Surrey",8,119,16,2,0,94,0,239,438
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 89","Surrey",14,87,29,1,0,133,0,264,451
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 90","Surrey",16,103,26,2,1,96,0,244,421
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 91","Surrey",5,131,19,1,0,117,1,274,553
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 92","Surrey",11,109,14,1,0,96,0,231,465
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93A","Surrey",3,62,30,0,0,49,0,144,318
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93B","Surrey",7,58,14,0,0,56,2,137,287
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 94","Surrey",19,113,40,1,4,85,2,264,518
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 95","Surrey",14,55,26,1,0,70,0,166,391
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 96","Surrey",13,148,27,0,1,73,0,262,478
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 97","Surrey",12,129,23,1,2,132,0,299,440
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 98","Surrey",9,130,37,1,0,121,0,298,447
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 99","Surrey",10,112,20,0,0,61,0,203,338
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 100","Surrey",10,82,36,1,0,64,0,193,358
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 101","Surrey",6,111,38,2,0,82,0,239,447
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 102","Surrey",8,82,41,0,0,128,1,260,438
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 103","Surrey",22,92,22,1,1,112,0,250,450
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 104","Surrey",10,105,36,1,1,138,1,292,556
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 105","Surrey",13,103,38,2,0,109,0,265,499
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 106","Surrey",8,123,39,3,0,97,1,271,525
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 107","Surrey",4,79,17,0,0,85,1,186,362
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 108","Surrey",6,78,20,2,0,92,2,200,348
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 109","Surrey",10,69,14,1,0,70,0,164,317
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 110","Surrey",4,76,29,0,0,66,1,176,410
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 111","Surrey",15,77,15,0,0,35,1,143,358
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 112","Surrey",6,52,16,2,0,85,0,161,359
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 113","Surrey",5,96,34,3,1,113,0,252,396
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 114","Surrey",15,91,25,0,0,114,0,245,394
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 115","Surrey",16,107,32,1,0,90,1,247,413
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 116","Surrey",9,99,22,0,0,78,1,209,337
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 117","Surrey",10,90,15,3,0,73,0,191,320
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 118","White Rock",6,99,12,1,1,89,0,208,360
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 119","Surrey",14,79,22,1,0,115,0,231,396
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 120","White Rock",13,134,25,0,1,117,4,294,442
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 121","White Rock",8,98,12,1,1,117,0,237,440
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 122","Surrey",12,91,29,1,1,85,0,219,380
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 123","White Rock",5,88,17,3,0,137,1,251,440
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 124","White Rock",20,85,24,0,0,82,0,211,406
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 125","White Rock",11,98,28,1,0,98,0,236,530
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 126","White Rock",5,65,26,1,0,52,2,151,340
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 127","White Rock",7,89,30,0,0,91,1,218,436
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 128","White Rock",12,82,26,1,0,67,1,189,378
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 129","White Rock",8,91,15,1,0,67,1,183,386
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 130","White Rock",11,101,22,1,0,76,0,211,406
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 131","Surrey",6,64,22,0,2,91,0,185,475
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 132","White Rock",6,89,28,2,0,66,2,193,481
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 133","White Rock",11,95,42,3,0,67,0,218,472
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 134A","White Rock",6,38,10,0,0,73,0,127,291
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 134B","White Rock",7,44,12,1,1,80,0,145,341
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 135","White Rock",4,71,24,0,1,54,0,154,314
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 136","Surrey",6,81,23,0,0,82,0,192,364
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 137","Surrey",7,132,26,1,0,86,3,255,501
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 138","Surrey",13,62,24,0,2,82,0,183,398
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 139","White Rock",2,66,21,3,0,51,2,145,313
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 140","Surrey",9,87,22,3,0,67,0,188,369
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 141","Surrey",10,160,53,1,1,57,3,285,472
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 142","White Rock",7,116,33,1,0,63,0,220,388
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 143","White Rock",10,115,24,1,0,67,2,219,350
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 144","White Rock",10,93,38,0,0,61,0,202,375
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 145","White Rock",13,103,31,2,0,81,0,230,501
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 146","White Rock",13,92,39,1,0,78,1,224,467
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 147","White Rock",14,102,24,1,0,80,0,221,486
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 148","White Rock",8,91,24,1,2,79,1,206,397
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 149","White Rock",9,110,35,1,1,62,1,219,430
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 150","White Rock",13,114,27,0,2,89,0,245,409
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 151","White Rock",9,107,37,0,0,62,1,216,359
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 152","White Rock",9,121,22,0,0,88,2,242,419
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 153","White Rock",9,99,16,0,0,70,0,194,393
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 154","White Rock",1,131,19,1,0,68,0,220,392
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 155","White Rock",7,74,25,1,1,62,0,170,350
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 156","White Rock",13,93,23,1,0,74,0,204,400
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 157","White Rock",13,112,23,0,0,76,0,224,374
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 158","White Rock",8,84,20,0,0,68,0,180,382
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 159","White Rock",13,101,26,0,0,79,0,219,405
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 160","White Rock",6,94,19,4,0,68,0,191,353
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 161","White Rock",9,81,18,3,1,102,0,214,392
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 162","White Rock",5,109,28,0,0,81,0,223,407
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 163","Surrey",5,25,12,0,0,9,0,51,102
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 164","Surrey",9,104,33,3,0,122,1,272,408
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 165","Surrey",9,129,43,2,0,142,0,325,540
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 166","Surrey",5,93,46,0,0,123,0,267,422
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 167A","Surrey",5,97,13,3,1,91,0,210,396
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 167B","Surrey",5,107,20,0,0,92,0,224,356
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 168","Surrey",9,86,26,0,1,96,0,218,439
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 169A","Surrey",3,91,10,0,0,58,1,163,295
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 169B","Surrey",3,83,15,1,0,54,0,156,302
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 170A","Surrey",0,119,21,0,1,108,0,249,424
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 170B","Surrey",8,101,13,1,0,116,1,240,444
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 171","Surrey",18,68,14,0,1,119,2,222,395
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 400","White Rock",Void/Supprimé,,,,,,,,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 401","Surrey",2,17,5,0,0,33,0,57,76
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 402","Surrey",4,38,8,1,0,56,0,107,136
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 500","Mobile poll/Bureau itinérant",3,41,20,2,3,50,6,125,160
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 501","Mobile poll/Bureau itinérant",7,23,17,1,1,66,2,117,134
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 502","Mobile poll/Bureau itinérant",5,50,10,0,4,60,3,132,170
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 503","Mobile poll/Bureau itinérant",4,41,1,1,1,113,0,161,225
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 504","Mobile poll/Bureau itinérant",6,37,14,0,3,65,2,127,171
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 505","Mobile poll/Bureau itinérant",7,32,16,1,2,34,0,92,118
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 506","Mobile poll/Bureau itinérant",3,39,22,6,1,45,3,119,171
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 507","Mobile poll/Bureau itinérant",3,35,9,1,0,62,7,117,155
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 600","Surrey",8,261,52,4,4,368,1,698,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 601","Surrey",33,323,84,1,1,456,1,899,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 602","Surrey",41,430,118,3,2,764,4,1362,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 603","Surrey",52,459,144,5,0,434,0,1094,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 604","Surrey",23,441,92,2,1,652,2,1213,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 605","White Rock",21,367,90,1,4,452,2,937,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 606","White Rock",28,359,134,3,3,496,4,1027,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 607","Surrey",56,538,203,4,1,602,9,1413,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 608","White Rock",53,527,175,5,4,600,2,1366,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 609","Surrey",45,427,141,2,3,413,1,1032,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 610","Surrey",30,458,119,6,4,495,1,1113,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",,"Group 1/Groupe 1",6,41,15,4,0,19,12,97,95
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",,"Group 2/Groupe 2",97,747,372,17,1,958,52,2244,
