Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Candice Bergen,Jerome Dondo,Beverley Eert,Dean Harder,Ken Werbiski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 52","Elie",142,4,11,25,120,1,303,516
46007,"Portage--Lisgar/Portage--Lisgar"," 53","Dacotah",105,4,2,8,31,0,150,353
46007,"Portage--Lisgar/Portage--Lisgar"," 54","Rosser",132,1,8,21,119,1,282,388
46007,"Portage--Lisgar/Portage--Lisgar"," 55","Lido Plage",78,3,6,9,55,0,151,367
46007,"Portage--Lisgar/Portage--Lisgar"," 56","St. François Xavier",91,1,15,15,115,0,237,323
46007,"Portage--Lisgar/Portage--Lisgar"," 57","Springstein",86,4,18,9,80,2,199,357
46007,"Portage--Lisgar/Portage--Lisgar"," 58A","Oak Bluff",120,1,6,9,62,0,198,291
46007,"Portage--Lisgar/Portage--Lisgar"," 58B","Oak Bluff",114,2,3,11,62,1,193,303
46007,"Portage--Lisgar/Portage--Lisgar"," 59","Oak Bluff",161,3,9,11,70,1,255,397
46007,"Portage--Lisgar/Portage--Lisgar"," 60","Ferndale",121,3,8,6,54,2,194,378
46007,"Portage--Lisgar/Portage--Lisgar"," 61","Sanford",195,2,15,27,90,0,329,505
46007,"Portage--Lisgar/Portage--Lisgar"," 62","Sanford",197,1,14,24,67,3,306,492
46007,"Portage--Lisgar/Portage--Lisgar"," 63","Starbuck",196,7,25,25,97,1,351,492
46007,"Portage--Lisgar/Portage--Lisgar"," 64","Brunkild",86,0,4,4,35,0,129,192
46007,"Portage--Lisgar/Portage--Lisgar"," 65","Domain",54,0,1,2,18,0,75,135
46007,"Portage--Lisgar/Portage--Lisgar"," 66A","La Salle",112,1,7,11,69,0,200,315
46007,"Portage--Lisgar/Portage--Lisgar"," 66B","La Salle",107,3,5,14,49,0,178,280
46007,"Portage--Lisgar/Portage--Lisgar"," 67","La Salle",117,2,0,14,91,0,224,341
46007,"Portage--Lisgar/Portage--Lisgar"," 68","La Salle",119,2,5,19,79,0,224,335
46007,"Portage--Lisgar/Portage--Lisgar"," 69","La Salle",128,3,3,8,81,1,224,358
46007,"Portage--Lisgar/Portage--Lisgar"," 70","La Salle",125,1,8,7,78,0,219,323
46007,"Portage--Lisgar/Portage--Lisgar"," 71A","Rosenort",146,4,8,6,32,2,198,351
46007,"Portage--Lisgar/Portage--Lisgar"," 71B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,11
46007,"Portage--Lisgar/Portage--Lisgar"," 72","Rosenort",276,3,8,8,20,2,317,546
46007,"Portage--Lisgar/Portage--Lisgar"," 73","Sperling",68,1,6,6,29,1,111,223
46007,"Portage--Lisgar/Portage--Lisgar"," 74","Barnsley",111,32,2,5,10,0,160,273
46007,"Portage--Lisgar/Portage--Lisgar"," 75","Carman",151,26,6,16,52,0,251,398
46007,"Portage--Lisgar/Portage--Lisgar"," 76","Homewood",139,17,16,8,32,0,212,333
46007,"Portage--Lisgar/Portage--Lisgar"," 77","Carman",145,17,18,18,66,0,264,422
46007,"Portage--Lisgar/Portage--Lisgar"," 78","Carman",136,13,11,13,73,1,247,411
46007,"Portage--Lisgar/Portage--Lisgar"," 79","Carman",146,25,10,9,52,0,242,407
46007,"Portage--Lisgar/Portage--Lisgar"," 80A","Carman",177,20,13,13,70,2,295,508
46007,"Portage--Lisgar/Portage--Lisgar"," 80B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,68
46007,"Portage--Lisgar/Portage--Lisgar"," 81","Carman",125,31,20,8,36,0,220,352
46007,"Portage--Lisgar/Portage--Lisgar"," 82","Roseisle",125,18,6,11,22,1,183,317
46007,"Portage--Lisgar/Portage--Lisgar"," 83","Graysville",89,13,7,8,29,0,146,351
46007,"Portage--Lisgar/Portage--Lisgar"," 84A","Notre-Dame-de-Lourdes",103,3,5,20,154,0,285,418
46007,"Portage--Lisgar/Portage--Lisgar"," 84B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,57
46007,"Portage--Lisgar/Portage--Lisgar"," 85","Notre-Dame-de-Lourdes",63,7,13,15,78,0,176,273
46007,"Portage--Lisgar/Portage--Lisgar"," 86","Treherne",93,2,1,3,26,0,125,238
46007,"Portage--Lisgar/Portage--Lisgar"," 87","Treherne",108,2,3,20,45,2,180,303
46007,"Portage--Lisgar/Portage--Lisgar"," 88","Treherne",60,1,5,7,26,0,99,173
46007,"Portage--Lisgar/Portage--Lisgar"," 89A","Somerset",78,7,8,14,75,0,182,296
46007,"Portage--Lisgar/Portage--Lisgar"," 89B","Somerset",46,6,7,11,63,1,134,267
46007,"Portage--Lisgar/Portage--Lisgar"," 90","Swan Lake",46,2,4,4,22,1,79,130
46007,"Portage--Lisgar/Portage--Lisgar"," 91","Swan Lake",79,3,7,28,56,0,173,329
46007,"Portage--Lisgar/Portage--Lisgar"," 92","Bruxelles",79,8,17,4,32,0,140,207
46007,"Portage--Lisgar/Portage--Lisgar"," 93","Mariapolis",60,2,6,5,30,0,103,152
46007,"Portage--Lisgar/Portage--Lisgar"," 94","Swan Lake",2,1,0,26,42,0,71,98
46007,"Portage--Lisgar/Portage--Lisgar"," 95","La Rivière",112,1,12,15,40,2,182,313
46007,"Portage--Lisgar/Portage--Lisgar"," 96","Snowflake",25,2,3,1,5,0,36,57
46007,"Portage--Lisgar/Portage--Lisgar"," 97","Saint-Léon",101,5,12,11,56,0,185,260
46007,"Portage--Lisgar/Portage--Lisgar"," 98","Miami",104,6,15,11,28,0,164,313
46007,"Portage--Lisgar/Portage--Lisgar"," 99","Miami",124,10,17,22,48,0,221,314
46007,"Portage--Lisgar/Portage--Lisgar"," 100","Rosebank",124,9,8,5,11,2,159,326
46007,"Portage--Lisgar/Portage--Lisgar"," 101","Roland",114,2,5,5,29,0,155,234
46007,"Portage--Lisgar/Portage--Lisgar"," 102","Roland",209,6,8,16,48,0,287,420
46007,"Portage--Lisgar/Portage--Lisgar"," 103","Lowe Farm",148,11,5,19,18,0,201,472
46007,"Portage--Lisgar/Portage--Lisgar"," 104","Morris",112,2,8,20,82,0,224,394
46007,"Portage--Lisgar/Portage--Lisgar"," 105","Morris",115,0,2,26,65,1,209,375
46007,"Portage--Lisgar/Portage--Lisgar"," 106A","Morris",151,0,4,13,44,1,213,348
46007,"Portage--Lisgar/Portage--Lisgar"," 106B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,38
46007,"Portage--Lisgar/Portage--Lisgar"," 107A","Morris",103,2,5,13,50,0,173,291
46007,"Portage--Lisgar/Portage--Lisgar"," 107B","Rosenort",Merged with No./Fusionné avec le n°72,,,,,,,20
46007,"Portage--Lisgar/Portage--Lisgar"," 108","Aubigny",36,1,3,5,29,0,74,113
46007,"Portage--Lisgar/Portage--Lisgar"," 109","Rosenfeld",162,18,4,5,35,1,225,472
46007,"Portage--Lisgar/Portage--Lisgar"," 110","Plum Coulee",178,6,3,7,16,0,210,328
46007,"Portage--Lisgar/Portage--Lisgar"," 111","Horndean",88,9,0,1,5,0,103,209
46007,"Portage--Lisgar/Portage--Lisgar"," 112","Plum Coulee",219,6,4,5,11,0,245,485
46007,"Portage--Lisgar/Portage--Lisgar"," 113","Gnadenthal",124,6,2,3,2,0,137,306
46007,"Portage--Lisgar/Portage--Lisgar"," 114","Winkler",187,10,5,4,20,0,226,466
46007,"Portage--Lisgar/Portage--Lisgar"," 115A","Winkler",115,9,4,7,20,1,156,329
46007,"Portage--Lisgar/Portage--Lisgar"," 115B","Winkler",87,4,0,8,11,0,110,235
46007,"Portage--Lisgar/Portage--Lisgar"," 116","Winkler",178,13,3,11,29,0,234,430
46007,"Portage--Lisgar/Portage--Lisgar"," 117","Winkler",202,15,2,5,14,1,239,518
46007,"Portage--Lisgar/Portage--Lisgar"," 118","Winkler",157,12,1,10,20,1,201,397
46007,"Portage--Lisgar/Portage--Lisgar"," 119A","Winkler",188,8,1,12,29,1,239,421
46007,"Portage--Lisgar/Portage--Lisgar"," 119B","Winkler",131,6,4,6,12,1,160,328
46007,"Portage--Lisgar/Portage--Lisgar"," 120","Winkler",180,15,3,10,28,0,236,458
46007,"Portage--Lisgar/Portage--Lisgar"," 121","Winkler",232,10,0,5,9,1,257,509
46007,"Portage--Lisgar/Portage--Lisgar"," 122","Chortitz",77,2,0,1,10,1,91,223
46007,"Portage--Lisgar/Portage--Lisgar"," 123","Winkler",132,7,3,12,12,2,168,417
46007,"Portage--Lisgar/Portage--Lisgar"," 124A","Winkler",Merged with No./Fusionné avec le n°134,,,,,,,53
46007,"Portage--Lisgar/Portage--Lisgar"," 124B","Winkler",89,8,4,6,22,0,129,261
46007,"Portage--Lisgar/Portage--Lisgar"," 124C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,93
46007,"Portage--Lisgar/Portage--Lisgar"," 124D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,91
46007,"Portage--Lisgar/Portage--Lisgar"," 125","Winkler",163,18,10,10,46,0,247,418
46007,"Portage--Lisgar/Portage--Lisgar"," 126","Winkler",160,11,4,9,39,2,225,368
46007,"Portage--Lisgar/Portage--Lisgar"," 127","Winkler",184,13,11,5,19,0,232,453
46007,"Portage--Lisgar/Portage--Lisgar"," 128A","Winkler",145,7,2,5,22,0,181,302
46007,"Portage--Lisgar/Portage--Lisgar"," 128B","Winkler",125,8,2,4,14,0,153,253
46007,"Portage--Lisgar/Portage--Lisgar"," 129","Winkler",136,9,4,5,29,1,184,409
46007,"Portage--Lisgar/Portage--Lisgar"," 130","Winkler",177,7,4,7,16,0,211,411
46007,"Portage--Lisgar/Portage--Lisgar"," 131","Winkler",159,12,4,7,25,0,207,428
46007,"Portage--Lisgar/Portage--Lisgar"," 132","Winkler",207,10,4,8,33,1,263,474
46007,"Portage--Lisgar/Portage--Lisgar"," 133A","Schanzenfeld",169,14,2,2,1,3,191,314
46007,"Portage--Lisgar/Portage--Lisgar"," 133B","Schanzenfeld",146,4,0,3,4,1,158,251
46007,"Portage--Lisgar/Portage--Lisgar"," 134","Hochfeld",180,18,1,1,7,0,207,347
46007,"Portage--Lisgar/Portage--Lisgar"," 135","Morden",128,11,12,5,22,0,178,306
46007,"Portage--Lisgar/Portage--Lisgar"," 136","Morden",110,1,17,9,37,0,174,373
46007,"Portage--Lisgar/Portage--Lisgar"," 137","Morden",110,5,16,9,54,0,194,342
46007,"Portage--Lisgar/Portage--Lisgar"," 138","Thornhill",176,13,13,12,43,1,258,468
46007,"Portage--Lisgar/Portage--Lisgar"," 139","Brown",242,18,17,9,42,0,328,532
46007,"Portage--Lisgar/Portage--Lisgar"," 140A","Morden",124,1,13,8,57,0,203,302
46007,"Portage--Lisgar/Portage--Lisgar"," 140B","Morden",56,3,4,6,30,1,100,220
46007,"Portage--Lisgar/Portage--Lisgar"," 141","Morden",165,7,10,11,73,1,267,442
46007,"Portage--Lisgar/Portage--Lisgar"," 142A","Morden",106,2,8,12,42,0,170,320
46007,"Portage--Lisgar/Portage--Lisgar"," 142B","Morden",96,6,3,11,30,0,146,264
46007,"Portage--Lisgar/Portage--Lisgar"," 143","Morden",164,4,12,14,61,0,255,410
46007,"Portage--Lisgar/Portage--Lisgar"," 144","Morden",162,8,21,14,44,0,249,427
46007,"Portage--Lisgar/Portage--Lisgar"," 145","Morden",102,3,7,16,53,0,181,360
46007,"Portage--Lisgar/Portage--Lisgar"," 146A","Morden",109,7,19,12,40,2,189,417
46007,"Portage--Lisgar/Portage--Lisgar"," 146B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148B,,,,,,,64
46007,"Portage--Lisgar/Portage--Lisgar"," 147A","Morden",117,4,8,8,51,2,190,361
46007,"Portage--Lisgar/Portage--Lisgar"," 147B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148B,,,,,,,30
46007,"Portage--Lisgar/Portage--Lisgar"," 148A","Morden",131,5,14,7,46,4,207,428
46007,"Portage--Lisgar/Portage--Lisgar"," 148B","Mobile poll/Bureau itinérant",73,3,3,7,22,2,110,73
46007,"Portage--Lisgar/Portage--Lisgar"," 149","Morden",153,6,9,36,63,1,268,439
46007,"Portage--Lisgar/Portage--Lisgar"," 150A","Morden",159,3,14,20,46,1,243,419
46007,"Portage--Lisgar/Portage--Lisgar"," 150B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,58
46007,"Portage--Lisgar/Portage--Lisgar"," 151","Darlingford",97,5,14,5,27,0,148,288
46007,"Portage--Lisgar/Portage--Lisgar"," 152","Darlingford",61,3,3,3,16,0,86,207
46007,"Portage--Lisgar/Portage--Lisgar"," 153","Manitou",154,3,28,16,66,1,268,481
46007,"Portage--Lisgar/Portage--Lisgar"," 154","Manitou",151,6,12,16,38,0,223,366
46007,"Portage--Lisgar/Portage--Lisgar"," 155","Blumenfeld",171,17,1,3,16,0,208,400
46007,"Portage--Lisgar/Portage--Lisgar"," 156","Altona",140,7,10,6,72,0,235,420
46007,"Portage--Lisgar/Portage--Lisgar"," 157A","Altona",107,3,9,10,41,0,170,298
46007,"Portage--Lisgar/Portage--Lisgar"," 157B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,104
46007,"Portage--Lisgar/Portage--Lisgar"," 158","Altona",87,5,4,10,27,0,133,247
46007,"Portage--Lisgar/Portage--Lisgar"," 159","Altona",99,6,10,9,22,2,148,288
46007,"Portage--Lisgar/Portage--Lisgar"," 160A","Altona",143,4,2,7,38,2,196,338
46007,"Portage--Lisgar/Portage--Lisgar"," 160B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,13
46007,"Portage--Lisgar/Portage--Lisgar"," 161","Altbergthal",202,17,11,5,27,0,262,414
46007,"Portage--Lisgar/Portage--Lisgar"," 162","Altona",124,12,7,5,50,0,198,380
46007,"Portage--Lisgar/Portage--Lisgar"," 163","Altona",94,10,6,11,29,0,150,376
46007,"Portage--Lisgar/Portage--Lisgar"," 164","Altona",208,4,8,7,42,3,272,465
46007,"Portage--Lisgar/Portage--Lisgar"," 165","Halbstadt",71,5,1,4,6,0,87,151
46007,"Portage--Lisgar/Portage--Lisgar"," 166","Gretna",119,7,9,12,26,0,173,303
46007,"Portage--Lisgar/Portage--Lisgar"," 167","Gretna",101,4,9,12,30,1,157,305
46007,"Portage--Lisgar/Portage--Lisgar"," 500","Mobile poll/Bureau itinérant",87,3,3,11,44,1,149,271
46007,"Portage--Lisgar/Portage--Lisgar"," 501","Mobile poll/Bureau itinérant",72,6,5,5,53,2,143,216
46007,"Portage--Lisgar/Portage--Lisgar"," 502A","Mobile poll/Bureau itinérant",72,4,4,13,47,4,144,163
46007,"Portage--Lisgar/Portage--Lisgar"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,70
46007,"Portage--Lisgar/Portage--Lisgar"," 503","Mobile poll/Bureau itinérant",28,9,4,12,29,3,85,62
46007,"Portage--Lisgar/Portage--Lisgar"," 504","Mobile poll/Bureau itinérant",76,3,3,8,29,0,119,134
46007,"Portage--Lisgar/Portage--Lisgar"," 505A","Mobile poll/Bureau itinérant",19,1,0,2,1,0,23,48
46007,"Portage--Lisgar/Portage--Lisgar"," 505B","Mobile poll/Bureau itinérant",22,0,2,9,8,0,41,21
46007,"Portage--Lisgar/Portage--Lisgar"," 506","Mobile poll/Bureau itinérant",80,2,2,12,8,1,105,111
46007,"Portage--Lisgar/Portage--Lisgar"," 507","Mobile poll/Bureau itinérant",144,12,5,12,14,0,187,207
46007,"Portage--Lisgar/Portage--Lisgar"," 508","Mobile poll/Bureau itinérant",58,2,5,6,18,1,90,109
46007,"Portage--Lisgar/Portage--Lisgar"," 509","Mobile poll/Bureau itinérant",48,4,4,7,21,0,84,29
46007,"Portage--Lisgar/Portage--Lisgar"," 600","Portage la Prairie--Rural",178,4,15,31,90,2,320,
46007,"Portage--Lisgar/Portage--Lisgar"," 601","Portage la Prairie North",138,0,16,35,118,0,307,
46007,"Portage--Lisgar/Portage--Lisgar"," 602","Portage la Prairie South",275,0,31,34,202,1,543,
46007,"Portage--Lisgar/Portage--Lisgar"," 603","Elie",84,0,3,10,51,0,148,
46007,"Portage--Lisgar/Portage--Lisgar"," 604","Treherne--Lorne",66,3,9,12,51,0,141,
46007,"Portage--Lisgar/Portage--Lisgar"," 605","Carman--St. Claude",304,27,34,23,121,1,510,
46007,"Portage--Lisgar/Portage--Lisgar"," 606","Oak Bluff",168,3,11,32,68,1,283,
46007,"Portage--Lisgar/Portage--Lisgar"," 607","La Salle",125,0,11,21,95,1,253,
46007,"Portage--Lisgar/Portage--Lisgar"," 608","Morris--Montcalm",176,1,4,27,56,1,265,
46007,"Portage--Lisgar/Portage--Lisgar"," 609","Manitou",108,2,15,5,53,0,183,
46007,"Portage--Lisgar/Portage--Lisgar"," 610","Morden",534,18,55,55,197,3,862,
46007,"Portage--Lisgar/Portage--Lisgar"," 611","Outer Winkler ",457,11,14,20,60,0,562,
46007,"Portage--Lisgar/Portage--Lisgar"," 612","Winkler Centre",356,10,14,18,48,2,448,
46007,"Portage--Lisgar/Portage--Lisgar"," 613","Rhineland",309,11,30,22,95,2,469,
46007,"Portage--Lisgar/Portage--Lisgar",,"Group 1/Groupe 1",32,0,5,8,56,3,104,68
46007,"Portage--Lisgar/Portage--Lisgar",,"Group 2/Groupe 2",549,17,60,76,262,25,989,
