Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vincent Chiu,Jack Trovato,Alice Wong,Lawrence Woo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 62","Richmond",Void/Supprimé,,,,,,
59025,"Richmond Centre/Richmond-Centre"," 63","Richmond",11,31,96,107,1,246,276
59025,"Richmond Centre/Richmond-Centre"," 64","Richmond",3,18,78,73,2,174,402
59025,"Richmond Centre/Richmond-Centre"," 65","Richmond",3,31,68,72,0,174,433
59025,"Richmond Centre/Richmond-Centre"," 66","Richmond",6,16,81,73,1,177,368
59025,"Richmond Centre/Richmond-Centre"," 67","Richmond",5,22,72,98,1,198,380
59025,"Richmond Centre/Richmond-Centre"," 68","Richmond",9,21,34,92,0,156,170
59025,"Richmond Centre/Richmond-Centre"," 69","Richmond",Merged with No./Fusionné avec le n°61,,,,,,2
59025,"Richmond Centre/Richmond-Centre"," 70","Richmond",0,12,43,47,3,105,359
59025,"Richmond Centre/Richmond-Centre"," 71","Richmond",6,11,50,57,0,124,430
59025,"Richmond Centre/Richmond-Centre"," 72","Richmond",3,5,37,37,0,82,346
59025,"Richmond Centre/Richmond-Centre"," 73","Richmond",6,11,83,70,0,170,615
59025,"Richmond Centre/Richmond-Centre"," 74","Richmond",12,23,99,108,2,244,429
59025,"Richmond Centre/Richmond-Centre"," 75","Richmond",4,15,88,77,1,185,370
59025,"Richmond Centre/Richmond-Centre"," 76","Richmond",5,17,113,87,0,222,447
59025,"Richmond Centre/Richmond-Centre"," 77","Richmond",2,13,74,56,0,145,365
59025,"Richmond Centre/Richmond-Centre"," 78","Richmond",7,14,118,70,4,213,431
59025,"Richmond Centre/Richmond-Centre"," 79","Richmond",10,20,77,74,0,181,415
59025,"Richmond Centre/Richmond-Centre"," 80","Richmond",2,21,43,77,0,143,379
59025,"Richmond Centre/Richmond-Centre"," 81","Richmond",0,3,20,37,1,61,251
59025,"Richmond Centre/Richmond-Centre"," 82","Richmond",3,2,35,27,0,67,260
59025,"Richmond Centre/Richmond-Centre"," 83","Richmond",4,4,64,55,0,127,536
59025,"Richmond Centre/Richmond-Centre"," 84","Richmond",6,31,79,66,1,183,583
59025,"Richmond Centre/Richmond-Centre"," 85","Richmond",2,16,64,71,1,154,442
59025,"Richmond Centre/Richmond-Centre"," 86","Richmond",2,7,28,33,1,71,285
59025,"Richmond Centre/Richmond-Centre"," 87","Richmond",3,10,51,40,0,104,342
59025,"Richmond Centre/Richmond-Centre"," 88","Richmond",1,11,47,65,1,125,437
59025,"Richmond Centre/Richmond-Centre"," 89","Richmond",7,13,42,65,0,127,404
59025,"Richmond Centre/Richmond-Centre"," 90","Richmond",12,26,46,89,3,176,570
59025,"Richmond Centre/Richmond-Centre"," 91","Richmond",8,28,56,68,2,162,507
59025,"Richmond Centre/Richmond-Centre"," 92","Richmond",2,21,127,142,2,294,820
59025,"Richmond Centre/Richmond-Centre"," 93","Richmond",2,12,72,77,3,166,482
59025,"Richmond Centre/Richmond-Centre"," 94","Richmond",6,20,103,78,1,208,525
59025,"Richmond Centre/Richmond-Centre"," 95","Richmond",1,8,95,41,2,147,463
59025,"Richmond Centre/Richmond-Centre"," 96A","Richmond",8,34,105,93,2,242,568
59025,"Richmond Centre/Richmond-Centre"," 96B","Richmond",14,19,85,77,0,195,442
59025,"Richmond Centre/Richmond-Centre"," 97","Richmond",6,18,87,91,2,204,286
59025,"Richmond Centre/Richmond-Centre"," 98","Richmond",0,9,71,46,0,126,323
59025,"Richmond Centre/Richmond-Centre"," 99","Richmond",1,13,90,72,0,176,435
59025,"Richmond Centre/Richmond-Centre"," 100","Richmond",16,63,140,175,5,399,804
59025,"Richmond Centre/Richmond-Centre"," 101","Richmond",5,23,87,78,4,197,414
59025,"Richmond Centre/Richmond-Centre"," 102","Richmond",7,21,73,79,3,183,410
59025,"Richmond Centre/Richmond-Centre"," 103","Richmond",6,12,26,27,0,71,147
59025,"Richmond Centre/Richmond-Centre"," 104","Richmond",4,10,84,63,2,163,493
59025,"Richmond Centre/Richmond-Centre"," 105","Richmond",5,29,63,62,1,160,387
59025,"Richmond Centre/Richmond-Centre"," 106","Richmond",3,19,87,71,1,181,503
59025,"Richmond Centre/Richmond-Centre"," 107","Richmond",4,23,99,73,1,200,419
59025,"Richmond Centre/Richmond-Centre"," 108","Richmond",11,32,128,85,2,258,570
59025,"Richmond Centre/Richmond-Centre"," 109","Richmond",7,29,67,54,0,157,319
59025,"Richmond Centre/Richmond-Centre"," 110","Richmond",5,21,95,69,1,191,362
59025,"Richmond Centre/Richmond-Centre"," 111","Richmond",5,16,76,93,0,190,477
59025,"Richmond Centre/Richmond-Centre"," 112","Richmond",7,15,53,63,0,138,336
59025,"Richmond Centre/Richmond-Centre"," 113","Richmond",10,19,71,77,0,177,397
59025,"Richmond Centre/Richmond-Centre"," 114","Richmond",13,20,59,78,0,170,313
59025,"Richmond Centre/Richmond-Centre"," 115","Richmond",8,18,98,40,2,166,321
59025,"Richmond Centre/Richmond-Centre"," 116","Richmond",6,19,114,81,3,223,485
59025,"Richmond Centre/Richmond-Centre"," 117","Richmond",6,34,141,119,6,306,575
59025,"Richmond Centre/Richmond-Centre"," 118","Richmond",12,32,138,103,1,286,677
59025,"Richmond Centre/Richmond-Centre"," 119","Richmond",18,41,110,138,1,308,574
59025,"Richmond Centre/Richmond-Centre"," 120","Richmond",8,25,44,61,0,138,328
59025,"Richmond Centre/Richmond-Centre"," 121","Richmond",9,45,81,94,0,229,453
59025,"Richmond Centre/Richmond-Centre"," 122","Richmond",6,25,103,78,0,212,430
59025,"Richmond Centre/Richmond-Centre"," 123","Richmond",5,12,85,60,1,163,342
59025,"Richmond Centre/Richmond-Centre"," 124","Richmond",2,34,111,73,3,223,478
59025,"Richmond Centre/Richmond-Centre"," 125","Richmond",2,11,70,50,3,136,338
59025,"Richmond Centre/Richmond-Centre"," 126","Richmond",3,20,102,74,2,201,391
59025,"Richmond Centre/Richmond-Centre"," 127","Richmond",1,34,40,68,1,144,323
59025,"Richmond Centre/Richmond-Centre"," 128","Richmond",4,7,109,75,0,195,400
59025,"Richmond Centre/Richmond-Centre"," 129","Richmond",4,27,99,101,0,231,481
59025,"Richmond Centre/Richmond-Centre"," 130","Richmond",3,9,93,73,1,179,437
59025,"Richmond Centre/Richmond-Centre"," 131","Richmond",3,12,103,77,0,195,553
59025,"Richmond Centre/Richmond-Centre"," 132","Richmond",5,6,60,47,0,118,374
59025,"Richmond Centre/Richmond-Centre"," 133","Richmond",6,14,117,63,2,202,574
59025,"Richmond Centre/Richmond-Centre"," 134","Richmond",6,15,71,63,0,155,417
59025,"Richmond Centre/Richmond-Centre"," 135","Richmond",8,29,81,105,2,225,543
59025,"Richmond Centre/Richmond-Centre"," 136","Richmond",2,13,90,68,1,174,453
59025,"Richmond Centre/Richmond-Centre"," 137","Richmond",3,6,60,66,1,136,329
59025,"Richmond Centre/Richmond-Centre"," 138","Richmond",1,9,66,50,0,126,343
59025,"Richmond Centre/Richmond-Centre"," 139","Richmond",4,22,103,89,0,218,472
59025,"Richmond Centre/Richmond-Centre"," 140","Richmond",3,21,99,103,1,227,446
59025,"Richmond Centre/Richmond-Centre"," 141","Richmond",3,15,64,70,1,153,282
59025,"Richmond Centre/Richmond-Centre"," 142","Richmond",4,19,94,62,1,180,408
59025,"Richmond Centre/Richmond-Centre"," 143","Richmond",7,33,106,100,1,247,572
59025,"Richmond Centre/Richmond-Centre"," 144","Richmond",7,12,79,68,0,166,366
59025,"Richmond Centre/Richmond-Centre"," 145","Richmond",4,28,121,126,1,280,535
59025,"Richmond Centre/Richmond-Centre"," 146","Richmond",4,34,91,66,1,196,472
59025,"Richmond Centre/Richmond-Centre"," 147","Richmond",1,14,118,75,1,209,386
59025,"Richmond Centre/Richmond-Centre"," 148","Richmond",3,10,86,55,2,156,306
59025,"Richmond Centre/Richmond-Centre"," 149","Richmond",6,32,99,94,1,232,440
59025,"Richmond Centre/Richmond-Centre"," 150","Richmond",2,27,129,116,0,274,488
59025,"Richmond Centre/Richmond-Centre"," 151","Richmond",5,25,89,63,0,182,309
59025,"Richmond Centre/Richmond-Centre"," 152","Richmond",11,28,90,67,2,198,326
59025,"Richmond Centre/Richmond-Centre"," 153","Richmond",8,34,125,107,0,274,497
59025,"Richmond Centre/Richmond-Centre"," 154","Richmond",5,17,102,92,0,216,441
59025,"Richmond Centre/Richmond-Centre"," 155","Richmond",6,16,105,100,1,228,491
59025,"Richmond Centre/Richmond-Centre"," 156","Richmond",11,30,119,126,0,286,582
59025,"Richmond Centre/Richmond-Centre"," 157","Richmond",7,12,116,108,4,247,486
59025,"Richmond Centre/Richmond-Centre"," 158","Richmond",4,28,105,62,0,199,400
59025,"Richmond Centre/Richmond-Centre"," 159","Richmond",6,26,59,79,0,170,310
59025,"Richmond Centre/Richmond-Centre"," 400","Richmond",Merged with No./Fusionné avec le n°402,,,,,,44
59025,"Richmond Centre/Richmond-Centre"," 401","Richmond",Merged with No./Fusionné avec le n°402,,,,,,42
59025,"Richmond Centre/Richmond-Centre"," 402","Richmond",1,2,45,20,0,68,69
59025,"Richmond Centre/Richmond-Centre"," 403","Richmond",Merged with No./Fusionné avec le n°63,,,,,,47
59025,"Richmond Centre/Richmond-Centre"," 404","Richmond",Merged with No./Fusionné avec le n°68,,,,,,113
59025,"Richmond Centre/Richmond-Centre"," 405","Richmond",Merged with No./Fusionné avec le n°68,,,,,,104
59025,"Richmond Centre/Richmond-Centre"," 406","Richmond",Void/Supprimé,,,,,,
59025,"Richmond Centre/Richmond-Centre"," 407","Richmond",Merged with No./Fusionné avec le n°97,,,,,,49
59025,"Richmond Centre/Richmond-Centre"," 408","Richmond",Merged with No./Fusionné avec le n°97,,,,,,105
59025,"Richmond Centre/Richmond-Centre"," 409","Richmond",Merged with No./Fusionné avec le n°413,,,,,,120
59025,"Richmond Centre/Richmond-Centre"," 410","Richmond",Merged with No./Fusionné avec le n°103,,,,,,59
59025,"Richmond Centre/Richmond-Centre"," 411","Richmond",Void/Supprimé,,,,,,
59025,"Richmond Centre/Richmond-Centre"," 412","Richmond",Merged with No./Fusionné avec le n°413,,,,,,81
59025,"Richmond Centre/Richmond-Centre"," 413","Richmond",3,11,62,86,1,163,257
59025,"Richmond Centre/Richmond-Centre"," 500","Mobile poll/Bureau itinérant",1,10,69,32,0,112,420
59025,"Richmond Centre/Richmond-Centre"," 501","Mobile poll/Bureau itinérant",3,16,66,26,2,113,197
59025,"Richmond Centre/Richmond-Centre"," 502","Mobile poll/Bureau itinérant",8,14,59,40,3,124,286
59025,"Richmond Centre/Richmond-Centre"," 600","Richmond",18,46,269,273,1,607,
59025,"Richmond Centre/Richmond-Centre"," 601","Richmond",26,93,436,364,4,923,
59025,"Richmond Centre/Richmond-Centre"," 602","Richmond",13,60,346,254,4,677,
59025,"Richmond Centre/Richmond-Centre"," 603","Richmond",23,72,318,212,3,628,
59025,"Richmond Centre/Richmond-Centre"," 604","Richmond",16,63,283,245,1,608,
59025,"Richmond Centre/Richmond-Centre"," 605","Richmond",12,69,296,175,1,553,
59025,"Richmond Centre/Richmond-Centre"," 606","Richmond",15,72,331,211,3,632,
59025,"Richmond Centre/Richmond-Centre"," 607","Richmond",8,81,256,204,0,549,
59025,"Richmond Centre/Richmond-Centre"," 608","Richmond",9,86,267,236,2,600,
59025,"Richmond Centre/Richmond-Centre"," 609","Richmond",9,75,330,226,1,641,
59025,"Richmond Centre/Richmond-Centre"," 610","Richmond",15,59,292,211,3,580,
59025,"Richmond Centre/Richmond-Centre",,"Group 1/Groupe 1",6,9,19,38,2,74,65
59025,"Richmond Centre/Richmond-Centre",,"Group 2/Groupe 2",31,182,490,509,43,1255,
