Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jocelyn Beaudoin,Pierre Breton,Sylvie Fontaine,Claire Mailhot,Simon McMillan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 84","Granby",36,68,23,36,3,4,170,377
24072,"Shefford/Shefford"," 85","Granby",39,76,17,37,6,4,179,409
24072,"Shefford/Shefford"," 86","Granby",45,54,18,38,7,3,165,374
24072,"Shefford/Shefford"," 87","Granby",36,101,26,35,3,3,204,466
24072,"Shefford/Shefford"," 88","Granby",29,73,23,36,1,3,165,437
24072,"Shefford/Shefford"," 89","Granby",34,62,18,19,3,2,138,337
24072,"Shefford/Shefford"," 90","Granby",45,82,16,43,8,7,201,421
24072,"Shefford/Shefford"," 91A","Granby",38,80,13,35,3,13,182,432
24072,"Shefford/Shefford"," 91B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°107C,,,,,,,10
24072,"Shefford/Shefford"," 92A","Granby",35,73,22,34,4,4,172,415
24072,"Shefford/Shefford"," 92B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°107C,,,,,,,45
24072,"Shefford/Shefford"," 92C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°107C,,,,,,,30
24072,"Shefford/Shefford"," 93","Granby",47,70,20,43,6,7,193,435
24072,"Shefford/Shefford"," 94","Granby",48,63,14,21,9,5,160,409
24072,"Shefford/Shefford"," 95","Granby",66,72,19,48,8,9,222,407
24072,"Shefford/Shefford"," 96","Granby",39,63,20,32,3,2,159,380
24072,"Shefford/Shefford"," 97","Granby",47,72,17,42,3,5,186,436
24072,"Shefford/Shefford"," 98","Granby",57,84,13,37,1,5,197,439
24072,"Shefford/Shefford"," 99","Granby",39,47,17,32,2,2,139,419
24072,"Shefford/Shefford"," 100","Granby",50,97,26,30,5,5,213,399
24072,"Shefford/Shefford"," 101","Granby",45,91,21,47,8,4,216,413
24072,"Shefford/Shefford"," 102","Granby",45,68,10,31,4,0,158,410
24072,"Shefford/Shefford"," 103","Granby",40,95,18,42,1,7,203,415
24072,"Shefford/Shefford"," 104","Granby",45,101,20,66,8,1,241,437
24072,"Shefford/Shefford"," 105","Granby",45,93,14,39,10,1,202,444
24072,"Shefford/Shefford"," 106","Granby",31,55,11,23,8,2,130,413
24072,"Shefford/Shefford"," 107A","Shefford",52,49,9,36,5,7,158,291
24072,"Shefford/Shefford"," 107B","Shefford",42,47,12,32,3,2,138,252
24072,"Shefford/Shefford"," 107C","Mobile poll/Bureau itinérant",25,85,3,10,2,1,126,114
24072,"Shefford/Shefford"," 108A","Granby",22,58,9,27,4,4,124,280
24072,"Shefford/Shefford"," 108B","Granby",26,42,10,21,1,2,102,252
24072,"Shefford/Shefford"," 109A","Granby",32,43,17,41,3,6,142,292
24072,"Shefford/Shefford"," 109B","Granby",41,63,12,32,3,1,152,319
24072,"Shefford/Shefford"," 110","Granby",60,92,34,41,4,4,235,442
24072,"Shefford/Shefford"," 111","Granby",43,77,11,42,1,4,178,375
24072,"Shefford/Shefford"," 112","Granby",36,73,11,33,5,2,160,295
24072,"Shefford/Shefford"," 113","Granby",43,115,20,44,3,3,228,456
24072,"Shefford/Shefford"," 114","Granby",40,89,19,49,12,1,210,453
24072,"Shefford/Shefford"," 115A","Granby",35,51,8,32,3,0,129,275
24072,"Shefford/Shefford"," 115B","Granby",22,56,14,30,3,2,127,247
24072,"Shefford/Shefford"," 116","Granby",34,162,24,63,12,2,297,489
24072,"Shefford/Shefford"," 117A","Granby",31,60,21,45,0,2,159,286
24072,"Shefford/Shefford"," 117B","Granby",25,93,10,38,5,3,174,295
24072,"Shefford/Shefford"," 118","Granby",39,110,32,63,7,7,258,432
24072,"Shefford/Shefford"," 119","Granby",41,85,16,43,4,2,191,380
24072,"Shefford/Shefford"," 120","Granby",40,56,14,39,7,2,158,317
24072,"Shefford/Shefford"," 121","Shefford",50,75,28,55,4,8,220,386
24072,"Shefford/Shefford"," 122","Shefford",56,90,29,47,6,5,233,396
24072,"Shefford/Shefford"," 123","Shefford",58,73,31,61,7,3,233,451
24072,"Shefford/Shefford"," 124","Granby",57,70,35,58,5,4,229,406
24072,"Shefford/Shefford"," 125","Granby",38,99,21,53,9,4,224,435
24072,"Shefford/Shefford"," 126","Granby",52,97,23,58,8,4,242,380
24072,"Shefford/Shefford"," 127","Granby",40,77,32,47,7,1,204,441
24072,"Shefford/Shefford"," 128A","Granby",31,51,12,30,3,3,130,252
24072,"Shefford/Shefford"," 128B","Granby",40,40,10,20,8,3,121,245
24072,"Shefford/Shefford"," 129","Granby",51,82,21,50,0,1,205,383
24072,"Shefford/Shefford"," 130","Warden",25,89,39,41,6,2,202,351
24072,"Shefford/Shefford"," 131","Shefford",15,39,8,29,5,3,99,294
24072,"Shefford/Shefford"," 132","Shefford",21,68,15,13,2,4,123,322
24072,"Shefford/Shefford"," 133","Waterloo",18,68,10,21,1,1,119,307
24072,"Shefford/Shefford"," 134","Waterloo",39,80,18,64,4,5,210,405
24072,"Shefford/Shefford"," 135","Shefford",39,64,23,57,7,2,192,371
24072,"Shefford/Shefford"," 136","Shefford",33,34,23,32,5,4,131,272
24072,"Shefford/Shefford"," 137","Shefford",54,46,18,38,9,2,167,381
24072,"Shefford/Shefford"," 138","Shefford",49,90,16,62,9,5,231,403
24072,"Shefford/Shefford"," 139","Shefford",47,57,13,34,6,3,160,322
24072,"Shefford/Shefford"," 140","Shefford",38,108,39,69,6,2,262,438
24072,"Shefford/Shefford"," 141","Shefford",43,92,25,46,3,2,211,385
24072,"Shefford/Shefford"," 142","Waterloo",27,83,18,32,3,0,163,390
24072,"Shefford/Shefford"," 143","Waterloo",24,45,16,36,1,1,123,293
24072,"Shefford/Shefford"," 144","Waterloo",21,53,11,22,5,3,115,308
24072,"Shefford/Shefford"," 145","Shefford",30,77,21,29,7,1,165,329
24072,"Shefford/Shefford"," 146","Waterloo",25,69,23,21,5,2,145,312
24072,"Shefford/Shefford"," 147","Shefford",19,71,17,19,2,1,129,306
24072,"Shefford/Shefford"," 148","Shefford",30,51,17,27,3,3,131,327
24072,"Shefford/Shefford"," 149","Waterloo",20,64,17,30,4,3,138,301
24072,"Shefford/Shefford"," 150","Waterloo",44,58,22,38,4,4,170,299
24072,"Shefford/Shefford"," 151","Granby",43,61,9,26,9,3,151,416
24072,"Shefford/Shefford"," 152","Granby",29,36,5,13,4,4,91,376
24072,"Shefford/Shefford"," 153","Granby",32,62,11,37,13,5,160,389
24072,"Shefford/Shefford"," 154","Granby",27,65,14,31,8,4,149,373
24072,"Shefford/Shefford"," 155","Granby",29,47,20,41,4,6,147,384
24072,"Shefford/Shefford"," 156","Granby",49,51,17,30,9,2,158,360
24072,"Shefford/Shefford"," 157","Granby",35,62,14,21,5,4,141,397
24072,"Shefford/Shefford"," 158","Granby",43,63,11,19,7,7,150,382
24072,"Shefford/Shefford"," 159","Granby",50,54,23,37,7,4,175,428
24072,"Shefford/Shefford"," 160","Granby",39,58,13,42,6,6,164,407
24072,"Shefford/Shefford"," 161","Granby",43,75,25,40,2,1,186,401
24072,"Shefford/Shefford"," 162","Granby",54,47,8,32,3,5,149,360
24072,"Shefford/Shefford"," 163","Granby",57,66,29,31,7,12,202,406
24072,"Shefford/Shefford"," 164","Saint-Paul-d'Abbotsford",33,53,27,38,5,3,159,326
24072,"Shefford/Shefford"," 165","Saint-Paul-d'Abbotsford",51,64,20,37,3,3,178,332
24072,"Shefford/Shefford"," 166","Granby",54,64,22,49,1,6,196,352
24072,"Shefford/Shefford"," 167","Granby",40,68,36,44,5,2,195,357
24072,"Shefford/Shefford"," 168","Granby",31,93,25,63,6,7,225,361
24072,"Shefford/Shefford"," 169","Granby",39,64,16,50,2,2,173,358
24072,"Shefford/Shefford"," 170A","Saint-Paul-d'Abbotsford",38,46,14,20,4,4,126,266
24072,"Shefford/Shefford"," 170B","Saint-Paul-d'Abbotsford",23,59,23,36,2,3,146,256
24072,"Shefford/Shefford"," 171","Saint-Paul-d'Abbotsford",47,74,22,59,5,9,216,405
24072,"Shefford/Shefford"," 172","Saint-Paul-d'Abbotsford",51,94,24,52,5,2,228,416
24072,"Shefford/Shefford"," 173A","Ange-Gardien",18,20,10,8,0,1,57,108
24072,"Shefford/Shefford"," 173B","Ange-Gardien",29,41,26,58,1,7,162,293
24072,"Shefford/Shefford"," 174","Saint-Césaire",52,59,40,73,6,10,240,422
24072,"Shefford/Shefford"," 175","Saint-Césaire",46,43,20,37,8,4,158,366
24072,"Shefford/Shefford"," 176","Saint-Césaire",74,88,22,45,6,7,242,484
24072,"Shefford/Shefford"," 177A","Saint-Césaire",64,39,10,36,3,10,162,413
24072,"Shefford/Shefford"," 177B","Mobile poll/Bureau itinérant",10,33,8,2,1,3,57,72
24072,"Shefford/Shefford"," 178","Saint-Césaire",60,74,23,47,7,0,211,436
24072,"Shefford/Shefford"," 179","Saint-Césaire",44,48,23,54,3,3,175,418
24072,"Shefford/Shefford"," 180A","Saint-Césaire",30,33,20,36,5,4,128,281
24072,"Shefford/Shefford"," 180B","Saint-Césaire",38,43,17,40,4,6,148,273
24072,"Shefford/Shefford"," 181","Saint-Césaire",58,85,17,46,4,4,214,431
24072,"Shefford/Shefford"," 182A","Saint-Césaire",38,42,22,30,2,2,136,311
24072,"Shefford/Shefford"," 182B","Saint-Césaire",40,42,16,26,5,3,132,330
24072,"Shefford/Shefford"," 183","Saint-Césaire",49,62,22,42,5,3,183,388
24072,"Shefford/Shefford"," 184","Rougemont",42,59,15,38,4,4,162,269
24072,"Shefford/Shefford"," 185","Rougemont",55,52,12,52,6,1,178,341
24072,"Shefford/Shefford"," 186","Rougemont",59,55,24,54,6,4,202,339
24072,"Shefford/Shefford"," 187","Rougemont",52,56,26,36,2,2,174,296
24072,"Shefford/Shefford"," 188","Rougemont",38,55,34,28,7,4,166,323
24072,"Shefford/Shefford"," 189","Rougemont",35,51,12,26,3,4,131,349
24072,"Shefford/Shefford"," 190","Rougemont",43,49,16,34,5,11,158,303
24072,"Shefford/Shefford"," 191","Sainte-Angèle-de-Monnoir",53,60,29,56,3,1,202,330
24072,"Shefford/Shefford"," 192","Sainte-Angèle-de-Monnoir",105,70,33,81,11,8,308,427
24072,"Shefford/Shefford"," 193","Sainte-Angèle-de-Monnoir",70,60,17,49,12,5,213,333
24072,"Shefford/Shefford"," 194","Sainte-Angèle-de-Monnoir",65,47,27,60,7,9,215,320
24072,"Shefford/Shefford"," 195A","Ange-Gardien",28,53,10,28,2,3,124,221
24072,"Shefford/Shefford"," 195B","Ange-Gardien",32,61,20,31,4,3,151,282
24072,"Shefford/Shefford"," 196","Ange-Gardien",50,70,20,56,10,7,213,333
24072,"Shefford/Shefford"," 197","Ange-Gardien",50,63,24,41,4,3,185,295
24072,"Shefford/Shefford"," 198","Ange-Gardien",65,87,37,59,6,4,258,394
24072,"Shefford/Shefford"," 199","Ange-Gardien",30,65,18,48,3,4,168,331
24072,"Shefford/Shefford"," 200","Saint-Alphonse",45,77,24,45,4,6,201,422
24072,"Shefford/Shefford"," 201","Saint-Alphonse",35,73,19,46,8,7,188,359
