Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janice Bélair Rolland,Fobozof A. Côté,Pierre Dionne Labelle,Rhéal Fortin,Joey Leckman,Romain Vignol,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 18","Saint-Hippolyte",38,2,32,65,5,10,3,155,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 19","Saint-Hippolyte",32,1,51,64,4,12,0,164,316
24063,"Rivière-du-Nord/Rivière-du-Nord"," 20","Saint-Hippolyte",80,0,54,69,9,10,3,225,413
24063,"Rivière-du-Nord/Rivière-du-Nord"," 21","Sainte-Sophie",35,2,35,63,6,16,3,160,323
24063,"Rivière-du-Nord/Rivière-du-Nord"," 22","Sainte-Sophie",27,1,44,65,5,12,4,158,407
24063,"Rivière-du-Nord/Rivière-du-Nord"," 23","Sainte-Sophie",54,1,67,86,8,19,4,239,510
24063,"Rivière-du-Nord/Rivière-du-Nord"," 24","Sainte-Sophie",49,1,51,109,6,17,3,236,464
24063,"Rivière-du-Nord/Rivière-du-Nord"," 25","Sainte-Sophie",54,3,57,88,2,14,5,223,434
24063,"Rivière-du-Nord/Rivière-du-Nord"," 26","Sainte-Sophie",56,1,31,44,3,5,3,143,290
24063,"Rivière-du-Nord/Rivière-du-Nord"," 27","Sainte-Sophie",40,0,40,70,5,9,6,170,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 28","Sainte-Sophie",31,0,48,78,5,9,8,179,365
24063,"Rivière-du-Nord/Rivière-du-Nord"," 29","Sainte-Sophie",30,2,44,51,4,14,3,148,318
24063,"Rivière-du-Nord/Rivière-du-Nord"," 30","Sainte-Sophie",47,1,56,76,6,12,2,200,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 31","Sainte-Sophie",38,0,40,55,3,10,3,149,298
24063,"Rivière-du-Nord/Rivière-du-Nord"," 32","Sainte-Sophie",34,0,37,50,4,5,5,135,288
24063,"Rivière-du-Nord/Rivière-du-Nord"," 33","Sainte-Sophie",36,0,47,58,2,8,4,155,308
24063,"Rivière-du-Nord/Rivière-du-Nord"," 34","Sainte-Sophie",35,0,56,73,7,15,1,187,319
24063,"Rivière-du-Nord/Rivière-du-Nord"," 35","Sainte-Sophie",50,1,49,86,10,13,6,215,487
24063,"Rivière-du-Nord/Rivière-du-Nord"," 36","Sainte-Sophie",45,2,37,48,3,15,3,153,348
24063,"Rivière-du-Nord/Rivière-du-Nord"," 37","Sainte-Sophie",23,0,28,43,0,6,8,108,248
24063,"Rivière-du-Nord/Rivière-du-Nord"," 38","Sainte-Sophie",59,2,65,70,5,16,6,223,453
24063,"Rivière-du-Nord/Rivière-du-Nord"," 39","Saint-Hippolyte",59,1,53,54,6,2,5,180,413
24063,"Rivière-du-Nord/Rivière-du-Nord"," 40","Prévost",73,0,47,61,5,13,3,202,400
24063,"Rivière-du-Nord/Rivière-du-Nord"," 41","Prévost",53,1,88,88,5,17,1,253,453
24063,"Rivière-du-Nord/Rivière-du-Nord"," 42","Prévost",68,1,62,56,4,14,2,207,385
24063,"Rivière-du-Nord/Rivière-du-Nord"," 43","Prévost",49,4,63,57,2,18,5,198,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 44","Prévost",76,0,92,71,4,27,4,274,503
24063,"Rivière-du-Nord/Rivière-du-Nord"," 45","Prévost",90,1,86,55,6,19,3,260,459
24063,"Rivière-du-Nord/Rivière-du-Nord"," 46","Prévost",83,1,82,70,2,28,4,270,478
24063,"Rivière-du-Nord/Rivière-du-Nord"," 47","Prévost",86,2,94,58,5,22,2,269,431
24063,"Rivière-du-Nord/Rivière-du-Nord"," 48","Prévost",94,0,86,75,0,31,8,294,535
24063,"Rivière-du-Nord/Rivière-du-Nord"," 49","Prévost",88,1,70,78,5,20,0,262,468
24063,"Rivière-du-Nord/Rivière-du-Nord"," 50","Prévost",55,1,55,72,12,9,1,205,364
24063,"Rivière-du-Nord/Rivière-du-Nord"," 51","Prévost",48,2,66,88,10,20,6,240,447
24063,"Rivière-du-Nord/Rivière-du-Nord"," 52","Prévost",64,3,62,63,2,9,3,206,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 53","Prévost",64,2,66,88,6,11,1,238,487
24063,"Rivière-du-Nord/Rivière-du-Nord"," 54","Prévost",40,1,47,33,7,14,0,142,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 55","Prévost",52,2,65,65,17,10,1,212,445
24063,"Rivière-du-Nord/Rivière-du-Nord"," 56","Prévost",58,1,62,47,4,22,0,194,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 57","Prévost",63,1,67,59,9,6,4,209,390
24063,"Rivière-du-Nord/Rivière-du-Nord"," 58","Prévost",69,1,57,65,5,18,0,215,392
24063,"Rivière-du-Nord/Rivière-du-Nord"," 59","Saint-Jérôme",44,2,47,60,2,34,2,191,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 60","Saint-Jérôme",46,1,51,67,2,15,6,188,353
24063,"Rivière-du-Nord/Rivière-du-Nord"," 61","Saint-Jérôme",55,0,74,76,7,19,2,233,475
24063,"Rivière-du-Nord/Rivière-du-Nord"," 62","Saint-Jérôme",48,0,57,68,3,17,3,196,444
24063,"Rivière-du-Nord/Rivière-du-Nord"," 63","Saint-Jérôme",53,2,45,61,4,16,5,186,475
24063,"Rivière-du-Nord/Rivière-du-Nord"," 64","Prévost",67,2,59,114,10,23,3,278,468
24063,"Rivière-du-Nord/Rivière-du-Nord"," 65","Prévost",78,2,77,85,14,13,2,271,424
24063,"Rivière-du-Nord/Rivière-du-Nord"," 66","Prévost",50,3,63,65,6,32,7,226,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 67","Prévost",72,0,63,67,9,16,9,236,437
24063,"Rivière-du-Nord/Rivière-du-Nord"," 68","Saint-Jérôme",46,0,67,57,1,18,5,194,411
24063,"Rivière-du-Nord/Rivière-du-Nord"," 69","Saint-Jérôme",65,1,48,65,4,17,0,200,437
24063,"Rivière-du-Nord/Rivière-du-Nord"," 70","Saint-Jérôme",43,0,48,32,3,15,5,146,380
24063,"Rivière-du-Nord/Rivière-du-Nord"," 71","Saint-Jérôme",46,0,37,64,6,22,5,180,376
24063,"Rivière-du-Nord/Rivière-du-Nord"," 72","Saint-Jérôme",65,2,74,70,10,14,0,235,478
24063,"Rivière-du-Nord/Rivière-du-Nord"," 73","Saint-Jérôme",47,1,57,55,9,14,0,183,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 74A","Saint-Jérôme",44,1,60,71,6,17,0,199,361
24063,"Rivière-du-Nord/Rivière-du-Nord"," 74B","Saint-Jérôme",32,0,53,63,2,9,2,161,344
24063,"Rivière-du-Nord/Rivière-du-Nord"," 75","Saint-Jérôme",42,1,42,64,3,13,0,165,310
24063,"Rivière-du-Nord/Rivière-du-Nord"," 76","Saint-Jérôme",37,0,40,78,3,17,0,175,402
24063,"Rivière-du-Nord/Rivière-du-Nord"," 77","Saint-Jérôme",40,2,34,55,3,17,5,156,365
24063,"Rivière-du-Nord/Rivière-du-Nord"," 78","Saint-Jérôme",33,2,37,73,1,7,5,158,375
24063,"Rivière-du-Nord/Rivière-du-Nord"," 79","Saint-Jérôme",64,1,39,61,7,16,3,191,427
24063,"Rivière-du-Nord/Rivière-du-Nord"," 80","Saint-Jérôme",39,1,31,35,0,14,4,124,306
24063,"Rivière-du-Nord/Rivière-du-Nord"," 81","Saint-Jérôme",63,1,70,53,7,17,4,215,528
24063,"Rivière-du-Nord/Rivière-du-Nord"," 82","Saint-Jérôme",57,1,72,49,1,7,6,193,456
24063,"Rivière-du-Nord/Rivière-du-Nord"," 83","Saint-Jérôme",51,1,51,37,2,14,7,163,439
24063,"Rivière-du-Nord/Rivière-du-Nord"," 84","Saint-Jérôme",87,0,69,83,3,44,2,288,515
24063,"Rivière-du-Nord/Rivière-du-Nord"," 85","Saint-Jérôme",41,0,24,44,5,8,1,123,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 86","Saint-Jérôme",93,0,81,93,9,32,4,312,591
24063,"Rivière-du-Nord/Rivière-du-Nord"," 87","Saint-Jérôme",75,0,88,81,6,19,5,274,527
24063,"Rivière-du-Nord/Rivière-du-Nord"," 88","Saint-Jérôme",48,1,47,67,4,10,2,179,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 89","Saint-Jérôme",55,4,70,60,2,18,6,215,366
24063,"Rivière-du-Nord/Rivière-du-Nord"," 90","Saint-Jérôme",38,1,36,51,5,13,1,145,377
24063,"Rivière-du-Nord/Rivière-du-Nord"," 91","Saint-Jérôme",32,0,24,45,3,6,6,116,368
24063,"Rivière-du-Nord/Rivière-du-Nord"," 92","Saint-Jérôme",55,2,26,34,0,10,3,130,376
24063,"Rivière-du-Nord/Rivière-du-Nord"," 93","Saint-Jérôme",56,4,29,54,4,13,4,164,464
24063,"Rivière-du-Nord/Rivière-du-Nord"," 94","Saint-Jérôme",32,0,43,60,3,24,3,165,308
24063,"Rivière-du-Nord/Rivière-du-Nord"," 95","Saint-Jérôme",46,2,71,52,5,17,6,199,480
24063,"Rivière-du-Nord/Rivière-du-Nord"," 96","Saint-Jérôme",32,0,45,48,4,10,2,141,362
24063,"Rivière-du-Nord/Rivière-du-Nord"," 97","Saint-Jérôme",28,1,31,45,2,11,3,121,305
24063,"Rivière-du-Nord/Rivière-du-Nord"," 98A","Saint-Jérôme",23,0,53,58,5,7,7,153,299
24063,"Rivière-du-Nord/Rivière-du-Nord"," 98B","Saint-Jérôme",27,1,56,45,7,8,2,146,306
24063,"Rivière-du-Nord/Rivière-du-Nord"," 99","Saint-Jérôme",54,3,62,87,6,8,4,224,411
24063,"Rivière-du-Nord/Rivière-du-Nord"," 100","Saint-Jérôme",36,0,41,39,4,4,2,126,312
24063,"Rivière-du-Nord/Rivière-du-Nord"," 101","Saint-Jérôme",34,1,27,38,3,10,0,113,321
24063,"Rivière-du-Nord/Rivière-du-Nord"," 102","Saint-Jérôme",33,3,28,60,2,7,3,136,351
24063,"Rivière-du-Nord/Rivière-du-Nord"," 103","Saint-Jérôme",40,1,31,36,0,11,3,122,391
24063,"Rivière-du-Nord/Rivière-du-Nord"," 104","Sainte-Sophie",41,1,41,72,2,23,3,183,414
24063,"Rivière-du-Nord/Rivière-du-Nord"," 105","Sainte-Sophie",50,0,52,85,4,20,8,219,503
24063,"Rivière-du-Nord/Rivière-du-Nord"," 106","Sainte-Sophie",45,0,37,80,6,14,1,183,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 107","Sainte-Sophie",32,0,57,91,7,11,5,203,406
24063,"Rivière-du-Nord/Rivière-du-Nord"," 108","Sainte-Sophie",24,0,35,50,4,9,2,124,255
24063,"Rivière-du-Nord/Rivière-du-Nord"," 109","Sainte-Sophie",50,0,51,75,3,18,0,197,461
24063,"Rivière-du-Nord/Rivière-du-Nord"," 110","Sainte-Sophie",36,0,50,78,0,10,4,178,348
24063,"Rivière-du-Nord/Rivière-du-Nord"," 111","Sainte-Sophie",30,2,31,51,3,11,4,132,318
24063,"Rivière-du-Nord/Rivière-du-Nord"," 112","Sainte-Sophie",23,0,32,54,5,12,4,130,279
24063,"Rivière-du-Nord/Rivière-du-Nord"," 113","Sainte-Sophie",30,1,53,53,6,8,7,158,294
24063,"Rivière-du-Nord/Rivière-du-Nord"," 114","Sainte-Sophie",57,2,46,64,9,13,7,198,393
24063,"Rivière-du-Nord/Rivière-du-Nord"," 115","Sainte-Sophie",31,1,28,41,1,7,2,111,244
24063,"Rivière-du-Nord/Rivière-du-Nord"," 116","Sainte-Sophie",24,0,35,48,1,10,0,118,270
24063,"Rivière-du-Nord/Rivière-du-Nord"," 117","Sainte-Sophie",44,0,33,44,3,18,6,148,365
24063,"Rivière-du-Nord/Rivière-du-Nord"," 118","Sainte-Sophie",41,0,55,55,4,13,4,172,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 119","Saint-Jérôme",37,0,50,74,4,14,4,183,418
24063,"Rivière-du-Nord/Rivière-du-Nord"," 120","Saint-Jérôme",38,0,61,47,5,12,1,164,354
24063,"Rivière-du-Nord/Rivière-du-Nord"," 121","Saint-Jérôme",39,1,33,64,2,7,6,152,379
24063,"Rivière-du-Nord/Rivière-du-Nord"," 122","Saint-Jérôme",38,0,35,36,1,9,1,120,370
24063,"Rivière-du-Nord/Rivière-du-Nord"," 123","Saint-Jérôme",44,2,41,43,2,11,6,149,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 124","Saint-Jérôme",39,0,52,51,4,7,1,154,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 125","Saint-Jérôme",35,0,44,56,3,8,0,146,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 126","Saint-Jérôme",87,0,48,78,6,23,9,251,442
24063,"Rivière-du-Nord/Rivière-du-Nord"," 127","Saint-Jérôme",40,2,43,30,2,14,4,135,341
24063,"Rivière-du-Nord/Rivière-du-Nord"," 128","Saint-Jérôme",78,0,66,55,6,11,4,220,519
24063,"Rivière-du-Nord/Rivière-du-Nord"," 129","Saint-Jérôme",77,0,46,57,2,11,4,197,469
24063,"Rivière-du-Nord/Rivière-du-Nord"," 130","Saint-Jérôme",62,0,54,57,5,16,9,203,438
24063,"Rivière-du-Nord/Rivière-du-Nord"," 131","Saint-Jérôme",54,1,73,57,4,13,5,207,466
24063,"Rivière-du-Nord/Rivière-du-Nord"," 132","Saint-Jérôme",39,0,61,51,6,25,6,188,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 133","Saint-Jérôme",41,0,50,56,5,13,8,173,425
24063,"Rivière-du-Nord/Rivière-du-Nord"," 134","Saint-Jérôme",62,2,65,69,5,16,2,221,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 135","Saint-Jérôme",45,2,36,55,5,6,8,157,400
24063,"Rivière-du-Nord/Rivière-du-Nord"," 136","Saint-Jérôme",54,1,54,58,6,15,4,192,443
24063,"Rivière-du-Nord/Rivière-du-Nord"," 137","Saint-Jérôme",50,0,55,85,11,18,5,224,576
24063,"Rivière-du-Nord/Rivière-du-Nord"," 138","Saint-Jérôme",46,3,52,68,10,7,6,192,438
24063,"Rivière-du-Nord/Rivière-du-Nord"," 139","Saint-Jérôme",28,2,36,47,5,9,6,133,330
24063,"Rivière-du-Nord/Rivière-du-Nord"," 140","Saint-Jérôme",54,1,74,90,8,16,2,245,516
24063,"Rivière-du-Nord/Rivière-du-Nord"," 141","Saint-Jérôme",32,0,36,79,6,8,5,166,331
24063,"Rivière-du-Nord/Rivière-du-Nord"," 142","Saint-Jérôme",54,1,45,58,4,24,1,187,441
24063,"Rivière-du-Nord/Rivière-du-Nord"," 143","Saint-Jérôme",64,1,69,84,11,16,1,246,469
24063,"Rivière-du-Nord/Rivière-du-Nord"," 144","Saint-Jérôme",50,2,46,71,3,20,7,199,461
24063,"Rivière-du-Nord/Rivière-du-Nord"," 145","Saint-Jérôme",66,1,68,61,1,20,2,219,438
24063,"Rivière-du-Nord/Rivière-du-Nord"," 146","Saint-Jérôme",54,1,52,59,6,25,5,202,400
24063,"Rivière-du-Nord/Rivière-du-Nord"," 147","Saint-Jérôme",83,1,60,73,5,13,1,236,483
24063,"Rivière-du-Nord/Rivière-du-Nord"," 148","Saint-Jérôme",46,0,74,83,7,11,7,228,406
24063,"Rivière-du-Nord/Rivière-du-Nord"," 149","Saint-Jérôme",62,1,63,62,6,9,11,214,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 150","Saint-Jérôme",58,1,61,50,4,15,3,192,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 151","Saint-Jérôme",57,0,58,63,1,17,1,197,398
24063,"Rivière-du-Nord/Rivière-du-Nord"," 152","Saint-Jérôme",56,0,47,43,5,20,1,172,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 153","Saint-Jérôme",62,0,67,71,4,12,2,218,434
24063,"Rivière-du-Nord/Rivière-du-Nord"," 154","Saint-Jérôme",78,2,102,75,13,29,5,304,556
24063,"Rivière-du-Nord/Rivière-du-Nord"," 155A","Saint-Jérôme",45,1,52,54,4,22,2,180,335
24063,"Rivière-du-Nord/Rivière-du-Nord"," 155B","Saint-Jérôme",52,0,45,43,5,9,1,155,338
24063,"Rivière-du-Nord/Rivière-du-Nord"," 156","Saint-Jérôme",83,1,63,92,8,20,1,268,548
24063,"Rivière-du-Nord/Rivière-du-Nord"," 157","Saint-Jérôme",63,1,71,64,8,23,3,233,456
24063,"Rivière-du-Nord/Rivière-du-Nord"," 158","Saint-Jérôme",57,1,50,72,4,14,7,205,409
24063,"Rivière-du-Nord/Rivière-du-Nord"," 159","Saint-Jérôme",45,1,58,61,5,11,1,182,329
24063,"Rivière-du-Nord/Rivière-du-Nord"," 160","Saint-Jérôme",73,1,74,109,10,21,9,297,523
24063,"Rivière-du-Nord/Rivière-du-Nord"," 161","Saint-Jérôme",88,2,66,91,7,19,3,276,497
24063,"Rivière-du-Nord/Rivière-du-Nord"," 162","Saint-Jérôme",59,0,70,90,7,18,6,250,492
24063,"Rivière-du-Nord/Rivière-du-Nord"," 163","Saint-Jérôme",49,1,61,67,4,19,3,204,382
24063,"Rivière-du-Nord/Rivière-du-Nord"," 164","Saint-Jérôme",71,0,64,84,1,11,5,236,419
24063,"Rivière-du-Nord/Rivière-du-Nord"," 165","Saint-Jérôme",31,0,33,43,6,6,1,120,315
24063,"Rivière-du-Nord/Rivière-du-Nord"," 166","Saint-Jérôme",30,0,31,49,4,10,1,125,327
24063,"Rivière-du-Nord/Rivière-du-Nord"," 167","Saint-Jérôme",38,1,45,52,8,9,3,156,303
24063,"Rivière-du-Nord/Rivière-du-Nord"," 168","Saint-Jérôme",83,0,68,89,2,16,6,264,526
24063,"Rivière-du-Nord/Rivière-du-Nord"," 169","Saint-Jérôme",38,0,56,68,9,13,5,189,402
24063,"Rivière-du-Nord/Rivière-du-Nord"," 170","Saint-Jérôme",46,0,36,53,2,10,3,150,370
24063,"Rivière-du-Nord/Rivière-du-Nord"," 171","Saint-Jérôme",64,4,54,51,5,8,2,188,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 172","Saint-Jérôme",60,0,23,57,11,14,3,168,397
24063,"Rivière-du-Nord/Rivière-du-Nord"," 173","Saint-Jérôme",40,0,48,44,5,7,3,147,383
24063,"Rivière-du-Nord/Rivière-du-Nord"," 174A","Saint-Jérôme",40,0,39,41,1,7,5,133,389
24063,"Rivière-du-Nord/Rivière-du-Nord"," 174B","Saint-Jérôme",41,1,35,43,6,20,1,147,367
24063,"Rivière-du-Nord/Rivière-du-Nord"," 175","Saint-Jérôme",50,0,59,52,1,19,1,182,349
24063,"Rivière-du-Nord/Rivière-du-Nord"," 176","Saint-Jérôme",64,2,67,63,7,12,3,218,395
24063,"Rivière-du-Nord/Rivière-du-Nord"," 177","Saint-Jérôme",67,2,78,74,9,18,2,250,479
24063,"Rivière-du-Nord/Rivière-du-Nord"," 178","Saint-Jérôme",47,1,40,87,2,15,1,193,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 179","Saint-Jérôme",47,2,61,71,5,13,3,202,448
24063,"Rivière-du-Nord/Rivière-du-Nord"," 180","Saint-Jérôme",46,0,52,67,7,17,2,191,467
24063,"Rivière-du-Nord/Rivière-du-Nord"," 181A","Saint-Jérôme",56,1,66,56,4,10,3,196,355
24063,"Rivière-du-Nord/Rivière-du-Nord"," 181B","Saint-Jérôme",67,1,49,49,2,16,4,188,374
24063,"Rivière-du-Nord/Rivière-du-Nord"," 182","Saint-Jérôme",46,3,94,52,16,14,1,226,415
24063,"Rivière-du-Nord/Rivière-du-Nord"," 183","Saint-Jérôme",35,0,53,51,10,15,5,169,427
24063,"Rivière-du-Nord/Rivière-du-Nord"," 184","Saint-Jérôme",44,1,50,40,7,5,2,149,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 185","Saint-Jérôme",22,1,34,53,3,11,6,130,361
24063,"Rivière-du-Nord/Rivière-du-Nord"," 186","Saint-Jérôme",24,1,30,24,9,4,4,96,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 187","Saint-Jérôme",27,0,20,29,6,8,0,90,346
24063,"Rivière-du-Nord/Rivière-du-Nord"," 188","Saint-Jérôme",26,0,26,33,4,4,2,95,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 189","Saint-Jérôme",41,1,30,40,5,12,0,129,376
24063,"Rivière-du-Nord/Rivière-du-Nord"," 190","Saint-Jérôme",48,3,70,62,10,12,8,213,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 191","Saint-Jérôme",42,1,55,63,4,25,3,193,375
24063,"Rivière-du-Nord/Rivière-du-Nord"," 192","Saint-Jérôme",57,2,82,63,5,19,4,232,434
24063,"Rivière-du-Nord/Rivière-du-Nord"," 193","Saint-Jérôme",46,1,44,67,4,9,3,174,397
24063,"Rivière-du-Nord/Rivière-du-Nord"," 194","Saint-Jérôme",49,1,67,55,5,11,5,193,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 195","Saint-Jérôme",51,3,60,77,7,11,4,213,420
24063,"Rivière-du-Nord/Rivière-du-Nord"," 196","Saint-Jérôme",52,2,65,50,8,14,2,193,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 197","Saint-Jérôme",51,0,57,70,5,14,3,200,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 198","Saint-Jérôme",57,1,71,58,7,8,6,208,408
24063,"Rivière-du-Nord/Rivière-du-Nord"," 199","Saint-Jérôme",Merged with No./Fusionné avec le n°167,,,,,,,,103
24063,"Rivière-du-Nord/Rivière-du-Nord"," 200","Saint-Jérôme",53,2,49,68,4,12,2,190,373
24063,"Rivière-du-Nord/Rivière-du-Nord"," 201","Saint-Jérôme",46,1,81,69,3,22,3,225,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 202","Saint-Jérôme",59,0,53,81,5,13,7,218,412
24063,"Rivière-du-Nord/Rivière-du-Nord"," 203","Saint-Jérôme",44,2,75,61,9,15,6,212,443
24063,"Rivière-du-Nord/Rivière-du-Nord"," 204","Saint-Jérôme",39,1,39,76,6,12,7,180,426
24063,"Rivière-du-Nord/Rivière-du-Nord"," 205","Saint-Jérôme",42,0,52,82,3,16,8,203,439
24063,"Rivière-du-Nord/Rivière-du-Nord"," 206","Saint-Jérôme",47,0,63,76,8,13,8,215,422
24063,"Rivière-du-Nord/Rivière-du-Nord"," 207","Saint-Jérôme",52,2,74,63,1,14,4,210,444
24063,"Rivière-du-Nord/Rivière-du-Nord"," 208","Saint-Jérôme",52,1,58,83,3,10,3,210,386
24063,"Rivière-du-Nord/Rivière-du-Nord"," 209","Saint-Jérôme",40,1,67,80,3,7,8,206,409
24063,"Rivière-du-Nord/Rivière-du-Nord"," 210","Saint-Jérôme",71,0,65,95,2,27,0,260,472
24063,"Rivière-du-Nord/Rivière-du-Nord"," 211","Saint-Jérôme",35,0,57,77,5,16,6,196,365
24063,"Rivière-du-Nord/Rivière-du-Nord"," 212","Saint-Jérôme",43,0,50,63,3,12,5,176,354
24063,"Rivière-du-Nord/Rivière-du-Nord"," 213","Saint-Jérôme",21,0,44,50,3,12,3,133,416
24063,"Rivière-du-Nord/Rivière-du-Nord"," 214","Saint-Jérôme",31,0,40,40,3,15,2,131,413
24063,"Rivière-du-Nord/Rivière-du-Nord"," 215","Saint-Jérôme",48,1,73,74,11,7,2,216,466
24063,"Rivière-du-Nord/Rivière-du-Nord"," 216","Saint-Jérôme",41,1,63,65,9,11,0,190,463
24063,"Rivière-du-Nord/Rivière-du-Nord"," 400","Saint-Jérôme",166,1,66,87,7,31,5,363,474
24063,"Rivière-du-Nord/Rivière-du-Nord"," 401","Saint-Jérôme",58,0,32,30,0,13,2,135,167
24063,"Rivière-du-Nord/Rivière-du-Nord"," 402","Saint-Jérôme",87,0,31,53,2,15,1,189,234
24063,"Rivière-du-Nord/Rivière-du-Nord"," 403","Saint-Jérôme",34,0,12,3,1,6,1,57,226
24063,"Rivière-du-Nord/Rivière-du-Nord"," 500","Mobile poll/Bureau itinérant",34,2,14,16,1,6,5,78,137
24063,"Rivière-du-Nord/Rivière-du-Nord"," 501","Mobile poll/Bureau itinérant",51,2,12,9,2,2,1,79,98
24063,"Rivière-du-Nord/Rivière-du-Nord"," 502","Mobile poll/Bureau itinérant",12,0,13,4,0,2,3,34,75
24063,"Rivière-du-Nord/Rivière-du-Nord"," 503","Mobile poll/Bureau itinérant",16,1,14,17,0,1,3,52,98
24063,"Rivière-du-Nord/Rivière-du-Nord"," 600","Saint-Hippolyte",308,5,443,395,22,146,14,1333,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 601","Sainte-Sophie",125,6,223,251,22,64,14,705,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 602","Sainte-Sophie",179,4,243,327,5,104,19,881,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 603","Prévost",232,2,321,250,19,73,10,907,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 604","Prévost",265,4,328,284,20,109,11,1021,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 605","Saint-Jérôme",278,3,424,333,28,159,18,1243,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 606","Saint-Jérôme",313,5,388,296,14,107,17,1140,
