Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,William Caton,Trevor Peterson,Marvin Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 69","Swift Current",234,3,18,42,0,297,496
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 70","Swift Current",228,5,22,55,0,310,438
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 71","Swift Current",147,12,36,58,1,254,375
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 72","Swift Current",163,3,26,47,0,239,397
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 73","Swift Current",166,5,40,44,1,256,398
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 74","Webb",177,3,23,34,1,238,437
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 75","Swift Current",185,3,35,44,0,267,459
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 76","Swift Current",119,4,31,34,1,189,399
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 77","Swift Current",147,9,29,52,0,237,450
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 78","Swift Current",218,9,19,57,0,303,451
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 79","Waldeck",187,5,20,22,0,234,481
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80","Waldeck",147,3,16,22,0,188,292
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 81","Herbert",98,3,9,25,0,135,264
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 82","Herbert",174,2,23,43,1,243,388
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 83","Swift Current",173,6,17,43,0,239,376
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 84","Swift Current",148,9,24,42,1,224,351
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 85","Swift Current",151,2,36,40,0,229,380
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 86","Swift Current",115,2,19,33,1,170,345
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 87","Burnham",183,5,34,26,1,249,434
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 88","Swift Current",177,9,44,44,1,275,460
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 89","Swift Current",148,15,34,39,0,236,479
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 90","Swift Current",110,8,36,46,0,200,419
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 91","Swift Current",129,7,24,31,2,193,329
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 92","Swift Current",107,4,34,28,1,174,371
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 93","Swift Current",114,12,27,29,1,183,364
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 94","Swift Current",134,5,27,53,0,219,394
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 95","Swift Current",132,14,29,24,0,199,403
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 96","Swift Current",135,4,28,38,0,205,384
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 97","Swift Current",182,8,52,45,1,288,416
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 98","Swift Current",169,1,26,42,0,238,376
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 99","Swift Current",163,3,27,27,0,220,423
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 100","Swift Current",204,7,45,58,1,315,443
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 101","Swift Current",155,10,36,47,1,249,441
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 102","McMahon",142,5,17,18,0,182,311
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 103","Hodgeville",138,4,35,38,0,215,377
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 104","Shamrock",93,2,25,22,0,142,192
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 105","Coderre",116,2,12,30,0,160,226
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 106","Mortlach",122,10,43,35,2,212,339
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 107","Caron",199,3,36,31,0,269,439
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 108","Caronport",124,4,21,10,0,159,271
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 109","Caronport",266,2,31,21,0,320,526
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 110","Mossbank",130,4,37,32,1,204,289
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 111","Mossbank",52,1,7,15,0,75,119
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 112","Gravelbourg",43,6,17,24,0,90,136
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 113","Gravelbourg",121,8,41,73,2,245,527
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 114","Gravelbourg",43,1,23,24,0,91,160
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 115","Gravelbourg",120,10,19,37,0,186,285
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 116","Glenbain",53,0,10,10,0,73,132
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 117","Vanguard",61,7,16,17,0,101,189
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 118","Neville",167,2,16,13,0,198,332
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 119","Wymark",260,8,23,40,1,332,509
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 120","Lac Pelletier",70,3,15,13,0,101,163
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 121","Admiral",64,4,16,13,0,97,219
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 122","Shaunavon",160,7,34,40,0,241,466
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 123","Shaunavon",154,3,10,44,0,211,338
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 124","Shaunavon",128,0,16,23,0,167,280
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 125","Shaunavon",103,3,22,23,0,151,253
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 126","Shaunavon",133,4,20,12,0,169,277
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 127","Eastend",168,6,26,20,0,220,421
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 128","Eastend",189,16,47,33,0,285,435
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 129","Consul",202,11,21,21,0,255,355
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 130","Frontier",261,18,16,30,1,326,549
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 131","Climax",152,5,18,31,0,206,308
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 132","Val Marie",102,3,21,47,0,173,350
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 133","Ponteix",109,5,12,51,0,177,329
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 134","Ponteix",115,3,18,41,0,177,359
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135","Aneroid",85,1,15,13,0,114,174
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 136","Kincaid",74,1,11,18,0,104,198
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 137","Laflèche",119,11,27,48,1,206,309
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 138","Laflèche",140,7,24,41,2,214,304
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 139","Limerick",100,10,28,30,0,168,268
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 140","Assiniboia",169,3,42,40,1,255,425
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 141","Assiniboia",197,6,51,54,0,308,610
