Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tracy Calogheros,Gordon Campbell,Sheldon Clare,Adam De Kroon,Trent Derrick,Todd Doherty,Richard Edward Jaques,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 79","Prince George",130,0,4,2,69,103,11,0,319,519
59004,"Cariboo--Prince George/Cariboo--Prince George"," 80","Prince George",73,0,1,1,60,63,7,0,205,471
59004,"Cariboo--Prince George/Cariboo--Prince George"," 81","Prince George",115,0,2,2,47,81,5,2,254,494
59004,"Cariboo--Prince George/Cariboo--Prince George"," 82","Prince George",113,0,4,1,82,80,9,0,289,524
59004,"Cariboo--Prince George/Cariboo--Prince George"," 83","Prince George",77,0,5,1,50,84,6,1,224,459
59004,"Cariboo--Prince George/Cariboo--Prince George"," 84","Prince George",95,0,3,0,70,63,5,0,236,434
59004,"Cariboo--Prince George/Cariboo--Prince George"," 85","Prince George",102,0,5,2,48,112,4,1,274,509
59004,"Cariboo--Prince George/Cariboo--Prince George"," 86","Prince George",77,1,5,0,56,91,11,2,243,463
59004,"Cariboo--Prince George/Cariboo--Prince George"," 87","Prince George",86,0,2,1,62,91,6,1,249,442
59004,"Cariboo--Prince George/Cariboo--Prince George"," 88","Prince George",110,1,2,2,60,89,7,1,272,520
59004,"Cariboo--Prince George/Cariboo--Prince George"," 89","Prince George",76,2,2,0,48,109,5,1,243,457
59004,"Cariboo--Prince George/Cariboo--Prince George"," 90","Prince George",117,2,1,1,37,106,9,0,273,487
59004,"Cariboo--Prince George/Cariboo--Prince George"," 91","Prince George",68,0,0,1,55,62,3,1,190,364
59004,"Cariboo--Prince George/Cariboo--Prince George"," 92","Prince George",92,2,1,0,54,89,5,2,245,469
59004,"Cariboo--Prince George/Cariboo--Prince George"," 93","Prince George",91,1,2,0,60,124,5,2,285,482
59004,"Cariboo--Prince George/Cariboo--Prince George"," 94","Prince George",90,0,3,1,52,90,8,3,247,501
59004,"Cariboo--Prince George/Cariboo--Prince George"," 95","Prince George",84,0,1,3,37,73,3,0,201,347
59004,"Cariboo--Prince George/Cariboo--Prince George"," 96","Prince George",90,1,3,0,76,75,8,0,253,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 97","Prince George",127,0,5,1,81,83,7,0,304,497
59004,"Cariboo--Prince George/Cariboo--Prince George"," 98","Prince George",85,1,5,1,86,55,8,0,241,411
59004,"Cariboo--Prince George/Cariboo--Prince George"," 99","Prince George",110,0,5,2,75,98,9,2,301,498
59004,"Cariboo--Prince George/Cariboo--Prince George"," 100","Prince George",98,1,6,0,66,52,2,0,225,404
59004,"Cariboo--Prince George/Cariboo--Prince George"," 101","Prince George",97,4,6,0,52,115,7,0,281,455
59004,"Cariboo--Prince George/Cariboo--Prince George"," 102","Nazko",16,3,0,0,22,32,1,0,74,188
59004,"Cariboo--Prince George/Cariboo--Prince George"," 103","Anahim Lake",39,4,4,1,97,82,11,2,240,493
59004,"Cariboo--Prince George/Cariboo--Prince George"," 104","Chilanko Forks",11,2,1,2,61,31,6,1,115,168
59004,"Cariboo--Prince George/Cariboo--Prince George"," 105","Alexis Creek",43,2,2,1,136,21,6,2,213,430
59004,"Cariboo--Prince George/Cariboo--Prince George"," 106","Narcosli Creek",13,0,1,1,14,33,7,0,69,131
59004,"Cariboo--Prince George/Cariboo--Prince George"," 107","Quesnel",57,2,0,4,38,76,17,1,195,327
59004,"Cariboo--Prince George/Cariboo--Prince George"," 108","Quesnel",79,2,1,1,36,72,6,1,198,366
59004,"Cariboo--Prince George/Cariboo--Prince George"," 109","Quesnel",73,2,2,0,39,95,6,0,217,376
59004,"Cariboo--Prince George/Cariboo--Prince George"," 110","Quesnel",46,0,4,0,26,54,7,0,137,278
59004,"Cariboo--Prince George/Cariboo--Prince George"," 111","Baker Creek",62,4,6,7,46,111,8,1,245,488
59004,"Cariboo--Prince George/Cariboo--Prince George"," 112","Strathnaver",66,3,14,1,38,168,10,2,302,512
59004,"Cariboo--Prince George/Cariboo--Prince George"," 113","Moose Heights",60,2,2,2,53,80,6,0,205,400
59004,"Cariboo--Prince George/Cariboo--Prince George"," 114","Ten Mile Lake",52,1,2,1,34,94,2,2,188,296
59004,"Cariboo--Prince George/Cariboo--Prince George"," 115","Barlow",59,1,5,3,47,70,6,0,191,367
59004,"Cariboo--Prince George/Cariboo--Prince George"," 116","Barlow",45,3,2,3,32,63,12,1,161,294
59004,"Cariboo--Prince George/Cariboo--Prince George"," 117","Barlow",51,2,0,1,38,64,8,0,164,296
59004,"Cariboo--Prince George/Cariboo--Prince George"," 118A","Quesnel",60,2,1,7,44,35,11,1,161,347
59004,"Cariboo--Prince George/Cariboo--Prince George"," 118B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,34
59004,"Cariboo--Prince George/Cariboo--Prince George"," 119","Quesnel",84,1,0,5,63,68,11,1,233,476
59004,"Cariboo--Prince George/Cariboo--Prince George"," 120","Quesnel",79,4,0,2,46,82,6,0,219,440
59004,"Cariboo--Prince George/Cariboo--Prince George"," 121","Quesnel",75,1,0,1,35,74,13,1,200,423
59004,"Cariboo--Prince George/Cariboo--Prince George"," 122","Quesnel",88,2,2,2,51,86,6,0,237,428
59004,"Cariboo--Prince George/Cariboo--Prince George"," 123","Quesnel",83,3,2,4,52,105,7,2,258,447
59004,"Cariboo--Prince George/Cariboo--Prince George"," 124","Quesnel",77,3,1,3,50,84,11,1,230,418
59004,"Cariboo--Prince George/Cariboo--Prince George"," 125","Quesnel",81,1,3,1,44,92,7,2,231,425
59004,"Cariboo--Prince George/Cariboo--Prince George"," 126","Quesnel",78,1,1,3,60,73,2,1,219,398
59004,"Cariboo--Prince George/Cariboo--Prince George"," 127","Rich Bar",43,1,0,0,41,62,3,0,150,274
59004,"Cariboo--Prince George/Cariboo--Prince George"," 128","Rich Bar",52,0,2,0,35,66,9,0,164,308
59004,"Cariboo--Prince George/Cariboo--Prince George"," 129","Rich Bar",44,2,2,1,28,72,12,1,162,299
59004,"Cariboo--Prince George/Cariboo--Prince George"," 130","Quesnel",51,1,1,1,46,57,9,1,167,400
59004,"Cariboo--Prince George/Cariboo--Prince George"," 131","Quesnel",82,3,1,3,78,94,7,1,269,509
59004,"Cariboo--Prince George/Cariboo--Prince George"," 132","Quesnel",89,0,0,5,60,76,5,1,236,427
59004,"Cariboo--Prince George/Cariboo--Prince George"," 133","Quesnel",73,1,1,1,53,40,9,3,181,427
59004,"Cariboo--Prince George/Cariboo--Prince George"," 134","Quesnel",61,2,1,3,39,64,7,5,182,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 135","Quesnel",70,1,1,0,47,56,14,2,191,434
59004,"Cariboo--Prince George/Cariboo--Prince George"," 136","Quesnel",69,3,1,3,59,45,12,2,194,462
59004,"Cariboo--Prince George/Cariboo--Prince George"," 137","Quesnel",58,2,1,0,62,41,8,1,173,339
59004,"Cariboo--Prince George/Cariboo--Prince George"," 138","Quesnel View",60,1,0,9,45,73,13,0,201,380
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139","Quesnel View",75,0,0,3,51,116,8,4,257,492
59004,"Cariboo--Prince George/Cariboo--Prince George"," 140","Kersley",53,1,3,1,49,102,11,1,221,381
59004,"Cariboo--Prince George/Cariboo--Prince George"," 141","Alexandria",69,3,0,2,35,88,15,0,212,381
59004,"Cariboo--Prince George/Cariboo--Prince George"," 142","Quesnel",50,1,0,0,38,81,3,0,173,335
59004,"Cariboo--Prince George/Cariboo--Prince George"," 143","Quesnel",72,2,0,1,56,112,6,0,249,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 144","Quesnel",76,1,0,0,51,116,1,0,245,421
59004,"Cariboo--Prince George/Cariboo--Prince George"," 145","Cariboo A",84,4,0,2,38,125,5,1,259,438
59004,"Cariboo--Prince George/Cariboo--Prince George"," 146","Cariboo A",80,2,3,1,38,79,12,0,215,388
59004,"Cariboo--Prince George/Cariboo--Prince George"," 147","Quesnel",84,5,2,2,61,131,11,0,296,490
59004,"Cariboo--Prince George/Cariboo--Prince George"," 148","Gravelle Ferry",91,1,1,1,56,155,11,2,318,533
59004,"Cariboo--Prince George/Cariboo--Prince George"," 149","Big Lake Ranch",62,1,3,2,56,122,14,0,260,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 150","McLeese Lake",67,0,0,0,27,96,12,1,203,319
59004,"Cariboo--Prince George/Cariboo--Prince George"," 151","Williams Lake",26,2,1,1,24,41,7,0,102,232
59004,"Cariboo--Prince George/Cariboo--Prince George"," 152","Williams Lake",62,4,2,2,38,107,7,2,224,411
59004,"Cariboo--Prince George/Cariboo--Prince George"," 153","Williams Lake",49,1,1,2,42,83,5,1,184,375
59004,"Cariboo--Prince George/Cariboo--Prince George"," 154","Williams Lake",45,1,0,1,49,76,4,0,176,393
59004,"Cariboo--Prince George/Cariboo--Prince George"," 155","Williams Lake",58,2,1,3,41,62,15,0,182,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 156","Williams Lake",74,2,0,4,15,77,6,1,179,373
59004,"Cariboo--Prince George/Cariboo--Prince George"," 157","Williams Lake",43,1,0,1,70,70,7,1,193,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 158","Williams Lake",31,4,2,1,55,30,5,0,128,308
59004,"Cariboo--Prince George/Cariboo--Prince George"," 159","Williams Lake",68,2,0,1,50,90,5,0,216,419
