Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Paul Bédard,Sacki Carignan Deschamps,François-Philippe Champagne,Jacques Grenier,Martial Toupin,Jean-Yves Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",0,32,57,23,3,23,0,138,416
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",0,31,52,9,3,32,0,127,400
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",0,38,58,18,3,17,1,135,364
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",0,27,51,6,4,16,1,105,382
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",0,26,37,12,2,18,0,95,354
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",0,17,44,9,1,14,1,86,349
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",0,41,54,9,3,8,3,118,357
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",0,31,49,9,2,32,5,128,414
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",1,15,54,10,1,17,7,105,286
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","Grande Anse",0,20,38,7,1,11,0,77,133
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","Parent",3,47,46,18,5,16,8,143,309
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 33","La Tuque",0,60,86,21,2,44,3,216,440
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 34","Hervey-Jonction",0,40,31,47,0,33,2,153,280
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 35","Notre-Dame-de-Montauban",0,46,35,15,3,32,3,134,242
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 36","Notre-Dame-de-Montauban",1,39,80,42,5,29,3,199,294
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 37","Lac-aux-Sables",0,43,51,29,3,34,3,163,269
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 38","Lac-aux-Sables",0,34,61,18,1,27,3,144,262
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 39","Lac-aux-Sables",0,43,65,42,4,25,4,183,321
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 40","Notre-Dame-de-Montauban",2,18,22,6,1,7,1,57,125
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 41","Saint-Adelphe",0,51,108,44,9,49,2,263,398
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42","Saint-Adelphe",2,44,104,57,3,44,8,262,400
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 43","Sainte-Thècle",1,34,80,38,2,32,1,188,380
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 44","Sainte-Thècle",0,30,52,27,3,22,4,138,309
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 45","Sainte-Thècle",2,34,36,25,4,19,0,120,273
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 46","Sainte-Thècle",1,25,46,15,2,23,5,117,266
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 47","Sainte-Thècle",2,36,62,34,1,23,8,166,363
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 48","Sainte-Thècle",2,42,76,45,5,38,7,215,421
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 49","Saint-Joseph-de-Mékinac",0,35,59,26,1,25,6,152,254
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 50","Saint-Roch-de-Mékinac",1,33,71,26,1,30,6,168,292
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 51","Grandes-Piles",0,61,93,25,7,34,4,224,342
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 52","Saint-Tite",0,30,65,27,4,27,2,155,299
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 53","Saint-Tite",0,14,64,40,4,21,1,144,348
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 54","Saint-Tite",0,24,67,33,3,29,2,158,334
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 55","Saint-Tite",0,24,58,14,5,22,4,127,327
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 56","Saint-Tite",0,23,77,26,3,23,4,156,359
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 57","Saint-Tite",0,23,75,45,3,15,4,165,346
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 58","Saint-Tite",1,33,84,38,4,34,5,199,413
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 59","Saint-Tite",0,36,98,41,7,32,2,216,400
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 60","Saint-Tite",0,23,59,19,2,11,0,114,288
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 61","Proulxville",1,19,71,25,3,39,2,160,283
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 62","Proulxville",5,36,94,53,5,48,8,249,388
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 63","Hérouxville",0,33,67,35,3,32,0,170,319
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 64","Hérouxville",0,54,69,39,4,39,6,211,397
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 65","Hérouxville",0,47,72,25,6,37,6,193,376
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66","Shawinigan",0,34,85,42,2,33,2,198,413
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 67","Shawinigan",1,40,92,29,3,37,3,205,398
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 68","Shawinigan",0,29,76,31,2,30,5,173,402
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 69","Shawinigan",1,38,89,38,2,48,4,220,412
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70","Shawinigan",0,32,78,29,3,40,2,184,409
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 71","Shawinigan",0,37,99,23,0,35,4,198,426
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 72","Shawinigan",1,26,104,47,2,33,1,214,424
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 73","Shawinigan",2,43,66,16,3,29,1,160,364
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74","Shawinigan",0,38,103,26,4,26,3,200,408
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 75","Shawinigan",0,24,58,22,1,22,4,131,350
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 76","Shawinigan",2,24,50,10,4,15,1,106,360
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 77","Shawinigan",0,41,59,20,4,28,0,152,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 78","Shawinigan",0,43,69,18,2,52,5,189,413
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 79","Shawinigan",0,29,58,13,1,10,4,115,363
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 80","Shawinigan",0,15,50,8,3,7,1,84,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 81","Shawinigan",0,38,34,15,1,17,4,109,374
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 82","Shawinigan",0,38,78,33,4,31,5,189,438
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 83","Shawinigan",1,38,67,26,2,40,3,177,392
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 84","Shawinigan",0,52,88,36,3,46,9,234,369
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 85","Shawinigan",1,39,104,33,3,40,6,226,437
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 86","Shawinigan",1,47,113,20,6,46,5,238,419
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 87","Shawinigan",0,55,124,15,7,51,2,254,441
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 88","Shawinigan",0,22,70,16,4,30,2,144,325
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 89","Shawinigan",0,38,118,27,0,26,3,212,317
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 90","Shawinigan",0,30,50,16,2,27,6,131,206
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 91","Shawinigan",1,30,73,21,4,23,4,156,314
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 92","Shawinigan",0,49,98,44,2,55,9,257,432
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 93","Shawinigan",0,41,110,43,1,58,4,257,486
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 94","Shawinigan",0,46,69,26,4,22,5,172,344
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 95","Shawinigan",0,51,111,30,2,31,5,230,375
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 96","Shawinigan",0,39,110,45,1,40,2,237,404
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 97","Shawinigan",0,36,108,26,4,31,2,207,358
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 98","Shawinigan",0,44,83,22,3,51,2,205,431
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 99","Shawinigan",5,39,88,30,5,43,2,212,367
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 100","Shawinigan",0,38,73,16,1,44,1,173,414
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 101","Shawinigan",0,40,79,10,5,29,1,164,398
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 102","Shawinigan",0,33,66,6,3,42,4,154,356
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 103","Shawinigan",0,32,77,16,4,37,4,170,397
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 104","Shawinigan",0,29,87,27,1,49,2,195,405
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 105","Shawinigan",0,58,80,34,2,50,3,227,487
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 106","Shawinigan",0,32,74,29,1,24,4,164,351
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 107","Shawinigan",0,41,114,20,3,46,9,233,408
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 108","Shawinigan",1,22,91,22,5,41,5,187,377
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 109","Shawinigan",2,16,60,17,1,26,1,123,333
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 110","Shawinigan",0,21,44,9,1,25,3,103,274
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 111","Shawinigan",3,25,63,17,1,39,1,149,396
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 112","Shawinigan",0,39,72,18,3,38,6,176,439
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 113","Shawinigan",1,26,78,22,0,31,4,162,350
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 114","Shawinigan",0,33,86,29,1,41,1,191,390
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 115","Shawinigan",0,46,89,26,1,27,4,193,411
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 116","Shawinigan",0,23,62,10,1,26,0,122,343
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 117","Shawinigan",2,39,75,14,5,19,4,158,371
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 118","Shawinigan",1,28,65,18,1,18,2,133,356
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 119","Shawinigan",0,20,68,20,5,36,1,150,397
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 120","Shawinigan",0,34,77,13,5,35,2,166,370
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 121","Shawinigan",2,27,60,20,1,29,9,148,406
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 122","Shawinigan",0,30,101,11,1,27,5,175,405
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 123","Shawinigan",1,23,99,28,5,41,1,198,419
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 124","Shawinigan",1,40,67,25,5,34,1,173,379
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 125","Shawinigan",0,42,84,28,1,27,8,190,420
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 126","Shawinigan",1,40,83,50,1,22,6,203,403
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 127","Shawinigan",0,24,91,30,2,24,5,176,428
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 128","Shawinigan",0,46,77,36,3,30,9,201,433
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 129","Shawinigan",0,39,81,28,4,38,0,190,428
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 130","Shawinigan",0,38,95,18,6,42,4,203,408
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 131","Saint-Narcisse",0,57,96,43,4,54,3,257,443
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 132","Saint-Narcisse",1,38,88,43,2,33,3,208,333
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 133","Saint-Narcisse",1,33,76,30,6,32,5,183,321
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 134","Saint-Narcisse",0,38,87,35,3,35,6,204,386
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 135","Saint-Stanislas",0,24,73,36,4,43,1,181,289
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 136","Saint-Stanislas",0,19,65,22,2,26,0,134,243
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 137","Saint-Stanislas",1,33,81,34,4,36,3,192,334
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 138","Saint-Prosper",0,20,41,29,6,25,6,127,210
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 139","Saint-Prosper",1,43,53,20,0,37,4,158,263
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 140","Sainte-Anne-de-la-Pérade",1,34,51,29,4,48,1,168,271
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 141","Sainte-Anne-de-la-Pérade",2,22,54,34,3,27,4,146,283
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 142","Sainte-Anne-de-la-Pérade",2,36,87,36,6,32,1,200,324
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 143","Sainte-Anne-de-la-Pérade",1,39,69,49,7,39,4,208,357
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 144","Sainte-Anne-de-la-Pérade",0,50,72,50,5,31,5,213,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 145","Sainte-Geneviève-de-Batiscan",0,34,60,27,5,23,2,151,310
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 146","Sainte-Geneviève-de-Batiscan",0,31,47,19,3,35,1,136,277
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 147","Sainte-Geneviève-de-Batiscan",1,27,41,27,4,35,4,139,292
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 148","Batiscan",0,53,70,51,5,68,3,250,416
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 149","Batiscan",1,54,80,37,11,50,1,234,401
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 150","Champlain",1,35,76,45,5,41,2,205,304
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 151","Champlain",4,39,102,43,4,64,6,262,426
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 152","Champlain",1,44,84,43,2,41,1,216,349
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 153","Champlain",0,56,90,51,7,38,4,246,397
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 154","Saint-Luc",3,46,83,45,21,64,4,266,462
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 155","Saint-Maurice",1,33,56,27,13,47,5,182,312
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 156","Saint-Maurice",1,33,51,28,11,47,1,172,253
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 157","Saint-Maurice",0,42,77,56,9,51,4,239,374
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 158","Saint-Maurice",0,16,68,31,2,35,2,154,273
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 159","Saint-Maurice",0,21,62,49,7,33,6,178,264
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 160","Saint-Maurice",0,32,53,19,14,47,2,167,285
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 161","Saint-Maurice",2,53,75,73,10,43,6,262,460
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 162","Saint-Maurice",1,35,42,29,8,28,2,145,251
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 163","Notre-Dame-du-Mont-Carmel",1,33,49,26,1,29,0,139,325
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 164","Notre-Dame-du-Mont-Carmel",2,31,70,35,0,27,3,168,326
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 165","Notre-Dame-du-Mont-Carmel",1,33,52,35,5,27,1,154,314
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 166","Notre-Dame-du-Mont-Carmel",1,32,37,24,1,17,0,112,248
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 167","Notre-Dame-du-Mont-Carmel",0,24,47,24,3,28,2,128,293
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 168","Notre-Dame-du-Mont-Carmel",0,33,54,33,5,24,3,152,339
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 169","Notre-Dame-du-Mont-Carmel",1,25,81,38,2,36,5,188,393
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 170","Notre-Dame-du-Mont-Carmel",0,41,73,26,3,23,5,171,318
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 171","Notre-Dame-du-Mont-Carmel",0,36,77,18,1,38,11,181,393
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 172","Notre-Dame-du-Mont-Carmel",0,20,52,34,5,53,6,170,289
