Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenn Brown,Tyler John Colbourne,Judy M. Foote,Mike Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 197","Corbin--Epworth",6,0,64,4,0,74,104
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 198","Burin",13,2,176,21,1,213,415
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 199","St. Lawrence",3,2,112,4,0,121,230
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 200","St. Lawrence",2,0,128,5,0,135,261
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 201","St. Lawrence",8,1,186,7,0,202,371
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 202","St. Lawrence",1,0,99,3,0,103,173
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 203","Lawn",13,2,263,11,0,289,535
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 204","Lord's Cove",0,0,63,1,0,64,119
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 205","Point au Gaul",3,0,53,1,0,57,76
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 206","Lamaline",4,0,136,11,0,151,228
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 207","Fortune",2,0,110,10,1,123,243
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 208","Fortune",10,0,128,4,4,146,270
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 209","Fortune",5,2,171,8,1,187,366
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 210","Fortune",3,0,162,16,1,182,327
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 211","Grand Bank",5,1,100,5,1,112,200
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 212","Grand Bank",6,0,143,7,3,159,322
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 213","Grand Bank",1,0,134,4,3,142,242
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 214","Grand Bank",6,1,125,10,0,142,304
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 215","Grand Bank",1,1,143,7,0,152,324
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 216","Grand Bank",2,0,153,16,2,173,377
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 217","Grand Bank",7,2,149,11,0,169,306
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 218","Point May",0,0,106,5,0,111,212
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 219","Clarenville",10,4,136,21,0,171,387
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 220A","Clarenville",13,1,186,28,1,229,226
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 220B","Clarenville","Results combined with No./Résultats combinés au n°220A",,,,,,210
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 221","Clarenville",18,2,182,19,1,222,454
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 222","Clarenville",8,2,120,17,4,151,397
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 223","Adeytown - Deep Bight",Void/Supprimé,,,,,,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 224","Happy Adventure",13,2,148,15,2,180,310
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 225","Southern Bay--Princeton",11,2,69,7,1,90,136
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 226","Bonavista",1,2,109,17,0,129,311
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 227","Bonavista",8,0,119,12,0,139,383
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 228","Bonavista",9,0,111,18,0,138,309
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 229","Bonavista",2,0,75,18,0,95,275
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 500","Mobile poll/Bureau itinérant",1,0,38,3,0,42,63
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 501","Mobile poll/Bureau itinérant",1,1,17,5,2,26,32
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 502","Mobile poll/Bureau itinérant",6,0,59,11,0,76,115
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 503","Mobile poll/Bureau itinérant",5,3,44,10,5,67,90
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 504","Mobile poll/Bureau itinérant",5,3,70,18,3,99,118
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 505","Mobile poll/Bureau itinérant",7,0,74,12,5,98,139
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 506","Mobile poll/Bureau itinérant",4,0,25,3,3,35,50
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 507","Mobile poll/Bureau itinérant",2,0,60,7,0,69,85
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 508","Mobile poll/Bureau itinérant",1,2,31,1,0,35,56
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 600","Carmanville",5,1,60,13,0,79,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 601","New-Wes-Valley",10,0,110,17,0,137,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 602","Gambo",19,0,134,24,0,177,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 603","Glovertown",13,1,151,51,2,218,
