Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 63","Notre-Dame-de-l'Île-Perrot",26,43,5,67,120,3,264,493
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 64","Notre-Dame-de-l'Île-Perrot",22,33,5,59,104,4,227,402
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 65","Notre-Dame-de-l'Île-Perrot",16,25,8,39,80,3,171,317
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 66","L'Île-Perrot",22,59,9,42,67,4,203,420
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 67","L'Île-Perrot",27,35,3,32,96,2,195,389
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 68","L'Île-Perrot",36,33,2,42,110,4,227,411
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 69","L'Île-Perrot",17,30,5,37,99,0,188,379
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 70","L'Île-Perrot",11,24,2,39,78,3,157,334
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 71","L'Île-Perrot",34,17,2,28,84,1,166,323
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 72","Pincourt",26,34,1,28,114,1,204,365
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 73","Pincourt",41,26,4,43,135,0,249,420
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 74A","Pincourt",25,20,3,36,94,3,181,328
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 74B","Pincourt",26,22,4,34,81,0,167,327
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 75","Pincourt",58,39,2,50,160,4,313,510
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 76","Pincourt",18,17,10,37,140,4,226,401
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 77","Pincourt",27,13,4,35,128,3,210,355
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 78","Pincourt",32,18,8,76,168,4,306,448
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 79","Pincourt",17,23,7,46,120,3,216,346
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 80","Pincourt",21,15,7,54,146,7,250,395
