Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payam Azad,Claire Martin,Andrew Saxton,Carleen Thomas,Jonathan Wilkinson,Ismet Yetisen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 81","North Vancouver",2,21,48,14,147,0,1,233,449
59021,"North Vancouver/North Vancouver"," 82","North Vancouver",0,11,76,14,135,0,2,238,468
59021,"North Vancouver/North Vancouver"," 83","North Vancouver",1,15,65,19,170,1,4,275,541
59021,"North Vancouver/North Vancouver"," 84","North Vancouver",2,18,55,14,141,0,2,232,429
59021,"North Vancouver/North Vancouver"," 85","North Vancouver",0,26,65,5,145,1,0,242,455
59021,"North Vancouver/North Vancouver"," 86","North Vancouver",0,25,54,27,149,0,0,255,496
59021,"North Vancouver/North Vancouver"," 87","North Vancouver",2,11,27,26,126,2,1,195,419
59021,"North Vancouver/North Vancouver"," 88","North Vancouver",1,19,31,30,99,0,0,180,360
59021,"North Vancouver/North Vancouver"," 89","North Vancouver",0,15,87,19,156,0,1,278,450
59021,"North Vancouver/North Vancouver"," 90","North Vancouver",0,17,51,14,137,0,0,219,420
59021,"North Vancouver/North Vancouver"," 91","North Vancouver",0,23,45,29,132,1,2,232,411
59021,"North Vancouver/North Vancouver"," 92","North Vancouver",3,16,52,24,141,0,0,236,468
59021,"North Vancouver/North Vancouver"," 93","North Vancouver",1,22,39,43,156,0,0,261,500
59021,"North Vancouver/North Vancouver"," 94","North Vancouver",0,30,52,16,133,0,2,233,448
59021,"North Vancouver/North Vancouver"," 95","North Vancouver",2,16,49,15,134,2,0,218,490
59021,"North Vancouver/North Vancouver"," 96","North Vancouver",0,21,72,15,144,0,0,252,412
59021,"North Vancouver/North Vancouver"," 97","North Vancouver",0,33,65,13,146,0,0,257,401
59021,"North Vancouver/North Vancouver"," 98","North Vancouver",0,15,70,23,151,0,3,262,479
59021,"North Vancouver/North Vancouver"," 99","North Vancouver",0,28,88,13,174,0,0,303,443
59021,"North Vancouver/North Vancouver"," 100","North Vancouver",0,18,51,7,172,1,0,249,560
59021,"North Vancouver/North Vancouver"," 101","North Vancouver",2,24,56,19,139,1,1,242,474
59021,"North Vancouver/North Vancouver"," 102","North Vancouver",0,21,42,25,160,0,3,251,521
59021,"North Vancouver/North Vancouver"," 103","North Vancouver",0,17,63,20,140,1,1,242,439
59021,"North Vancouver/North Vancouver"," 104","North Vancouver",0,29,66,15,146,0,1,257,399
59021,"North Vancouver/North Vancouver"," 105A","Pemberton Heights",3,12,24,15,106,1,2,163,306
