Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Ackad,Fernand Deschamps,Stéphane Dion,Pascal-Olivier Dumas-Dubreuil,John Tromp,Jimmy Yu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 15A","St. Laurent",23,0,117,7,0,16,4,167,453
24068,"Saint-Laurent/Saint-Laurent"," 15B","St. Laurent",26,2,130,4,4,30,4,200,534
24068,"Saint-Laurent/Saint-Laurent"," 16","St. Laurent",12,0,104,3,6,20,1,146,451
24068,"Saint-Laurent/Saint-Laurent"," 17","St. Laurent",41,3,130,4,1,42,4,225,544
24068,"Saint-Laurent/Saint-Laurent"," 18","St. Laurent",20,2,98,2,5,29,1,157,330
24068,"Saint-Laurent/Saint-Laurent"," 19","St. Laurent",Merged with No./Fusionné avec le n°20,,,,,,,,131
24068,"Saint-Laurent/Saint-Laurent"," 20","St. Laurent",21,1,80,4,2,19,2,129,203
24068,"Saint-Laurent/Saint-Laurent"," 21","St. Laurent",33,3,159,7,10,31,3,246,564
24068,"Saint-Laurent/Saint-Laurent"," 22","St. Laurent",14,1,152,5,9,23,0,204,393
24068,"Saint-Laurent/Saint-Laurent"," 23","St. Laurent",16,1,159,9,0,30,4,219,387
24068,"Saint-Laurent/Saint-Laurent"," 24","St. Laurent",24,0,124,3,6,23,2,182,350
24068,"Saint-Laurent/Saint-Laurent"," 25","St. Laurent",11,0,115,19,8,22,1,176,347
24068,"Saint-Laurent/Saint-Laurent"," 26","St. Laurent",14,1,122,13,3,30,1,184,381
24068,"Saint-Laurent/Saint-Laurent"," 27","St. Laurent",15,0,158,19,10,17,4,223,374
24068,"Saint-Laurent/Saint-Laurent"," 28","St. Laurent",15,0,61,9,4,21,0,110,299
24068,"Saint-Laurent/Saint-Laurent"," 29","St. Laurent",23,0,198,16,6,45,5,293,576
24068,"Saint-Laurent/Saint-Laurent"," 30","St. Laurent",23,0,70,8,4,19,1,125,269
24068,"Saint-Laurent/Saint-Laurent"," 31","St. Laurent",29,0,101,16,3,29,1,179,486
24068,"Saint-Laurent/Saint-Laurent"," 32","St. Laurent",21,0,106,19,6,27,2,181,439
24068,"Saint-Laurent/Saint-Laurent"," 33","St. Laurent",38,0,129,8,6,58,3,242,579
24068,"Saint-Laurent/Saint-Laurent"," 34","St. Laurent",25,0,119,27,7,35,1,214,423
24068,"Saint-Laurent/Saint-Laurent"," 35","St. Laurent",14,0,63,8,2,13,0,100,311
24068,"Saint-Laurent/Saint-Laurent"," 36","St. Laurent",27,0,126,3,4,9,0,169,428
24068,"Saint-Laurent/Saint-Laurent"," 37","St. Laurent",78,0,130,36,19,20,3,286,456
24068,"Saint-Laurent/Saint-Laurent"," 38","St. Laurent",41,2,127,18,8,14,3,213,453
24068,"Saint-Laurent/Saint-Laurent"," 39","St. Laurent",27,0,135,21,9,28,4,224,519
24068,"Saint-Laurent/Saint-Laurent"," 40","St. Laurent",23,1,129,15,4,25,1,198,425
24068,"Saint-Laurent/Saint-Laurent"," 41","St. Laurent",12,0,60,1,5,16,2,96,197
24068,"Saint-Laurent/Saint-Laurent"," 42","St. Laurent",23,1,112,5,4,46,4,195,427
24068,"Saint-Laurent/Saint-Laurent"," 43","St. Laurent",16,1,50,0,4,20,3,94,305
24068,"Saint-Laurent/Saint-Laurent"," 44","St. Laurent",12,0,52,2,2,26,5,99,296
24068,"Saint-Laurent/Saint-Laurent"," 45","St. Laurent",18,2,117,6,5,22,0,170,421
24068,"Saint-Laurent/Saint-Laurent"," 46","St. Laurent",15,0,114,9,6,20,1,165,408
24068,"Saint-Laurent/Saint-Laurent"," 47","St. Laurent",33,0,117,15,14,16,1,196,373
24068,"Saint-Laurent/Saint-Laurent"," 48","St. Laurent",28,0,126,7,3,12,1,177,405
24068,"Saint-Laurent/Saint-Laurent"," 49","St. Laurent",33,1,168,17,9,16,6,250,526
24068,"Saint-Laurent/Saint-Laurent"," 50","St. Laurent",35,1,134,8,10,16,1,205,427
24068,"Saint-Laurent/Saint-Laurent"," 51","St. Laurent",21,1,126,19,5,15,2,189,407
24068,"Saint-Laurent/Saint-Laurent"," 52","St. Laurent",29,1,123,17,1,13,2,186,421
24068,"Saint-Laurent/Saint-Laurent"," 53","St. Laurent",15,0,150,11,2,10,2,190,430
24068,"Saint-Laurent/Saint-Laurent"," 54","St. Laurent",32,0,139,10,4,28,3,216,511
24068,"Saint-Laurent/Saint-Laurent"," 55","St. Laurent",33,0,153,5,4,38,2,235,626
24068,"Saint-Laurent/Saint-Laurent"," 56","St. Laurent",35,0,119,32,17,14,2,219,416
24068,"Saint-Laurent/Saint-Laurent"," 57","St. Laurent",17,0,99,5,2,13,3,139,463
24068,"Saint-Laurent/Saint-Laurent"," 58","St. Laurent",22,1,103,14,9,16,2,167,447
24068,"Saint-Laurent/Saint-Laurent"," 59","St. Laurent",25,1,97,9,5,21,1,159,452
24068,"Saint-Laurent/Saint-Laurent"," 60","St. Laurent",20,0,123,3,3,28,0,177,410
24068,"Saint-Laurent/Saint-Laurent"," 61","St. Laurent",19,0,118,5,3,22,0,167,413
24068,"Saint-Laurent/Saint-Laurent"," 62","St. Laurent",26,0,90,1,3,12,3,135,424
24068,"Saint-Laurent/Saint-Laurent"," 63","St. Laurent",18,0,79,2,5,15,0,119,283
24068,"Saint-Laurent/Saint-Laurent"," 64","St. Laurent",21,1,98,10,5,29,1,165,399
24068,"Saint-Laurent/Saint-Laurent"," 65","St. Laurent",6,2,121,10,3,30,0,172,438
24068,"Saint-Laurent/Saint-Laurent"," 66","St. Laurent",11,3,118,2,0,25,0,159,390
24068,"Saint-Laurent/Saint-Laurent"," 67","St. Laurent",11,0,114,2,3,12,2,144,404
24068,"Saint-Laurent/Saint-Laurent"," 68","St. Laurent",27,0,111,18,5,24,0,185,402
24068,"Saint-Laurent/Saint-Laurent"," 69","St. Laurent",8,1,141,7,4,31,3,195,403
24068,"Saint-Laurent/Saint-Laurent"," 70","St. Laurent",15,0,133,7,1,28,2,186,440
24068,"Saint-Laurent/Saint-Laurent"," 71","St. Laurent",29,0,151,17,8,30,3,238,471
24068,"Saint-Laurent/Saint-Laurent"," 72","St. Laurent",15,0,142,17,1,46,0,221,457
24068,"Saint-Laurent/Saint-Laurent"," 73","St. Laurent",12,1,120,4,8,30,3,178,441
24068,"Saint-Laurent/Saint-Laurent"," 74","St. Laurent",15,1,107,4,1,21,2,151,380
24068,"Saint-Laurent/Saint-Laurent"," 75","St. Laurent",12,1,175,18,7,29,4,246,471
24068,"Saint-Laurent/Saint-Laurent"," 76","St. Laurent",35,0,159,17,4,56,0,271,459
24068,"Saint-Laurent/Saint-Laurent"," 77","St. Laurent",34,0,145,9,4,15,2,209,471
24068,"Saint-Laurent/Saint-Laurent"," 78","St. Laurent",14,0,129,7,1,15,1,167,324
24068,"Saint-Laurent/Saint-Laurent"," 79","St. Laurent",21,2,84,19,3,23,1,153,350
24068,"Saint-Laurent/Saint-Laurent"," 80","St. Laurent",21,3,189,13,6,26,3,261,471
24068,"Saint-Laurent/Saint-Laurent"," 81","St. Laurent",36,0,74,21,10,17,3,161,386
24068,"Saint-Laurent/Saint-Laurent"," 82","St. Laurent",27,1,89,14,6,17,2,156,439
24068,"Saint-Laurent/Saint-Laurent"," 83","St. Laurent",42,2,109,45,18,15,2,233,443
24068,"Saint-Laurent/Saint-Laurent"," 84","St. Laurent",33,2,119,29,9,33,4,229,384
24068,"Saint-Laurent/Saint-Laurent"," 85","St. Laurent",42,2,97,14,13,35,1,204,389
24068,"Saint-Laurent/Saint-Laurent"," 86","St. Laurent",22,0,87,11,4,43,2,169,369
24068,"Saint-Laurent/Saint-Laurent"," 87","St. Laurent",23,1,107,3,4,40,4,182,381
24068,"Saint-Laurent/Saint-Laurent"," 88","St. Laurent",17,1,117,11,9,35,1,191,391
24068,"Saint-Laurent/Saint-Laurent"," 89","St. Laurent",33,1,133,15,16,14,0,212,412
24068,"Saint-Laurent/Saint-Laurent"," 90","St. Laurent",33,0,158,4,4,35,2,236,467
24068,"Saint-Laurent/Saint-Laurent"," 91","St. Laurent",36,2,182,6,14,49,3,292,436
24068,"Saint-Laurent/Saint-Laurent"," 92","St. Laurent",37,1,120,12,10,29,1,210,438
24068,"Saint-Laurent/Saint-Laurent"," 93","St. Laurent",Merged with No./Fusionné avec le n°92,,,,,,,,2
24068,"Saint-Laurent/Saint-Laurent"," 94","St. Laurent",42,4,94,25,9,20,9,203,456
24068,"Saint-Laurent/Saint-Laurent"," 95","St. Laurent",34,2,144,18,16,47,1,262,480
24068,"Saint-Laurent/Saint-Laurent"," 96","St. Laurent",18,0,117,14,3,49,2,203,439
24068,"Saint-Laurent/Saint-Laurent"," 97","St. Laurent",18,0,105,5,9,46,0,183,410
24068,"Saint-Laurent/Saint-Laurent"," 98","St. Laurent",20,1,113,9,6,32,2,183,394
24068,"Saint-Laurent/Saint-Laurent"," 99","St. Laurent",29,1,136,18,5,51,4,244,512
24068,"Saint-Laurent/Saint-Laurent"," 100","St. Laurent",12,1,83,7,5,71,0,179,411
24068,"Saint-Laurent/Saint-Laurent"," 101","St. Laurent",12,0,85,6,1,54,0,158,416
24068,"Saint-Laurent/Saint-Laurent"," 102","St. Laurent",33,0,66,25,4,28,4,160,370
24068,"Saint-Laurent/Saint-Laurent"," 103","St. Laurent",38,1,99,19,10,19,4,190,362
24068,"Saint-Laurent/Saint-Laurent"," 104","St. Laurent",29,2,79,17,11,19,0,157,281
24068,"Saint-Laurent/Saint-Laurent"," 105","St. Laurent",19,0,180,6,9,61,3,278,625
24068,"Saint-Laurent/Saint-Laurent"," 106","St. Laurent",14,3,124,2,5,46,6,200,476
24068,"Saint-Laurent/Saint-Laurent"," 107","St. Laurent",7,0,93,2,1,43,0,146,441
24068,"Saint-Laurent/Saint-Laurent"," 108","St. Laurent",7,1,30,1,1,22,0,62,203
24068,"Saint-Laurent/Saint-Laurent"," 109","St. Laurent",20,0,100,7,1,34,1,163,518
24068,"Saint-Laurent/Saint-Laurent"," 110","St. Laurent",38,1,135,7,6,40,0,227,534
24068,"Saint-Laurent/Saint-Laurent"," 111","St. Laurent",13,1,82,3,5,41,2,147,441
24068,"Saint-Laurent/Saint-Laurent"," 112","St. Laurent",14,0,111,6,2,49,0,182,469
24068,"Saint-Laurent/Saint-Laurent"," 113","St. Laurent",4,0,81,4,0,14,1,104,313
24068,"Saint-Laurent/Saint-Laurent"," 114","St. Laurent",8,0,95,3,2,27,0,135,369
24068,"Saint-Laurent/Saint-Laurent"," 115","St. Laurent",26,0,140,3,4,45,3,221,502
24068,"Saint-Laurent/Saint-Laurent"," 116","St. Laurent",18,0,132,0,3,56,2,211,501
24068,"Saint-Laurent/Saint-Laurent"," 117","St. Laurent",14,2,73,4,1,23,0,117,271
24068,"Saint-Laurent/Saint-Laurent"," 118","St. Laurent",21,2,163,2,2,38,0,228,487
24068,"Saint-Laurent/Saint-Laurent"," 119","St. Laurent",9,1,84,2,3,27,1,127,312
24068,"Saint-Laurent/Saint-Laurent"," 120","St. Laurent",13,0,106,3,2,120,0,244,467
24068,"Saint-Laurent/Saint-Laurent"," 121","St. Laurent",16,1,133,1,2,106,3,262,460
24068,"Saint-Laurent/Saint-Laurent"," 122","St. Laurent",15,0,78,3,1,68,0,165,538
24068,"Saint-Laurent/Saint-Laurent"," 123","St. Laurent",10,0,95,1,3,109,1,219,475
24068,"Saint-Laurent/Saint-Laurent"," 124","St. Laurent",5,4,81,1,2,45,0,138,394
24068,"Saint-Laurent/Saint-Laurent"," 125","St. Laurent",26,0,98,2,4,122,1,253,482
24068,"Saint-Laurent/Saint-Laurent"," 126","St. Laurent",8,2,78,3,2,109,1,203,388
24068,"Saint-Laurent/Saint-Laurent"," 127","St. Laurent",2,0,60,0,0,111,1,174,369
24068,"Saint-Laurent/Saint-Laurent"," 128","St. Laurent",17,1,80,1,1,161,1,262,472
24068,"Saint-Laurent/Saint-Laurent"," 129","St. Laurent",15,1,118,0,1,63,2,200,468
24068,"Saint-Laurent/Saint-Laurent"," 130","St. Laurent",12,0,74,3,4,40,2,135,372
24068,"Saint-Laurent/Saint-Laurent"," 131","St. Laurent",9,0,46,2,3,66,2,128,280
24068,"Saint-Laurent/Saint-Laurent"," 132","St. Laurent",14,2,147,4,1,18,5,191,532
24068,"Saint-Laurent/Saint-Laurent"," 133","St. Laurent",30,0,110,7,6,42,1,196,440
24068,"Saint-Laurent/Saint-Laurent"," 134A","St. Laurent",40,0,187,10,2,71,1,311,539
24068,"Saint-Laurent/Saint-Laurent"," 134B","St. Laurent",24,0,113,8,4,31,3,183,384
24068,"Saint-Laurent/Saint-Laurent"," 135","St. Laurent",28,0,115,9,6,56,1,215,458
24068,"Saint-Laurent/Saint-Laurent"," 136","St. Laurent",20,0,112,8,3,46,0,189,434
24068,"Saint-Laurent/Saint-Laurent"," 137","St. Laurent",25,1,102,13,4,53,0,198,463
24068,"Saint-Laurent/Saint-Laurent"," 138","St. Laurent",39,0,120,16,7,46,0,228,474
24068,"Saint-Laurent/Saint-Laurent"," 139","St. Laurent",26,0,144,13,5,33,0,221,465
24068,"Saint-Laurent/Saint-Laurent"," 140","St. Laurent",22,0,112,4,7,40,1,186,334
24068,"Saint-Laurent/Saint-Laurent"," 141","St. Laurent",21,0,181,5,7,70,3,287,563
24068,"Saint-Laurent/Saint-Laurent"," 142","St. Laurent",46,1,171,8,7,46,1,280,512
24068,"Saint-Laurent/Saint-Laurent"," 143","St. Laurent",24,0,137,9,4,94,3,271,368
24068,"Saint-Laurent/Saint-Laurent"," 144A","St. Laurent",20,0,151,4,5,47,5,232,544
24068,"Saint-Laurent/Saint-Laurent"," 144B","St. Laurent",Merged with No./Fusionné avec le n°143,,,,,,,,208
24068,"Saint-Laurent/Saint-Laurent"," 145","St. Laurent",9,0,129,9,5,65,2,219,423
24068,"Saint-Laurent/Saint-Laurent"," 146","St. Laurent",15,0,121,7,3,58,1,205,434
24068,"Saint-Laurent/Saint-Laurent"," 147","St. Laurent",11,0,122,8,2,53,0,196,529
24068,"Saint-Laurent/Saint-Laurent"," 148","St. Laurent",22,1,107,15,7,53,1,206,432
24068,"Saint-Laurent/Saint-Laurent"," 149","St. Laurent",15,2,62,3,1,37,2,122,339
24068,"Saint-Laurent/Saint-Laurent"," 150","St. Laurent",21,0,144,9,0,50,1,225,488
24068,"Saint-Laurent/Saint-Laurent"," 151","St. Laurent",17,0,168,9,2,45,2,243,528
24068,"Saint-Laurent/Saint-Laurent"," 152","St. Laurent",17,0,108,2,2,45,1,175,396
24068,"Saint-Laurent/Saint-Laurent"," 400","St. Laurent",6,0,42,5,1,4,1,59,109
24068,"Saint-Laurent/Saint-Laurent"," 401","St. Laurent",11,1,82,5,0,12,0,111,149
24068,"Saint-Laurent/Saint-Laurent"," 402","St. Laurent",7,1,104,5,3,12,2,134,180
24068,"Saint-Laurent/Saint-Laurent"," 403","St. Laurent",23,0,118,8,4,33,4,190,321
24068,"Saint-Laurent/Saint-Laurent"," 404","St. Laurent",22,2,134,8,4,44,5,219,366
24068,"Saint-Laurent/Saint-Laurent"," 405","St. Laurent",27,0,124,12,5,29,1,198,316
24068,"Saint-Laurent/Saint-Laurent"," 406","St. Laurent",19,0,114,18,8,49,0,208,372
24068,"Saint-Laurent/Saint-Laurent"," 407","St. Laurent",6,1,109,12,3,14,7,152,198
24068,"Saint-Laurent/Saint-Laurent"," 408","St. Laurent",1,1,70,4,2,11,0,89,128
24068,"Saint-Laurent/Saint-Laurent"," 409","St. Laurent",7,0,40,0,3,32,1,83,185
24068,"Saint-Laurent/Saint-Laurent"," 410","St. Laurent",3,0,44,3,4,37,2,93,188
24068,"Saint-Laurent/Saint-Laurent"," 411","St. Laurent",6,1,68,0,0,52,0,127,234
24068,"Saint-Laurent/Saint-Laurent"," 412","St. Laurent",16,0,161,12,2,16,5,212,283
24068,"Saint-Laurent/Saint-Laurent"," 500","Mobile poll/Bureau itinérant",8,1,144,6,2,29,7,197,302
24068,"Saint-Laurent/Saint-Laurent"," 501","Mobile poll/Bureau itinérant",2,2,17,4,0,3,3,31,208
24068,"Saint-Laurent/Saint-Laurent"," 600","St. Laurent",31,0,209,14,2,41,2,299,
24068,"Saint-Laurent/Saint-Laurent"," 601","St. Laurent",46,0,249,13,10,45,6,369,
24068,"Saint-Laurent/Saint-Laurent"," 602","St. Laurent",52,0,270,30,6,79,4,441,
24068,"Saint-Laurent/Saint-Laurent"," 603","St. Laurent",87,0,380,36,14,71,5,593,
24068,"Saint-Laurent/Saint-Laurent"," 604","St. Laurent",97,5,548,47,21,88,15,821,
24068,"Saint-Laurent/Saint-Laurent"," 605","St. Laurent",69,0,406,37,24,78,8,622,
24068,"Saint-Laurent/Saint-Laurent"," 606","St. Laurent",133,2,353,52,29,77,1,647,
24068,"Saint-Laurent/Saint-Laurent"," 607","St. Laurent",68,2,458,26,12,362,4,932,
24068,"Saint-Laurent/Saint-Laurent"," 608","St. Laurent",70,2,508,14,11,272,7,884,
24068,"Saint-Laurent/Saint-Laurent"," 609","St. Laurent",139,1,756,53,26,249,3,1227,
24068,"Saint-Laurent/Saint-Laurent"," 610","St. Laurent",67,0,511,38,14,108,4,742,
24068,"Saint-Laurent/Saint-Laurent"," 611","St. Laurent",59,1,385,14,9,291,6,765,
24068,"Saint-Laurent/Saint-Laurent",,"Group 1/Groupe 1",9,1,52,0,0,5,7,74,78
24068,"Saint-Laurent/Saint-Laurent",,"Group 2/Groupe 2",198,2,671,40,39,213,17,1180,
