Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Aubin,Yvon Boivin,Maxime Rousseau,Dominic Therrien,Éric Trottier,André Valois,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 207","Trois-Rivières",51,73,0,60,1,10,4,199,329
24076,"Trois-Rivières/Trois-Rivières"," 208","Trois-Rivières",55,58,0,59,4,20,2,198,321
24076,"Trois-Rivières/Trois-Rivières"," 209","Trois-Rivières",43,61,0,28,2,18,1,153,308
24076,"Trois-Rivières/Trois-Rivières"," 210","Trois-Rivières",86,96,2,50,5,38,5,282,580
24076,"Trois-Rivières/Trois-Rivières"," 211","Trois-Rivières",65,90,1,53,6,37,1,253,464
24076,"Trois-Rivières/Trois-Rivières"," 212","Trois-Rivières",96,69,1,47,3,34,1,251,398
24076,"Trois-Rivières/Trois-Rivières"," 213","Trois-Rivières",73,80,0,36,2,38,3,232,358
24076,"Trois-Rivières/Trois-Rivières"," 214","Trois-Rivières",97,101,1,56,1,39,3,298,448
24076,"Trois-Rivières/Trois-Rivières"," 215","Trois-Rivières",87,94,0,60,3,29,6,279,414
24076,"Trois-Rivières/Trois-Rivières"," 216","Trois-Rivières",64,70,0,56,5,33,3,231,393
24076,"Trois-Rivières/Trois-Rivières"," 217","Trois-Rivières",82,88,4,75,6,48,2,305,530
24076,"Trois-Rivières/Trois-Rivières"," 218","Trois-Rivières",85,87,3,33,4,48,6,266,419
24076,"Trois-Rivières/Trois-Rivières"," 219","Trois-Rivières",60,44,1,42,5,50,1,203,402
24076,"Trois-Rivières/Trois-Rivières"," 220","Trois-Rivières",61,67,0,34,6,31,2,201,405
24076,"Trois-Rivières/Trois-Rivières"," 221A","Trois-Rivières",38,52,0,40,0,33,0,163,328
24076,"Trois-Rivières/Trois-Rivières"," 221B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°514,,,,,,,,6
