Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Kim Parke,Andrea Richardson-Lipon,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 96","Winnipeg",41,2,43,53,0,139,308
46005,"Elmwood--Transcona/Elmwood--Transcona"," 97","Winnipeg",77,4,65,83,0,229,408
46005,"Elmwood--Transcona/Elmwood--Transcona"," 98","Winnipeg",68,3,57,67,2,197,337
46005,"Elmwood--Transcona/Elmwood--Transcona"," 99","Winnipeg",55,4,59,84,0,202,386
46005,"Elmwood--Transcona/Elmwood--Transcona"," 100","Winnipeg",58,2,58,57,0,175,371
46005,"Elmwood--Transcona/Elmwood--Transcona"," 101A","Winnipeg",34,6,82,58,0,180,440
46005,"Elmwood--Transcona/Elmwood--Transcona"," 101B","Winnipeg",40,1,45,82,2,170,450
46005,"Elmwood--Transcona/Elmwood--Transcona"," 102A","Winnipeg",37,2,32,76,0,147,273
46005,"Elmwood--Transcona/Elmwood--Transcona"," 102B","Winnipeg",29,2,24,41,0,96,205
46005,"Elmwood--Transcona/Elmwood--Transcona"," 103","Winnipeg",55,1,71,87,0,214,402
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104A","Winnipeg",28,4,33,64,0,129,289
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104B","Mobile poll/Bureau itinérant",71,2,54,68,1,196,90
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°104B,,,,,,85
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105A","Winnipeg",36,4,39,62,2,143,289
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105B","Winnipeg",22,5,53,55,0,135,318
46005,"Elmwood--Transcona/Elmwood--Transcona"," 106","Winnipeg",70,4,60,106,0,240,467
46005,"Elmwood--Transcona/Elmwood--Transcona"," 107","Winnipeg",80,1,61,84,0,226,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 108","Winnipeg",50,3,48,61,0,162,335
46005,"Elmwood--Transcona/Elmwood--Transcona"," 109","Winnipeg",61,4,65,66,1,197,419
