Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Ferguson,Mylène Freeman,Jocelyn Gifford,Simon Marcil,Karl Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 102","Mirabel",22,123,9,76,56,2,288,437
24048,"Mirabel/Mirabel"," 103","Mirabel",21,55,1,61,42,3,183,390
24048,"Mirabel/Mirabel"," 104","Mirabel",40,86,9,73,103,5,316,620
24048,"Mirabel/Mirabel"," 105","Mirabel",22,71,5,65,57,5,225,445
24048,"Mirabel/Mirabel"," 106","Mirabel",20,65,10,60,54,2,211,431
24048,"Mirabel/Mirabel"," 107","Mirabel",17,100,0,59,55,1,232,371
24048,"Mirabel/Mirabel"," 108","Mirabel",12,81,4,62,52,4,215,368
24048,"Mirabel/Mirabel"," 109","Mirabel",25,73,4,61,71,2,236,417
24048,"Mirabel/Mirabel"," 110","Mirabel",30,60,3,93,52,8,246,458
24048,"Mirabel/Mirabel"," 111","Mirabel",13,61,4,84,51,8,221,450
24048,"Mirabel/Mirabel"," 112","Mirabel",21,63,8,95,64,8,259,529
24048,"Mirabel/Mirabel"," 113","Mirabel",24,96,3,97,62,3,285,470
24048,"Mirabel/Mirabel"," 114","Mirabel",19,89,4,103,53,5,273,475
24048,"Mirabel/Mirabel"," 115","Mirabel",24,69,3,66,78,6,246,457
24048,"Mirabel/Mirabel"," 116","Mirabel",13,66,7,53,39,4,182,367
24048,"Mirabel/Mirabel"," 117","Mirabel",24,81,4,57,52,4,222,400
24048,"Mirabel/Mirabel"," 118","Mirabel",20,65,3,70,54,8,220,397
24048,"Mirabel/Mirabel"," 119","Mirabel",24,59,2,56,45,5,191,320
24048,"Mirabel/Mirabel"," 120","Mirabel",16,89,7,97,76,3,288,589
24048,"Mirabel/Mirabel"," 121","Mirabel",32,59,3,38,59,3,194,372
24048,"Mirabel/Mirabel"," 122","Mirabel",35,108,9,81,107,4,344,651
24048,"Mirabel/Mirabel"," 123","Mirabel",35,82,4,94,74,2,291,432
24048,"Mirabel/Mirabel"," 124","Mirabel",37,104,10,113,107,0,371,544
24048,"Mirabel/Mirabel"," 125A","Mirabel",37,89,1,98,104,2,331,569
24048,"Mirabel/Mirabel"," 125B","Mirabel",17,97,4,93,87,6,304,537
24048,"Mirabel/Mirabel"," 126","Mirabel",32,86,5,87,78,0,288,457
24048,"Mirabel/Mirabel"," 127","Mirabel",20,74,3,90,77,5,269,471
24048,"Mirabel/Mirabel"," 128","Mirabel",30,73,5,59,68,6,241,444
24048,"Mirabel/Mirabel"," 129","Boisbriand",31,88,2,75,135,6,337,611
24048,"Mirabel/Mirabel"," 130","Mirabel",28,87,12,59,71,6,263,468
24048,"Mirabel/Mirabel"," 131","Mirabel",31,106,5,83,81,4,310,462
24048,"Mirabel/Mirabel"," 132","Mirabel",17,96,5,93,75,8,294,450
24048,"Mirabel/Mirabel"," 133","Mirabel",38,109,6,81,53,4,291,445
24048,"Mirabel/Mirabel"," 134","Saint-Joseph-du-Lac",16,88,9,76,71,8,268,434
24048,"Mirabel/Mirabel"," 135","Saint-Joseph-du-Lac",23,37,2,35,38,5,140,243
24048,"Mirabel/Mirabel"," 136","Saint-Joseph-du-Lac",22,62,3,80,60,6,233,414
24048,"Mirabel/Mirabel"," 137","Saint-Joseph-du-Lac",25,54,2,47,65,4,197,305
24048,"Mirabel/Mirabel"," 138","Saint-Joseph-du-Lac",28,62,2,64,66,2,224,433
24048,"Mirabel/Mirabel"," 139","Saint-Joseph-du-Lac",29,60,9,89,77,4,268,446
24048,"Mirabel/Mirabel"," 140","Saint-Joseph-du-Lac",23,62,7,59,74,4,229,392
24048,"Mirabel/Mirabel"," 141","Saint-Joseph-du-Lac",20,57,2,63,37,2,181,272
24048,"Mirabel/Mirabel"," 142","Saint-Joseph-du-Lac",9,55,4,49,32,3,152,296
24048,"Mirabel/Mirabel"," 143","Saint-Joseph-du-Lac",28,69,6,82,93,4,282,451
24048,"Mirabel/Mirabel"," 144","Saint-Joseph-du-Lac",19,43,3,46,55,6,172,285
24048,"Mirabel/Mirabel"," 145","Saint-Joseph-du-Lac",17,44,1,33,45,3,143,297
24048,"Mirabel/Mirabel"," 146","Saint-Joseph-du-Lac",8,26,4,37,29,2,106,274
24048,"Mirabel/Mirabel"," 147","Saint-Joseph-du-Lac",21,41,3,61,57,1,184,373
24048,"Mirabel/Mirabel"," 148","Saint-Joseph-du-Lac",7,44,4,47,43,3,148,275
24048,"Mirabel/Mirabel"," 149","Sainte-Marthe-sur-le-Lac",29,59,6,69,96,6,265,474
24048,"Mirabel/Mirabel"," 150","Sainte-Marthe-sur-le-Lac",17,54,2,71,84,2,230,414
24048,"Mirabel/Mirabel"," 151","Sainte-Marthe-sur-le-Lac",36,96,3,53,69,11,268,428
24048,"Mirabel/Mirabel"," 152","Sainte-Marthe-sur-le-Lac",27,74,0,70,71,8,250,415
24048,"Mirabel/Mirabel"," 153","Sainte-Marthe-sur-le-Lac",14,59,8,80,66,2,229,481
24048,"Mirabel/Mirabel"," 154","Sainte-Marthe-sur-le-Lac",25,64,5,61,76,3,234,401
24048,"Mirabel/Mirabel"," 155","Sainte-Marthe-sur-le-Lac",19,41,2,65,74,0,201,400
24048,"Mirabel/Mirabel"," 156","Sainte-Marthe-sur-le-Lac",33,86,6,56,92,9,282,448
24048,"Mirabel/Mirabel"," 157","Sainte-Marthe-sur-le-Lac",20,58,11,74,86,4,253,486
24048,"Mirabel/Mirabel"," 158","Sainte-Marthe-sur-le-Lac",18,62,2,76,67,8,233,451
24048,"Mirabel/Mirabel"," 159","Sainte-Marthe-sur-le-Lac",37,85,3,105,125,5,360,600
24048,"Mirabel/Mirabel"," 160","Sainte-Marthe-sur-le-Lac",17,87,9,92,82,7,294,526
24048,"Mirabel/Mirabel"," 161","Sainte-Marthe-sur-le-Lac",22,62,2,87,57,6,236,417
24048,"Mirabel/Mirabel"," 162","Sainte-Marthe-sur-le-Lac",27,65,12,90,63,2,259,447
24048,"Mirabel/Mirabel"," 163","Sainte-Marthe-sur-le-Lac",10,72,3,81,63,7,236,510
24048,"Mirabel/Mirabel"," 164","Sainte-Marthe-sur-le-Lac",9,41,4,59,49,4,166,319
24048,"Mirabel/Mirabel"," 165","Sainte-Marthe-sur-le-Lac",11,57,3,79,67,5,222,450
24048,"Mirabel/Mirabel"," 166","Sainte-Marthe-sur-le-Lac",37,95,9,54,89,4,288,486
24048,"Mirabel/Mirabel"," 167","Sainte-Marthe-sur-le-Lac",32,59,7,90,117,5,310,527
24048,"Mirabel/Mirabel"," 168","Sainte-Marthe-sur-le-Lac",11,80,2,70,90,6,259,495
24048,"Mirabel/Mirabel"," 169","Sainte-Marthe-sur-le-Lac",18,62,12,82,50,5,229,397
24048,"Mirabel/Mirabel"," 170","Sainte-Marthe-sur-le-Lac",30,35,2,75,57,8,207,425
24048,"Mirabel/Mirabel"," 171","Sainte-Marthe-sur-le-Lac",20,60,1,79,70,7,237,403
24048,"Mirabel/Mirabel"," 172","Sainte-Marthe-sur-le-Lac",16,42,7,83,82,2,232,447
24048,"Mirabel/Mirabel"," 173","Sainte-Marthe-sur-le-Lac",18,64,15,69,66,8,240,489
24048,"Mirabel/Mirabel"," 174","Sainte-Marthe-sur-le-Lac",22,64,3,90,84,8,271,578
24048,"Mirabel/Mirabel"," 175","Sainte-Marthe-sur-le-Lac",20,60,14,71,79,8,252,462
24048,"Mirabel/Mirabel"," 176","Sainte-Marthe-sur-le-Lac",13,52,8,83,60,3,219,440
24048,"Mirabel/Mirabel"," 177","Sainte-Marthe-sur-le-Lac",28,57,4,73,74,4,240,439
24048,"Mirabel/Mirabel"," 178","Pointe-Calumet",27,55,3,91,60,4,240,448
24048,"Mirabel/Mirabel"," 179","Pointe-Calumet",22,60,2,66,46,10,206,397
24048,"Mirabel/Mirabel"," 180","Pointe-Calumet",11,24,3,45,60,2,145,306
24048,"Mirabel/Mirabel"," 181","Pointe-Calumet",8,38,3,51,38,6,144,275
24048,"Mirabel/Mirabel"," 182","Pointe-Calumet",8,43,3,59,23,3,139,271
24048,"Mirabel/Mirabel"," 183","Pointe-Calumet",7,33,7,41,34,2,124,289
24048,"Mirabel/Mirabel"," 184","Pointe-Calumet",15,54,7,73,44,7,200,365
24048,"Mirabel/Mirabel"," 185","Pointe-Calumet",16,41,2,75,44,0,178,361
24048,"Mirabel/Mirabel"," 186","Pointe-Calumet",12,65,5,75,38,8,203,343
24048,"Mirabel/Mirabel"," 187","Pointe-Calumet",13,49,7,79,64,7,219,397
24048,"Mirabel/Mirabel"," 188","Pointe-Calumet",12,41,3,66,41,7,170,349
24048,"Mirabel/Mirabel"," 189","Pointe-Calumet",11,41,2,63,33,6,156,293
24048,"Mirabel/Mirabel"," 190","Pointe-Calumet",23,55,5,50,49,1,183,360
24048,"Mirabel/Mirabel"," 191","Pointe-Calumet",14,46,4,58,40,5,167,338
24048,"Mirabel/Mirabel"," 192","Pointe-Calumet",7,30,5,74,24,1,141,280
24048,"Mirabel/Mirabel"," 193","Oka",17,44,4,34,41,2,142,255
24048,"Mirabel/Mirabel"," 194","Oka",13,68,2,46,57,2,188,302
24048,"Mirabel/Mirabel"," 195","Oka",17,51,7,44,24,6,149,250
24048,"Mirabel/Mirabel"," 196","Oka",13,56,4,53,36,4,166,292
24048,"Mirabel/Mirabel"," 197","Oka",9,63,2,44,62,0,180,333
24048,"Mirabel/Mirabel"," 198","Oka",19,73,6,37,100,2,237,647
24048,"Mirabel/Mirabel"," 199","Pointe-aux-Anglais--Oka",8,70,0,52,53,1,184,315
24048,"Mirabel/Mirabel"," 200","Oka",20,66,3,69,46,1,205,344
24048,"Mirabel/Mirabel"," 201","Oka",8,73,13,47,47,2,190,433
24048,"Mirabel/Mirabel"," 202","Oka",13,61,7,37,43,2,163,381
24048,"Mirabel/Mirabel"," 203","Saint-Placide",14,64,3,66,54,4,205,352
24048,"Mirabel/Mirabel"," 204","Saint-Placide",16,60,3,52,50,3,184,391
24048,"Mirabel/Mirabel"," 205","Saint-Placide",19,92,5,74,39,0,229,420
24048,"Mirabel/Mirabel"," 206","Saint-Placide",14,52,5,45,48,4,168,285
24048,"Mirabel/Mirabel"," 500A","Mobile poll/Bureau itinérant",10,13,3,4,26,2,58,81
24048,"Mirabel/Mirabel"," 500B","Mobile poll/Bureau itinérant",12,13,3,24,52,4,108,32
24048,"Mirabel/Mirabel"," 501A","Mobile poll/Bureau itinérant",6,6,1,13,22,4,52,66
24048,"Mirabel/Mirabel"," 501B","Mirabel",Merged with No./Fusionné avec le n°37,,,,,,,21
24048,"Mirabel/Mirabel"," 502","Mobile poll/Bureau itinérant",2,5,0,13,17,2,39,83
24048,"Mirabel/Mirabel"," 600","Saint-Colomban",115,222,16,246,194,7,800,
24048,"Mirabel/Mirabel"," 601","Saint-Colomban",88,246,12,233,176,6,761,
24048,"Mirabel/Mirabel"," 602","Mirabel",113,275,19,221,180,11,819,
24048,"Mirabel/Mirabel"," 603","Senneville",76,234,10,171,170,11,672,
24048,"Mirabel/Mirabel"," 604","Sainte-Anne-des-Plaines",102,197,13,244,184,20,760,
24048,"Mirabel/Mirabel"," 605","Sainte-Anne-des-Plaines",97,229,9,259,170,20,784,
24048,"Mirabel/Mirabel"," 606","Mirabel",92,322,17,227,163,11,832,
24048,"Mirabel/Mirabel"," 607","Mirabel",106,293,17,217,160,13,806,
24048,"Mirabel/Mirabel"," 608","Mirabel",93,215,7,160,135,4,614,
24048,"Mirabel/Mirabel"," 609","Mirabel",119,357,12,239,171,20,918,
24048,"Mirabel/Mirabel"," 610","Mirabel",37,81,9,80,51,6,264,
24048,"Mirabel/Mirabel"," 611","Pointe-aux-Anglais--Oka",41,110,3,78,41,6,279,
24048,"Mirabel/Mirabel"," 612","Pointe-Calumet",73,250,9,129,154,7,622,
24048,"Mirabel/Mirabel"," 613","Saint-Joseph-du-Lac",42,126,6,89,92,8,363,
24048,"Mirabel/Mirabel"," 614","Saint-Joseph-du-Lac",26,122,7,100,108,11,374,
24048,"Mirabel/Mirabel"," 615","Sainte-Marthe-sur-le-Lac",157,380,16,309,326,15,1203,
24048,"Mirabel/Mirabel"," 616","Sainte-Marthe-sur-le-Lac",136,295,25,281,250,18,1005,
24048,"Mirabel/Mirabel"," 617","Pointe-Calumet",38,221,7,186,127,9,588,
24048,"Mirabel/Mirabel",,"Group 1/Groupe 1",20,5,3,6,45,10,89,59
24048,"Mirabel/Mirabel",,"Group 2/Groupe 2",61,158,8,79,79,17,402,
