Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irma DeVries,Roger Fuhr,Stephen McCotter,John Nater,Ethan Rabidoux,Nicole Ramsdale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 24","Arthur",0,0,52,90,30,4,0,176,369
35083,"Perth--Wellington/Perth--Wellington"," 25","Arthur",0,0,45,106,22,12,2,187,389
35083,"Perth--Wellington/Perth--Wellington"," 26","Wellington North",4,0,24,84,17,5,0,134,272
35083,"Perth--Wellington/Perth--Wellington"," 27","Mapleton",8,2,69,156,29,10,0,274,446
35083,"Perth--Wellington/Perth--Wellington"," 28","Alma",0,0,82,146,31,6,0,265,469
35083,"Perth--Wellington/Perth--Wellington"," 29","Mapleton",5,3,69,110,19,10,3,219,444
35083,"Perth--Wellington/Perth--Wellington"," 30","Drayton",3,0,28,83,7,1,0,122,271
35083,"Perth--Wellington/Perth--Wellington"," 31","Mapleton",4,0,46,66,15,8,0,139,262
35083,"Perth--Wellington/Perth--Wellington"," 32","Drayton",4,1,34,108,28,7,0,182,295
35083,"Perth--Wellington/Perth--Wellington"," 33A","Mapleton",5,2,63,118,19,4,1,212,429
35083,"Perth--Wellington/Perth--Wellington"," 33B","Mapleton",6,0,32,130,21,4,1,194,452
35083,"Perth--Wellington/Perth--Wellington"," 34","Mapleton",2,1,13,44,7,2,0,69,303
35083,"Perth--Wellington/Perth--Wellington"," 35","Minto",7,1,87,130,14,5,0,244,488
35083,"Perth--Wellington/Perth--Wellington"," 36","Minto",5,0,83,112,29,5,0,234,490
35083,"Perth--Wellington/Perth--Wellington"," 37","Minto",10,0,72,84,31,11,0,208,462
35083,"Perth--Wellington/Perth--Wellington"," 38","Minto",6,0,88,118,22,10,0,244,459
35083,"Perth--Wellington/Perth--Wellington"," 39","North Perth",10,0,69,110,37,5,0,231,449
35083,"Perth--Wellington/Perth--Wellington"," 40","Minto",6,2,76,82,31,9,0,206,457
35083,"Perth--Wellington/Perth--Wellington"," 41","Minto",3,0,83,107,30,8,0,231,402
35083,"Perth--Wellington/Perth--Wellington"," 42","Minto",1,0,93,116,21,6,2,239,401
35083,"Perth--Wellington/Perth--Wellington"," 43","Minto",4,2,90,119,30,9,2,256,456
35083,"Perth--Wellington/Perth--Wellington"," 44","Minto",3,1,119,111,22,10,0,266,420
35083,"Perth--Wellington/Perth--Wellington"," 45","Minto",20,0,69,111,20,11,0,231,434
35083,"Perth--Wellington/Perth--Wellington"," 46","Minto",7,3,91,160,32,13,2,308,576
35083,"Perth--Wellington/Perth--Wellington"," 47","Minto",3,1,121,108,48,13,0,294,543
35083,"Perth--Wellington/Perth--Wellington"," 48","Minto",4,2,61,108,20,5,0,200,332
35083,"Perth--Wellington/Perth--Wellington"," 49","North Perth",10,0,70,122,22,3,0,227,375
35083,"Perth--Wellington/Perth--Wellington"," 50","North Perth",6,1,34,108,21,4,0,174,301
35083,"Perth--Wellington/Perth--Wellington"," 51","North Perth",3,0,25,79,14,5,0,126,211
35083,"Perth--Wellington/Perth--Wellington"," 52","North Perth",5,0,66,82,31,4,0,188,405
35083,"Perth--Wellington/Perth--Wellington"," 53","North Perth",2,0,85,78,19,3,2,189,370
35083,"Perth--Wellington/Perth--Wellington"," 54","North Perth",0,1,58,96,19,8,2,184,320
35083,"Perth--Wellington/Perth--Wellington"," 55","North Perth",4,0,78,96,16,4,0,198,377
35083,"Perth--Wellington/Perth--Wellington"," 56","North Perth",3,0,85,83,30,13,0,214,391
35083,"Perth--Wellington/Perth--Wellington"," 57","North Perth",4,0,82,124,20,5,3,238,421
35083,"Perth--Wellington/Perth--Wellington"," 58","North Perth",1,0,58,122,14,1,0,196,391
35083,"Perth--Wellington/Perth--Wellington"," 59","North Perth",3,0,65,84,25,5,0,182,344
35083,"Perth--Wellington/Perth--Wellington"," 60","North Perth",5,0,76,86,22,4,1,194,388
35083,"Perth--Wellington/Perth--Wellington"," 61","North Perth",4,2,50,91,13,7,2,169,308
35083,"Perth--Wellington/Perth--Wellington"," 62","North Perth",7,1,78,76,29,6,0,197,377
35083,"Perth--Wellington/Perth--Wellington"," 63","North Perth",3,0,68,95,19,6,0,191,388
35083,"Perth--Wellington/Perth--Wellington"," 64","North Perth",3,0,71,116,17,6,1,214,363
35083,"Perth--Wellington/Perth--Wellington"," 65","North Perth",3,0,71,146,23,3,1,247,416
35083,"Perth--Wellington/Perth--Wellington"," 66","North Perth",3,0,50,106,11,3,0,173,321
35083,"Perth--Wellington/Perth--Wellington"," 67","North Perth",5,0,39,79,7,6,0,136,390
35083,"Perth--Wellington/Perth--Wellington"," 68","North Perth",8,0,35,114,6,3,1,167,307
35083,"Perth--Wellington/Perth--Wellington"," 69","North Perth",4,0,40,99,22,6,1,172,300
35083,"Perth--Wellington/Perth--Wellington"," 70","North Perth",4,1,55,137,13,11,0,221,362
35083,"Perth--Wellington/Perth--Wellington"," 71","North Perth",6,0,48,139,22,4,0,219,334
35083,"Perth--Wellington/Perth--Wellington"," 72","Perth East",6,1,28,67,15,5,1,123,433
35083,"Perth--Wellington/Perth--Wellington"," 73","Perth East",4,0,23,62,8,4,1,102,296
35083,"Perth--Wellington/Perth--Wellington"," 74","Perth East",2,0,3,9,1,2,0,17,200
35083,"Perth--Wellington/Perth--Wellington"," 75","Millbank",2,0,31,71,18,1,0,123,393
35083,"Perth--Wellington/Perth--Wellington"," 76","Perth East",2,1,7,35,10,2,0,57,157
35083,"Perth--Wellington/Perth--Wellington"," 77","Milverton",4,0,65,75,25,6,0,175,290
35083,"Perth--Wellington/Perth--Wellington"," 78","Milverton",1,1,58,82,16,4,0,162,289
35083,"Perth--Wellington/Perth--Wellington"," 79","Milverton",6,1,67,119,10,4,2,209,326
35083,"Perth--Wellington/Perth--Wellington"," 80","Mapleton",2,0,53,78,17,1,1,152,319
35083,"Perth--Wellington/Perth--Wellington"," 81","Mapleton",4,0,53,101,12,4,0,174,315
35083,"Perth--Wellington/Perth--Wellington"," 82","Mapleton",10,3,77,117,27,9,0,243,416
35083,"Perth--Wellington/Perth--Wellington"," 83","Mapleton",1,0,39,97,17,1,1,156,373
35083,"Perth--Wellington/Perth--Wellington"," 84","Mapleton",0,0,23,40,9,0,0,72,230
35083,"Perth--Wellington/Perth--Wellington"," 85","Mapleton",1,0,19,32,8,4,1,65,295
35083,"Perth--Wellington/Perth--Wellington"," 86","North Perth",0,0,51,162,46,7,0,266,453
35083,"Perth--Wellington/Perth--Wellington"," 87","West Perth",7,0,36,110,28,7,0,188,332
35083,"Perth--Wellington/Perth--Wellington"," 88","West Perth",4,2,41,121,22,2,1,193,326
35083,"Perth--Wellington/Perth--Wellington"," 89","West Perth",2,1,30,103,11,3,1,151,327
35083,"Perth--Wellington/Perth--Wellington"," 90","Perth East",4,0,50,72,23,5,0,154,283
35083,"Perth--Wellington/Perth--Wellington"," 91","Perth East",0,0,42,98,23,2,0,165,281
35083,"Perth--Wellington/Perth--Wellington"," 92","Perth East",3,0,59,106,25,3,0,196,316
35083,"Perth--Wellington/Perth--Wellington"," 93","Perth East",2,0,30,41,6,2,0,81,202
35083,"Perth--Wellington/Perth--Wellington"," 94","Perth East",2,0,93,92,21,4,1,213,358
35083,"Perth--Wellington/Perth--Wellington"," 95","Perth East",6,3,65,91,23,6,0,194,361
35083,"Perth--Wellington/Perth--Wellington"," 96","Perth East",4,0,84,97,22,9,1,217,376
35083,"Perth--Wellington/Perth--Wellington"," 97","Perth East",2,1,117,143,55,5,3,326,529
35083,"Perth--Wellington/Perth--Wellington"," 98","Perth East",1,0,27,34,19,1,0,82,189
35083,"Perth--Wellington/Perth--Wellington"," 99","Perth East",2,4,81,126,42,2,0,257,432
35083,"Perth--Wellington/Perth--Wellington"," 100","Perth East",1,2,40,110,16,8,0,177,272
35083,"Perth--Wellington/Perth--Wellington"," 101","Perth East",3,2,48,51,16,3,1,124,218
35083,"Perth--Wellington/Perth--Wellington"," 102","Perth East",1,0,33,61,16,3,1,115,239
35083,"Perth--Wellington/Perth--Wellington"," 103","Stratford",7,1,104,67,45,1,1,226,493
35083,"Perth--Wellington/Perth--Wellington"," 104","Stratford",1,1,74,44,24,1,0,145,344
35083,"Perth--Wellington/Perth--Wellington"," 105","Stratford",2,1,157,77,36,8,1,282,510
35083,"Perth--Wellington/Perth--Wellington"," 106","Stratford",1,0,114,62,34,3,1,215,381
35083,"Perth--Wellington/Perth--Wellington"," 107","Stratford",0,1,87,62,43,3,2,198,404
35083,"Perth--Wellington/Perth--Wellington"," 108","Stratford",2,0,104,79,21,1,0,207,405
35083,"Perth--Wellington/Perth--Wellington"," 109","Stratford",0,1,126,102,37,5,0,271,480
35083,"Perth--Wellington/Perth--Wellington"," 110","Stratford",0,0,57,28,21,3,0,109,265
35083,"Perth--Wellington/Perth--Wellington"," 111","Stratford",1,0,53,37,35,3,0,129,287
35083,"Perth--Wellington/Perth--Wellington"," 112","Stratford",2,2,171,107,50,13,0,345,632
35083,"Perth--Wellington/Perth--Wellington"," 113","Stratford",4,0,146,102,56,7,0,315,589
35083,"Perth--Wellington/Perth--Wellington"," 114","Stratford",0,1,97,58,31,4,1,192,422
35083,"Perth--Wellington/Perth--Wellington"," 115","Stratford",0,2,112,65,28,4,0,211,385
35083,"Perth--Wellington/Perth--Wellington"," 116","Stratford",3,0,106,59,54,1,1,224,442
35083,"Perth--Wellington/Perth--Wellington"," 117","Stratford",2,0,126,48,33,2,1,212,431
35083,"Perth--Wellington/Perth--Wellington"," 118","Stratford",0,0,95,45,49,7,2,198,359
35083,"Perth--Wellington/Perth--Wellington"," 119","Stratford",2,0,97,74,36,8,0,217,405
35083,"Perth--Wellington/Perth--Wellington"," 120","Stratford",3,1,89,57,28,5,0,183,384
35083,"Perth--Wellington/Perth--Wellington"," 121","Stratford",5,1,86,65,63,6,1,227,448
35083,"Perth--Wellington/Perth--Wellington"," 122","Stratford",1,2,133,49,51,9,1,246,473
35083,"Perth--Wellington/Perth--Wellington"," 123","Stratford",2,2,93,51,37,5,0,190,474
35083,"Perth--Wellington/Perth--Wellington"," 124","Stratford",1,0,113,108,17,0,0,239,466
35083,"Perth--Wellington/Perth--Wellington"," 125","Perth East",3,0,44,76,13,6,0,142,267
35083,"Perth--Wellington/Perth--Wellington"," 126","Perth East",4,3,115,151,57,6,1,337,559
35083,"Perth--Wellington/Perth--Wellington"," 127","Sebringville",4,2,107,154,42,9,0,318,466
35083,"Perth--Wellington/Perth--Wellington"," 128","West Perth",4,1,31,107,24,7,0,174,312
35083,"Perth--Wellington/Perth--Wellington"," 129","West Perth",8,0,26,71,20,4,1,130,264
35083,"Perth--Wellington/Perth--Wellington"," 130","West Perth",3,1,59,120,23,4,0,210,375
35083,"Perth--Wellington/Perth--Wellington"," 131","West Perth",1,0,17,73,10,0,0,101,212
35083,"Perth--Wellington/Perth--Wellington"," 132","Mitchell",1,2,42,99,15,2,0,161,339
35083,"Perth--Wellington/Perth--Wellington"," 133","Mitchell",8,1,40,89,21,0,1,160,316
35083,"Perth--Wellington/Perth--Wellington"," 134","Mitchell",6,0,71,126,28,2,0,233,435
35083,"Perth--Wellington/Perth--Wellington"," 135","Mitchell",2,2,59,116,16,4,1,200,344
35083,"Perth--Wellington/Perth--Wellington"," 136","Mitchell",4,0,61,105,24,0,0,194,350
35083,"Perth--Wellington/Perth--Wellington"," 137","Mitchell",7,0,68,94,27,1,1,198,357
35083,"Perth--Wellington/Perth--Wellington"," 138","Mitchell",1,2,70,96,24,6,0,199,370
35083,"Perth--Wellington/Perth--Wellington"," 139","Mitchell",4,2,50,96,22,1,2,177,331
35083,"Perth--Wellington/Perth--Wellington"," 140","Mitchell",0,0,75,136,25,2,0,238,445
35083,"Perth--Wellington/Perth--Wellington"," 141","Dublin",2,2,57,104,19,2,1,187,306
35083,"Perth--Wellington/Perth--Wellington"," 142","West Perth",4,0,49,128,22,3,0,206,326
35083,"Perth--Wellington/Perth--Wellington"," 143","West Perth",2,0,18,73,16,3,0,112,175
35083,"Perth--Wellington/Perth--Wellington"," 144","Perth South",2,4,44,67,23,3,0,143,241
35083,"Perth--Wellington/Perth--Wellington"," 145","Perth South",1,0,78,129,33,3,0,244,388
35083,"Perth--Wellington/Perth--Wellington"," 146","Perth South",9,7,98,166,41,3,0,324,531
35083,"Perth--Wellington/Perth--Wellington"," 147","Stratford",2,1,102,67,27,2,1,202,255
35083,"Perth--Wellington/Perth--Wellington"," 148A","Stratford",Merged with No./Fusionné avec le n°147,,,,,,,,104
35083,"Perth--Wellington/Perth--Wellington"," 148B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,147
35083,"Perth--Wellington/Perth--Wellington"," 149","Stratford",2,0,157,36,34,6,1,236,433
35083,"Perth--Wellington/Perth--Wellington"," 150","Stratford",0,2,131,51,31,12,0,227,411
35083,"Perth--Wellington/Perth--Wellington"," 151","Stratford",1,0,108,54,46,6,0,215,415
35083,"Perth--Wellington/Perth--Wellington"," 152","Stratford",2,0,71,26,57,6,2,164,357
35083,"Perth--Wellington/Perth--Wellington"," 153","Stratford",2,0,118,73,49,9,1,252,428
35083,"Perth--Wellington/Perth--Wellington"," 154","Stratford",1,2,137,58,38,5,1,242,428
35083,"Perth--Wellington/Perth--Wellington"," 155","Stratford",1,0,133,44,45,11,2,236,432
35083,"Perth--Wellington/Perth--Wellington"," 156","Stratford",1,1,119,46,41,2,1,211,409
35083,"Perth--Wellington/Perth--Wellington"," 157","Stratford",1,1,90,48,70,7,2,219,423
35083,"Perth--Wellington/Perth--Wellington"," 158","Stratford",1,2,82,41,60,0,0,186,405
35083,"Perth--Wellington/Perth--Wellington"," 159","Stratford",2,4,74,58,58,6,0,202,404
35083,"Perth--Wellington/Perth--Wellington"," 160","Stratford",4,0,101,59,48,5,2,219,410
35083,"Perth--Wellington/Perth--Wellington"," 161","Stratford",2,1,120,41,45,7,1,217,438
35083,"Perth--Wellington/Perth--Wellington"," 162","Stratford",2,1,94,30,55,6,1,189,424
35083,"Perth--Wellington/Perth--Wellington"," 163","Stratford",1,2,94,46,57,3,0,203,383
35083,"Perth--Wellington/Perth--Wellington"," 164","Stratford",2,1,89,52,55,10,1,210,458
35083,"Perth--Wellington/Perth--Wellington"," 165","Stratford",6,2,75,50,68,6,3,210,454
35083,"Perth--Wellington/Perth--Wellington"," 166","Stratford",8,2,115,59,74,6,1,265,515
35083,"Perth--Wellington/Perth--Wellington"," 167","Stratford",0,0,92,59,42,8,0,201,378
35083,"Perth--Wellington/Perth--Wellington"," 168","Stratford",4,2,96,65,41,8,2,218,420
35083,"Perth--Wellington/Perth--Wellington"," 169","Stratford",2,2,88,58,62,2,2,216,452
35083,"Perth--Wellington/Perth--Wellington"," 170","Stratford",2,0,108,72,66,5,0,253,464
35083,"Perth--Wellington/Perth--Wellington"," 171","Stratford",0,0,105,44,60,9,1,219,427
35083,"Perth--Wellington/Perth--Wellington"," 172","Stratford",6,1,120,77,60,11,0,275,489
35083,"Perth--Wellington/Perth--Wellington"," 173","Stratford",2,1,107,78,39,6,0,233,463
35083,"Perth--Wellington/Perth--Wellington"," 174","Stratford",3,2,118,63,75,3,3,267,488
35083,"Perth--Wellington/Perth--Wellington"," 175","Stratford",1,1,78,77,59,7,0,223,392
35083,"Perth--Wellington/Perth--Wellington"," 176","Stratford",1,3,115,96,48,5,2,270,520
35083,"Perth--Wellington/Perth--Wellington"," 177","Stratford",4,0,108,76,27,0,1,216,429
35083,"Perth--Wellington/Perth--Wellington"," 178","Stratford",4,2,112,77,38,2,0,235,425
35083,"Perth--Wellington/Perth--Wellington"," 179","Perth South",2,4,67,93,25,5,0,196,370
35083,"Perth--Wellington/Perth--Wellington"," 180","Perth South",2,1,56,79,17,10,0,165,307
35083,"Perth--Wellington/Perth--Wellington"," 181","Perth South",4,1,53,89,24,6,0,177,316
35083,"Perth--Wellington/Perth--Wellington"," 182","St. Marys",3,0,72,71,23,1,0,170,354
35083,"Perth--Wellington/Perth--Wellington"," 183","St. Marys",2,1,135,76,47,10,2,273,531
35083,"Perth--Wellington/Perth--Wellington"," 184","St. Marys",4,1,101,90,45,5,3,249,451
35083,"Perth--Wellington/Perth--Wellington"," 185","St. Marys",0,0,95,98,24,2,0,219,465
35083,"Perth--Wellington/Perth--Wellington"," 186","St. Marys",1,2,65,74,24,6,0,172,309
35083,"Perth--Wellington/Perth--Wellington"," 187","St. Marys",3,2,75,96,39,9,1,225,420
35083,"Perth--Wellington/Perth--Wellington"," 188","St. Marys",1,1,75,43,33,10,0,163,364
35083,"Perth--Wellington/Perth--Wellington"," 189","St. Marys",0,0,117,77,33,8,0,235,443
35083,"Perth--Wellington/Perth--Wellington"," 190","St. Marys",2,0,120,120,35,6,0,283,511
35083,"Perth--Wellington/Perth--Wellington"," 191","St. Marys",0,0,65,59,34,5,0,163,345
35083,"Perth--Wellington/Perth--Wellington"," 192","St. Marys",2,0,103,74,49,1,0,229,486
35083,"Perth--Wellington/Perth--Wellington"," 193","St. Marys",5,1,125,85,44,5,0,265,482
35083,"Perth--Wellington/Perth--Wellington"," 194","St. Marys",6,1,102,107,37,12,1,266,499
35083,"Perth--Wellington/Perth--Wellington"," 195","Stratford",0,2,80,47,44,8,0,181,338
35083,"Perth--Wellington/Perth--Wellington"," 196","Milverton",3,0,35,75,29,1,2,145,299
35083,"Perth--Wellington/Perth--Wellington"," 400","Stratford",2,2,23,30,4,0,0,61,87
35083,"Perth--Wellington/Perth--Wellington"," 401","Wellington North",2,3,19,36,3,1,3,67,104
35083,"Perth--Wellington/Perth--Wellington"," 500","Mobile poll/Bureau itinérant",8,0,33,52,12,4,1,110,223
35083,"Perth--Wellington/Perth--Wellington"," 501","Mobile poll/Bureau itinérant",3,1,24,49,10,1,0,88,176
35083,"Perth--Wellington/Perth--Wellington"," 502","Mobile poll/Bureau itinérant",5,4,38,71,9,2,5,134,279
35083,"Perth--Wellington/Perth--Wellington"," 503","Mobile poll/Bureau itinérant",3,2,40,37,8,1,2,93,141
35083,"Perth--Wellington/Perth--Wellington"," 504","Mobile poll/Bureau itinérant",6,3,95,82,22,5,4,217,215
35083,"Perth--Wellington/Perth--Wellington"," 505","Mobile poll/Bureau itinérant",3,1,31,36,9,1,1,82,169
35083,"Perth--Wellington/Perth--Wellington"," 506","Mobile poll/Bureau itinérant",1,0,23,19,4,0,0,47,121
35083,"Perth--Wellington/Perth--Wellington"," 507","Mobile poll/Bureau itinérant",1,2,47,35,6,2,5,98,217
35083,"Perth--Wellington/Perth--Wellington"," 508","Mobile poll/Bureau itinérant",1,1,48,52,10,1,0,113,136
35083,"Perth--Wellington/Perth--Wellington"," 509","Mobile poll/Bureau itinérant",3,3,80,74,6,7,1,174,259
35083,"Perth--Wellington/Perth--Wellington"," 600","Wellington North",14,2,256,457,104,28,1,862,
35083,"Perth--Wellington/Perth--Wellington"," 601","Minto",12,2,112,214,44,10,1,395,
35083,"Perth--Wellington/Perth--Wellington"," 602","Minto",9,0,183,218,49,18,1,478,
35083,"Perth--Wellington/Perth--Wellington"," 603","Wellington North",7,3,201,342,44,16,2,615,
35083,"Perth--Wellington/Perth--Wellington"," 604","Mapleton",14,3,188,299,52,15,1,572,
35083,"Perth--Wellington/Perth--Wellington"," 605","North Perth",17,1,272,431,111,20,3,855,
35083,"Perth--Wellington/Perth--Wellington"," 606","North Perth",1,1,100,150,24,10,1,287,
35083,"Perth--Wellington/Perth--Wellington"," 607","West Perth",12,2,284,515,115,20,2,950,
35083,"Perth--Wellington/Perth--Wellington"," 608","Perth East",3,0,128,227,99,14,0,471,
35083,"Perth--Wellington/Perth--Wellington"," 609","Stratford",9,6,584,380,267,26,1,1273,
35083,"Perth--Wellington/Perth--Wellington"," 610","Stratford",11,1,550,338,184,24,3,1111,
35083,"Perth--Wellington/Perth--Wellington"," 611","Stratford",0,5,257,157,175,9,2,605,
35083,"Perth--Wellington/Perth--Wellington"," 612","Stratford",4,3,353,236,167,8,3,774,
35083,"Perth--Wellington/Perth--Wellington"," 613","Perth South",5,4,213,236,72,19,1,550,
35083,"Perth--Wellington/Perth--Wellington"," 614","St. Marys",6,1,401,371,155,19,0,953,
35083,"Perth--Wellington/Perth--Wellington",,"Group 1/Groupe 1",0,0,48,30,13,0,2,93,63
35083,"Perth--Wellington/Perth--Wellington",,"Group 2/Groupe 2",14,4,608,430,329,40,18,1443,
