Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Garry Begg,Nina Grewal,Ken Hardie,Richard Hosein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 83A","Surrey",22,26,52,5,0,105,283
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 83B","Surrey",23,37,42,3,2,107,276
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 84","Surrey",24,35,60,6,0,125,322
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 85","Surrey",29,39,54,2,0,124,383
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86A","Surrey",42,47,95,2,0,186,409
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86B","Surrey",24,53,104,1,4,186,433
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 87","Surrey",50,62,86,3,0,201,359
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 88","Surrey",38,76,76,2,0,192,320
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89","Surrey",23,27,77,1,0,128,297
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 90A","Surrey",12,30,60,2,0,104,276
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 90B","Surrey",27,30,48,4,0,109,267
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 91","Surrey",64,63,133,13,6,279,515
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 92","Surrey",36,54,128,7,1,226,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 93","Surrey",30,70,109,5,2,216,470
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 94A","Surrey",21,38,68,2,0,129,262
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 94B","Surrey",16,40,53,4,0,113,263
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 95","Surrey",40,74,91,5,0,210,397
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 96","Surrey",35,45,85,2,0,167,374
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97","Surrey",52,76,97,6,0,231,504
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 98","Surrey",46,61,111,4,1,223,413
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99A","Surrey",24,62,53,6,0,145,269
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99B","Surrey",25,61,57,3,0,146,250
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 100","Surrey",53,74,104,5,1,237,459
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 101A","Surrey",35,66,71,3,0,175,391
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 101B","Surrey",33,42,59,1,2,137,331
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 102","Surrey",35,63,98,2,0,198,400
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103","Surrey",28,71,150,3,1,253,469
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 104","Surrey",26,75,107,9,1,218,376
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 105","Surrey",25,52,77,1,0,155,352
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 106","Surrey",40,63,153,7,3,266,516
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 107","Surrey",51,74,123,4,0,252,481
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 108","Surrey",40,42,142,4,1,229,455
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 109","Surrey",25,39,120,8,1,193,425
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110","Surrey",42,25,98,3,2,170,411
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 111","Surrey",21,32,77,4,0,134,356
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 112","Surrey",44,26,108,2,1,181,418
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 113","Surrey",37,32,113,1,2,185,480
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 114","Surrey",39,46,92,2,3,182,491
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 115","Surrey",43,87,129,2,0,261,502
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 116","Surrey",23,45,86,4,2,160,363
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 117A","Surrey",20,33,84,4,0,141,271
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 117B","Surrey",23,31,61,5,1,121,256
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 118","Surrey",56,52,144,1,1,254,514
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 119","Surrey",56,31,125,5,1,218,395
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 120","Surrey",35,52,85,6,0,178,501
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 121","Surrey",41,41,47,2,0,131,413
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 122","Surrey",27,33,54,6,0,120,324
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 123","Surrey",54,38,100,8,0,200,419
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 124A","Surrey",31,43,76,5,0,155,300
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 124B","Surrey",36,37,68,5,0,146,276
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 125","Surrey",49,44,110,3,2,208,392
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 126","Surrey",43,45,86,7,1,182,417
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 127","Surrey",48,42,170,1,1,262,482
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128","Surrey",46,39,116,2,3,206,414
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129","Surrey",46,39,128,4,1,218,424
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 130","Surrey",45,13,116,2,0,176,344
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 131A","Surrey",41,15,103,2,0,161,290
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 131B","Surrey",33,26,86,2,5,152,264
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132","Surrey",52,39,155,6,2,254,488
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133A","Surrey",20,33,71,0,0,124,259
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133B","Surrey",41,56,51,3,0,151,269
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 134","Surrey",38,63,110,7,0,218,496
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135","Surrey",42,28,130,4,1,205,473
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136","Surrey",41,53,126,5,2,227,504
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 137","Surrey",36,15,121,2,7,181,384
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 138","Surrey",30,26,144,4,2,206,447
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 139","Surrey",28,13,119,4,0,164,457
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 140","Surrey",40,59,118,9,0,226,490
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 141","Surrey",28,23,135,2,1,189,428
