Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karthika Gobinath,Kamal Khera,Adaoma Patterson,Ninder Thind,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 143C","Brampton",5,141,19,53,0,218,507
35012,"Brampton West/Brampton-Ouest"," 144","Brampton",1,125,27,71,2,226,545
35012,"Brampton West/Brampton-Ouest"," 145A","Brampton",7,132,25,68,2,234,536
35012,"Brampton West/Brampton-Ouest"," 145B","Brampton",7,143,28,80,1,259,559
35012,"Brampton West/Brampton-Ouest"," 146","Brampton",12,110,26,124,2,274,447
35012,"Brampton West/Brampton-Ouest"," 147","Brampton",4,121,20,70,1,216,501
35012,"Brampton West/Brampton-Ouest"," 148","Brampton",3,110,10,51,0,174,483
35012,"Brampton West/Brampton-Ouest"," 149","Brampton",4,114,22,33,0,173,430
35012,"Brampton West/Brampton-Ouest"," 150","Brampton",4,116,26,68,1,215,423
35012,"Brampton West/Brampton-Ouest"," 151","Brampton",4,106,19,81,2,212,404
35012,"Brampton West/Brampton-Ouest"," 152","Brampton",10,94,4,62,1,171,363
35012,"Brampton West/Brampton-Ouest"," 153","Brampton",3,112,14,76,3,208,415
35012,"Brampton West/Brampton-Ouest"," 500","Mobile poll/Bureau itinérant",6,63,21,45,1,136,177
35012,"Brampton West/Brampton-Ouest"," 600","Brampton",14,361,108,222,0,705,
35012,"Brampton West/Brampton-Ouest"," 601","Brampton",13,455,105,335,5,913,
35012,"Brampton West/Brampton-Ouest"," 602","Brampton",10,622,143,355,9,1139,
35012,"Brampton West/Brampton-Ouest"," 603","Brampton",8,588,131,300,7,1034,
35012,"Brampton West/Brampton-Ouest"," 604","Brampton",6,346,83,209,5,649,
35012,"Brampton West/Brampton-Ouest"," 605","Brampton",9,482,128,277,4,900,
35012,"Brampton West/Brampton-Ouest"," 606","Brampton",3,437,120,263,2,825,
35012,"Brampton West/Brampton-Ouest"," 607","Brampton",28,470,118,358,9,983,
35012,"Brampton West/Brampton-Ouest"," 608","Brampton",14,916,181,406,6,1523,
35012,"Brampton West/Brampton-Ouest"," 609","Brampton",17,621,198,401,9,1246,
35012,"Brampton West/Brampton-Ouest",,"Group 1/Groupe 1",1,66,7,15,4,93,77
35012,"Brampton West/Brampton-Ouest",,"Group 2/Groupe 2",15,501,165,239,9,929,
