Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Hansen,Karen McCrimmon,Walter Pamic,Andrew West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35041,"Kanata--Carleton/Kanata--Carleton"," 90","Kanata",7,104,73,9,0,193,391
35041,"Kanata--Carleton/Kanata--Carleton"," 91A","Kanata",7,74,79,3,0,163,482
35041,"Kanata--Carleton/Kanata--Carleton"," 91B","Kanata",2,61,49,2,0,114,172
35041,"Kanata--Carleton/Kanata--Carleton"," 92","Kanata",37,134,107,5,0,283,489
35041,"Kanata--Carleton/Kanata--Carleton"," 93","Kanata",11,118,116,7,1,253,441
35041,"Kanata--Carleton/Kanata--Carleton"," 94","Kanata",21,100,65,7,2,195,355
35041,"Kanata--Carleton/Kanata--Carleton"," 95","Kanata",8,99,75,2,4,188,324
35041,"Kanata--Carleton/Kanata--Carleton"," 96","Kanata",16,119,106,5,7,253,485
35041,"Kanata--Carleton/Kanata--Carleton"," 97","Kanata",18,109,64,8,2,201,368
35041,"Kanata--Carleton/Kanata--Carleton"," 98","Kanata",10,96,80,9,0,195,352
35041,"Kanata--Carleton/Kanata--Carleton"," 99","Kanata",31,132,55,7,0,225,369
35041,"Kanata--Carleton/Kanata--Carleton"," 100","Kanata",27,144,84,6,0,261,474
35041,"Kanata--Carleton/Kanata--Carleton"," 101","Kanata",29,137,93,6,0,265,455
35041,"Kanata--Carleton/Kanata--Carleton"," 102","Kanata",18,115,76,6,0,215,334
35041,"Kanata--Carleton/Kanata--Carleton"," 103","Kanata",10,110,67,3,0,190,318
35041,"Kanata--Carleton/Kanata--Carleton"," 104","Kanata",20,95,63,10,1,189,329
35041,"Kanata--Carleton/Kanata--Carleton"," 105","Kanata",26,124,76,10,3,239,464
35041,"Kanata--Carleton/Kanata--Carleton"," 106","Kanata",22,117,88,2,0,229,376
35041,"Kanata--Carleton/Kanata--Carleton"," 107","Kanata",26,133,84,3,0,246,433
35041,"Kanata--Carleton/Kanata--Carleton"," 108","Kanata",18,128,83,7,0,236,428
35041,"Kanata--Carleton/Kanata--Carleton"," 109","Kanata",16,97,58,6,0,177,367
35041,"Kanata--Carleton/Kanata--Carleton"," 110","Kanata",14,108,64,7,1,194,300
35041,"Kanata--Carleton/Kanata--Carleton"," 111","Kanata",14,119,92,7,0,232,381
35041,"Kanata--Carleton/Kanata--Carleton"," 112","Kanata",8,102,116,12,3,241,389
35041,"Kanata--Carleton/Kanata--Carleton"," 113","Kanata",34,112,84,9,0,239,421
35041,"Kanata--Carleton/Kanata--Carleton"," 114","Kanata",25,106,79,13,1,224,404
35041,"Kanata--Carleton/Kanata--Carleton"," 115","Kanata",16,102,88,5,0,211,377
35041,"Kanata--Carleton/Kanata--Carleton"," 116","Kanata",20,121,74,10,1,226,406
35041,"Kanata--Carleton/Kanata--Carleton"," 117","Kanata",24,86,92,3,0,205,342
35041,"Kanata--Carleton/Kanata--Carleton"," 118","Kanata",15,88,102,2,1,208,345
35041,"Kanata--Carleton/Kanata--Carleton"," 119","Kanata",22,95,110,8,1,236,394
35041,"Kanata--Carleton/Kanata--Carleton"," 120","Kanata",23,98,115,11,0,247,352
35041,"Kanata--Carleton/Kanata--Carleton"," 121","Kanata",40,147,111,7,0,305,534
35041,"Kanata--Carleton/Kanata--Carleton"," 122","Kanata",21,120,110,10,0,261,420
35041,"Kanata--Carleton/Kanata--Carleton"," 123","Kanata",6,115,67,6,0,194,353
35041,"Kanata--Carleton/Kanata--Carleton"," 124","Kanata",9,93,74,5,0,181,355
35041,"Kanata--Carleton/Kanata--Carleton"," 125","Kanata",20,119,112,17,0,268,463
35041,"Kanata--Carleton/Kanata--Carleton"," 126","Kanata",21,139,56,7,1,224,402
35041,"Kanata--Carleton/Kanata--Carleton"," 127","Kanata",12,117,87,4,0,220,395
35041,"Kanata--Carleton/Kanata--Carleton"," 128","Kanata",10,108,72,7,0,197,384
35041,"Kanata--Carleton/Kanata--Carleton"," 129","Kanata",23,127,87,8,0,245,463
35041,"Kanata--Carleton/Kanata--Carleton"," 130","Kanata",15,134,78,3,0,230,403
35041,"Kanata--Carleton/Kanata--Carleton"," 131","Kanata",17,151,106,7,1,282,478
35041,"Kanata--Carleton/Kanata--Carleton"," 132","Kanata",8,68,85,5,0,166,401
35041,"Kanata--Carleton/Kanata--Carleton"," 133","Kanata",3,76,98,6,0,183,374
35041,"Kanata--Carleton/Kanata--Carleton"," 134","Kanata",27,146,80,15,1,269,464
35041,"Kanata--Carleton/Kanata--Carleton"," 135","Kanata",13,117,78,3,0,211,383
35041,"Kanata--Carleton/Kanata--Carleton"," 136","Kanata",20,101,85,8,4,218,407
35041,"Kanata--Carleton/Kanata--Carleton"," 137","Kanata",19,176,106,7,0,308,556
35041,"Kanata--Carleton/Kanata--Carleton"," 138","Kanata",12,104,69,5,1,191,331
35041,"Kanata--Carleton/Kanata--Carleton"," 139","Kanata",28,184,122,10,1,345,568
35041,"Kanata--Carleton/Kanata--Carleton"," 140","Kanata",25,160,106,9,0,300,523
35041,"Kanata--Carleton/Kanata--Carleton"," 141","Kanata",13,151,108,5,0,277,397
35041,"Kanata--Carleton/Kanata--Carleton"," 142","Kanata",15,167,71,6,0,259,426
35041,"Kanata--Carleton/Kanata--Carleton"," 143","Kanata",26,191,120,10,1,348,600
35041,"Kanata--Carleton/Kanata--Carleton"," 144A","Kanata",26,137,90,3,1,257,470
35041,"Kanata--Carleton/Kanata--Carleton"," 144B","Kanata",20,136,82,7,2,247,444
35041,"Kanata--Carleton/Kanata--Carleton"," 145","Kanata",6,115,99,7,1,228,381
35041,"Kanata--Carleton/Kanata--Carleton"," 146","Kanata",21,164,90,3,0,278,456
35041,"Kanata--Carleton/Kanata--Carleton"," 147","Kanata",20,147,117,10,0,294,532
35041,"Kanata--Carleton/Kanata--Carleton"," 148","Kanata",25,133,90,6,0,254,443
35041,"Kanata--Carleton/Kanata--Carleton"," 149","Kanata",19,144,74,3,0,240,428
35041,"Kanata--Carleton/Kanata--Carleton"," 150","Kanata",15,74,87,10,2,188,337
35041,"Kanata--Carleton/Kanata--Carleton"," 151","Kanata",28,114,90,1,0,233,399
35041,"Kanata--Carleton/Kanata--Carleton"," 152","Kanata",19,131,63,2,0,215,414
35041,"Kanata--Carleton/Kanata--Carleton"," 153","Kanata",17,87,71,4,0,179,336
35041,"Kanata--Carleton/Kanata--Carleton"," 154","Kanata",29,156,105,7,0,297,455
35041,"Kanata--Carleton/Kanata--Carleton"," 155","Kanata",23,150,106,6,3,288,510
35041,"Kanata--Carleton/Kanata--Carleton"," 156","Goulbourn",30,136,102,8,0,276,486
35041,"Kanata--Carleton/Kanata--Carleton"," 157","Kanata",13,140,73,3,0,229,400
35041,"Kanata--Carleton/Kanata--Carleton"," 158","Kanata",23,121,89,5,1,239,439
35041,"Kanata--Carleton/Kanata--Carleton"," 159","Kanata",23,117,90,5,0,235,434
35041,"Kanata--Carleton/Kanata--Carleton"," 160","Kanata",13,165,80,5,0,263,449
35041,"Kanata--Carleton/Kanata--Carleton"," 161","Kanata",32,187,114,9,2,344,574
35041,"Kanata--Carleton/Kanata--Carleton"," 162","Kanata",16,76,58,6,0,156,306
35041,"Kanata--Carleton/Kanata--Carleton"," 163","Kanata",26,129,80,3,0,238,470
35041,"Kanata--Carleton/Kanata--Carleton"," 164","Kanata",22,144,64,6,0,236,438
35041,"Kanata--Carleton/Kanata--Carleton"," 165","Kanata",22,143,65,2,0,232,442
35041,"Kanata--Carleton/Kanata--Carleton"," 166","Kanata",16,110,97,14,2,239,412
35041,"Kanata--Carleton/Kanata--Carleton"," 167","Kanata",29,130,69,7,1,236,426
35041,"Kanata--Carleton/Kanata--Carleton"," 168","Kanata",14,89,71,8,1,183,360
35041,"Kanata--Carleton/Kanata--Carleton"," 169","Kanata",21,110,90,8,0,229,437
35041,"Kanata--Carleton/Kanata--Carleton"," 170","Kanata",36,113,90,7,1,247,456
35041,"Kanata--Carleton/Kanata--Carleton"," 171","Kanata",10,113,102,6,0,231,375
35041,"Kanata--Carleton/Kanata--Carleton"," 172","Kanata",23,130,105,8,2,268,488
35041,"Kanata--Carleton/Kanata--Carleton"," 173","West Carleton",15,139,153,7,0,314,491
35041,"Kanata--Carleton/Kanata--Carleton"," 174","West Carleton",10,134,118,7,0,269,411
35041,"Kanata--Carleton/Kanata--Carleton"," 175","West Carleton",8,92,138,7,2,247,456
35041,"Kanata--Carleton/Kanata--Carleton"," 176","West Carleton",13,95,118,6,0,232,412
35041,"Kanata--Carleton/Kanata--Carleton"," 177","West Carleton",14,73,125,6,0,218,440
35041,"Kanata--Carleton/Kanata--Carleton"," 178","West Carleton",17,136,142,7,0,302,473
35041,"Kanata--Carleton/Kanata--Carleton"," 179","West Carleton",18,80,115,7,1,221,351
35041,"Kanata--Carleton/Kanata--Carleton"," 180","West Carleton",12,84,132,8,0,236,386
35041,"Kanata--Carleton/Kanata--Carleton"," 181","West Carleton",20,69,96,3,1,189,332
35041,"Kanata--Carleton/Kanata--Carleton"," 182","West Carleton",10,92,106,9,0,217,379
35041,"Kanata--Carleton/Kanata--Carleton"," 183","West Carleton",7,72,119,3,0,201,410
35041,"Kanata--Carleton/Kanata--Carleton"," 184","West Carleton",5,93,82,6,0,186,356
35041,"Kanata--Carleton/Kanata--Carleton"," 185","West Carleton",15,100,128,3,0,246,375
35041,"Kanata--Carleton/Kanata--Carleton"," 186","West Carleton",15,92,138,9,0,254,395
35041,"Kanata--Carleton/Kanata--Carleton"," 187","West Carleton",16,105,78,4,2,205,383
35041,"Kanata--Carleton/Kanata--Carleton"," 188","West Carleton",16,77,116,3,0,212,377
35041,"Kanata--Carleton/Kanata--Carleton"," 400","Kanata",4,63,52,2,1,122,183
35041,"Kanata--Carleton/Kanata--Carleton"," 401","Kanata",Void/Supprimé,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 402","Kanata",5,58,73,2,1,139,178
35041,"Kanata--Carleton/Kanata--Carleton"," 403","Goulbourn",2,38,51,1,0,92,135
35041,"Kanata--Carleton/Kanata--Carleton"," 500A","Mobile poll/Bureau itinérant",2,21,35,0,3,61,84
35041,"Kanata--Carleton/Kanata--Carleton"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,54
35041,"Kanata--Carleton/Kanata--Carleton"," 501A","Mobile poll/Bureau itinérant",1,62,73,4,6,146,80
35041,"Kanata--Carleton/Kanata--Carleton"," 501B","Kanata",Merged with No./Fusionné avec le n°67,,,,,,157
35041,"Kanata--Carleton/Kanata--Carleton"," 501C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,151
35041,"Kanata--Carleton/Kanata--Carleton"," 501D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,118
35041,"Kanata--Carleton/Kanata--Carleton"," 502A","Mobile poll/Bureau itinérant",17,50,74,2,0,143,139
35041,"Kanata--Carleton/Kanata--Carleton"," 502B","Mobile poll/Bureau itinérant",15,39,22,3,3,82,135
35041,"Kanata--Carleton/Kanata--Carleton"," 600","West Carleton",47,472,552,25,0,1096,
35041,"Kanata--Carleton/Kanata--Carleton"," 601","West Carleton",43,370,574,34,2,1023,
35041,"Kanata--Carleton/Kanata--Carleton"," 602","West Carleton",52,558,625,33,3,1271,
35041,"Kanata--Carleton/Kanata--Carleton"," 603","Kanata",74,898,411,21,2,1406,
35041,"Kanata--Carleton/Kanata--Carleton"," 604","Kanata",78,722,431,34,4,1269,
35041,"Kanata--Carleton/Kanata--Carleton"," 605","Kanata",61,644,398,29,2,1134,
35041,"Kanata--Carleton/Kanata--Carleton"," 606","Kanata",67,842,564,35,3,1511,
35041,"Kanata--Carleton/Kanata--Carleton"," 607","Kanata",114,650,414,39,1,1218,
35041,"Kanata--Carleton/Kanata--Carleton"," 608","Kanata",92,556,494,27,2,1171,
35041,"Kanata--Carleton/Kanata--Carleton"," 609","Kanata",64,712,513,26,4,1319,
35041,"Kanata--Carleton/Kanata--Carleton"," 610","Kanata",92,798,588,35,2,1515,
35041,"Kanata--Carleton/Kanata--Carleton"," 611","Kanata",76,747,393,31,7,1254,
35041,"Kanata--Carleton/Kanata--Carleton",,"Group 1/Groupe 1",38,174,195,12,17,436,131
35041,"Kanata--Carleton/Kanata--Carleton",,"Group 2/Groupe 2",223,1508,798,58,22,2609,
