date,Party,sd
2016-11-06,Liberal,1.9936631064271135
2016-11-07,Liberal,2.0517610028635205
2016-11-08,Liberal,2.09521409090325
2016-11-09,Liberal,2.015212749272871
2016-11-10,Liberal,2.0017184785137507
2016-11-11,Liberal,1.997740437440823
2016-11-12,Liberal,1.812128903131136
2016-11-13,Liberal,1.7107772088466238
2016-11-14,Liberal,1.91207119426699
2016-11-15,Liberal,1.9959056866828437
2016-11-16,Liberal,2.058833433915047
2016-11-17,Liberal,2.1348126419738342
2016-11-18,Liberal,2.20946995120255
2016-11-19,Liberal,2.1426851507839655
2016-11-20,Liberal,2.1339454820527726
2016-11-21,Liberal,2.149207411501327
2016-11-22,Liberal,2.149656333517771
2016-11-23,Liberal,2.1006221773126983
2016-11-24,Liberal,2.086606112889919
2016-11-25,Liberal,2.0768116986956437
2016-11-26,Liberal,2.061828517558345
2016-11-27,Liberal,2.0485804360031112
2016-11-28,Liberal,2.0918444549794755
2016-11-29,Liberal,2.102326805802467
2016-11-30,Liberal,2.0283877958106524
2016-12-01,Liberal,1.9994420806862565
2016-12-02,Liberal,1.9752684680272352
2016-12-03,Liberal,1.9486819412396439
2016-12-04,Liberal,1.9427471371597125
2016-12-05,Liberal,2.0125546078710244
2016-12-06,Liberal,2.0367353693517307
2016-12-07,Liberal,2.0412519970019183
2016-12-08,Liberal,2.0721714045564203
2016-12-09,Liberal,2.070754279013393
2016-12-10,Liberal,1.957951793387576
2016-12-11,Liberal,1.9019368700641426
2016-12-12,Liberal,1.8746285281601072
2016-12-13,Liberal,1.8230457703665237
2016-12-14,Liberal,1.7097858458212976
2016-12-15,Liberal,1.7583700322287128
2016-12-16,Liberal,1.7565968237252818
2016-12-17,Liberal,1.7450353424358114
2016-12-18,Liberal,1.7318201642032343
2016-12-19,Liberal,1.8000908902467316
2016-12-20,Liberal,1.8267986914912036
2016-12-21,Liberal,1.763706033969925
2016-12-22,Liberal,1.7432000634797375
2016-12-23,Liberal,1.726195479749401
2016-12-24,Liberal,1.705321975783446
2016-12-25,Liberal,1.6852536551494623
2016-12-26,Liberal,1.7405626669670338
2016-12-27,Liberal,1.7513396814562014
2016-12-28,Liberal,1.7470537173337906
2016-12-29,Liberal,1.7596448661136705
2016-12-30,Liberal,1.7710510907717834
2016-12-31,Liberal,1.791735431272882
2017-01-01,Liberal,1.8112882403301136
2017-01-02,Liberal,1.8053265626214827
2017-01-03,Liberal,1.7789466430945027
2017-01-04,Liberal,1.8664278922830075
2017-01-05,Liberal,1.942545901113356
2017-01-06,Liberal,2.011987996375667
2017-01-07,Liberal,2.0554077662396124
2017-01-08,Liberal,2.094246671578434
2017-01-09,Liberal,1.960159241868201
2017-01-10,Liberal,1.8330882959882877
2017-01-11,Liberal,1.7683415552587936
2017-01-12,Liberal,1.768986330080588
2017-01-13,Liberal,1.7699532504603055
2017-01-14,Liberal,1.8290711743214232
2017-01-15,Liberal,1.8888088998043504
2017-01-16,Liberal,1.8950502881865048
2017-01-17,Liberal,1.8943654639640368
2017-01-18,Liberal,1.957917000549039
2017-01-19,Liberal,2.0221326913864037
2017-01-20,Liberal,2.0861484064099485
2017-01-21,Liberal,2.035179813504079
2017-01-22,Liberal,2.039968209593609
2017-01-23,Liberal,1.9858398111577387
2017-01-24,Liberal,1.9326543928574715
2017-01-25,Liberal,1.9120031652518166
2017-01-26,Liberal,2.013753111525859
