date,Party,sd
2016-04-17,Liberal,2.475012092438557
2016-04-18,Liberal,2.4728371945789034
2016-04-19,Liberal,2.469953790279324
2016-04-20,Liberal,2.4689896357231382
2016-04-21,Liberal,2.4680666441135086
2016-04-22,Liberal,2.4672551889872554
2016-04-23,Liberal,2.4069876411336004
2016-04-24,Liberal,2.382163911549006
2016-04-25,Liberal,2.3611063848576626
2016-04-26,Liberal,2.34220773242708
2016-04-27,Liberal,2.3248030854196946
2016-04-28,Liberal,2.3681253209952495
2016-04-29,Liberal,2.3770546835694075
2016-04-30,Liberal,2.3831109279786906
2016-05-01,Liberal,2.387781403981101
2016-05-02,Liberal,2.391636197510638
2016-05-03,Liberal,2.3949627068398316
2016-05-04,Liberal,2.397927127705843
2016-05-05,Liberal,2.4006340372900703
2016-05-06,Liberal,2.403153153577152
2016-05-07,Liberal,2.4055329576684032
2016-05-08,Liberal,2.624558616409828
2016-05-09,Liberal,2.7588715377971362
2016-05-10,Liberal,2.878872247298923
2016-05-11,Liberal,2.990203656707537
2016-05-12,Liberal,3.1039229853801844
2016-05-13,Liberal,2.9962390275054505
2016-05-14,Liberal,2.9784285351047144
2016-05-15,Liberal,2.972151828395931
2016-05-16,Liberal,2.6895094570358156
2016-05-17,Liberal,2.5119532603040273
2016-05-18,Liberal,2.354719493879831
2016-05-19,Liberal,2.2221427263830797
2016-05-20,Liberal,1.9571904253050234
2016-05-21,Liberal,2.0376830619784476
2016-05-22,Liberal,2.0225843329049478
2016-05-23,Liberal,2.0162869453650307
2016-05-24,Liberal,1.987152260140088
2016-05-25,Liberal,2.0988747657483238
2016-05-26,Liberal,2.155026363676038
2016-05-27,Liberal,2.2035055435374677
2016-05-28,Liberal,2.2312441043163935
2016-05-29,Liberal,2.255274141701047
2016-05-30,Liberal,2.1916432321809602
2016-05-31,Liberal,2.172659469909687
2016-06-01,Liberal,2.1568036036285703
2016-06-02,Liberal,2.120371460549385
2016-06-03,Liberal,2.0843590783088843
2016-06-04,Liberal,2.1488768768395374
2016-06-05,Liberal,2.1687707328983947
2016-06-06,Liberal,2.11487055819262
2016-06-07,Liberal,2.0719823116010376
2016-06-08,Liberal,2.0255264373836765
2016-06-09,Liberal,1.9600200862001471
2016-06-10,Liberal,1.8898097093599753
2016-06-11,Liberal,1.8996059120371231
2016-06-12,Liberal,1.8314769982687857
2016-06-13,Liberal,1.8472026162655013
2016-06-14,Liberal,1.873328433008345
2016-06-15,Liberal,1.9047976631854016
2016-06-16,Liberal,1.9264342245395092
2016-06-17,Liberal,2.0346103122873465
2016-06-18,Liberal,2.0609451716819707
2016-06-19,Liberal,2.079145386048289
2016-06-20,Liberal,2.0933901450795807
2016-06-21,Liberal,2.10528883462718
2016-06-22,Liberal,2.115649027162341
2016-06-23,Liberal,2.127627762595611
2016-06-24,Liberal,2.139109403669347
2016-06-25,Liberal,2.1502731774364303
2016-06-26,Liberal,2.1612415147826463
2016-06-27,Liberal,2.172100967342038
2016-06-28,Liberal,2.180221308911824
2016-06-29,Liberal,2.188055169891604
2016-06-30,Liberal,2.1956515681971993
2016-07-01,Liberal,2.2030493911028453
2016-07-02,Liberal,2.5169377049975536
2016-07-03,Liberal,2.7569827962741806
2016-07-04,Liberal,2.9780468844903862
2016-07-05,Liberal,3.186796623346999
2016-07-06,Liberal,3.077791240389493
2016-07-07,Liberal,2.7735964874602828
2016-07-08,Liberal,2.5235218267447275
